# sloughing=True,sloughing_time=164.23994516264565
time_s,h_total_m,h_crit_m,alpha_water_wall
0.000000000000000000e+00,3.650000000000000900e-03,8.387652989486271346e-03,0.000000000000000000e+00
7.284078498241321068e-04,3.649997071232396161e-03,8.387646722626521459e-03,0.000000000000000000e+00
1.000832385658357415e+00,3.645977151873989412e-03,8.379044966821336954e-03,0.000000000000000000e+00
2.000936363466891077e+00,3.641959788207752274e-03,8.370448493583041577e-03,0.000000000000000000e+00
3.001040341275424073e+00,3.637944980876106193e-03,8.361857304635293003e-03,0.000000000000000000e+00
4.001144319083957512e+00,3.633932730520944392e-03,8.353271401700557153e-03,0.000000000000000000e+00
5.001248296892491396e+00,3.629923037783741591e-03,8.344690786500293805e-03,0.000000000000000000e+00
6.001352274701024392e+00,3.625915903305481584e-03,8.336115460754840376e-03,0.000000000000000000e+00
7.001456252509557387e+00,3.621911327726690631e-03,8.327545426183470892e-03,0.000000000000000000e+00
8.001560230318091271e+00,3.617909311687402332e-03,8.318980684504316200e-03,0.000000000000000000e+00
9.001664208126625155e+00,3.613909855827164563e-03,8.310421237434383046e-03,0.000000000000000000e+00
1.000176818593515726e+01,3.609912960785029504e-03,8.301867086689531522e-03,0.000000000000000000e+00
1.100187216374369115e+01,3.605918627199596136e-03,8.293318233984560070e-03,0.000000000000000000e+00
1.200197614155222503e+01,3.601926855708940424e-03,8.284774681033070173e-03,0.000000000000000000e+00
1.300208011936075891e+01,3.597937646950644802e-03,8.276236429547518397e-03,0.000000000000000000e+00
1.400218409716929102e+01,3.593951001561805983e-03,8.267703481239225063e-03,0.000000000000000000e+00
1.500228807497782491e+01,3.589966920179011971e-03,8.259175837818339555e-03,0.000000000000000000e+00
1.600239205278635879e+01,3.585985403438334690e-03,8.250653500993831643e-03,0.000000000000000000e+00
1.700249603059489090e+01,3.582006451975370317e-03,8.242136472473538325e-03,0.000000000000000000e+00
1.800260000840342656e+01,3.578030066425145605e-03,8.233624753964009432e-03,0.000000000000000000e+00
1.900270398621195866e+01,3.574056247422222835e-03,8.225118347170708860e-03,0.000000000000000000e+00
2.000280796402049077e+01,3.570084995600625224e-03,8.216617253797849768e-03,0.000000000000000000e+00
2.100291194182902643e+01,3.566116311593841692e-03,8.208121475548417131e-03,0.000000000000000000e+00
