# sloughing=False,sloughing_time=nan
time_s,h_total_m,h_crit_m,alpha_water_wall
0.000000000000000000e+00,1.299999999999999723e-03,9.889018442657829255e-02,0.000000000000000000e+00
6.741189135321444884e-04,1.299999482495139578e-03,9.889014568014824202e-02,0.000000000000000000e+00
1.001066586595234620e+00,1.299231608116437932e-03,9.883265297395781024e-02,0.000000000000000000e+00
2.001459054276936822e+00,1.298463939295177796e-03,9.877517425319588817e-02,0.000000000000000000e+00
3.001851521958639246e+00,1.297696476073698785e-03,9.871770952210985606e-02,0.000000000000000000e+00
4.002243989640342114e+00,1.296929218494360676e-03,9.866025878494878720e-02,0.000000000000000000e+00
5.002636457322044095e+00,1.296162166599539294e-03,9.860282204596293454e-02,0.000000000000000000e+00
6.003028925003746963e+00,1.295395320431629764e-03,9.854539930940413306e-02,0.000000000000000000e+00
7.003421392685448943e+00,1.294628680033046726e-03,9.848799057952574432e-02,0.000000000000000000e+00
8.003813860367150923e+00,1.293862245446215876e-03,9.843059586058211519e-02,0.000000000000000000e+00
9.004206328048853791e+00,1.293096016713590236e-03,9.837321515682960482e-02,0.000000000000000000e+00
1.000459879573055666e+01,1.292329993877636921e-03,9.831584847252583526e-02,0.000000000000000000e+00
1.100499126341225953e+01,1.291564176980838224e-03,9.825849581192953874e-02,0.000000000000000000e+00
1.200538373109396062e+01,1.290798566065694654e-03,9.820115717930107124e-02,0.000000000000000000e+00
1.300577619877566349e+01,1.290033161174740112e-03,9.814383257890316181e-02,0.000000000000000000e+00
1.400616866645736636e+01,1.289267962350491804e-03,9.808652201499751255e-02,0.000000000000000000e+00
1.500656113413906922e+01,1.288502969635517458e-03,9.802922549184965584e-02,0.000000000000000000e+00
1.600695360182077209e+01,1.287738183072390658e-03,9.797194301372569303e-02,0.000000000000000000e+00
1.700734606950247496e+01,1.286973602703703635e-03,9.791467458489312714e-02,0.000000000000000000e+00
1.800773853718417428e+01,1.286209228572072257e-03,9.785742020962137633e-02,0.000000000000000000e+00
