# sloughing=True,sloughing_time=251.5419859851579
time_s,h_total_m,h_crit_m,alpha_water_wall
0.000000000000000000e+00,4.699999999999999317e-03,6.766599363810325840e-02,0.000000000000000000e+00
7.056568975499920467e-04,4.699997280553624632e-03,6.766595475673811699e-02,0.000000000000000000e+00
1.001327137623438723e+00,4.696141906465762725e-03,6.761083178918622649e-02,0.000000000000000000e+00
2.001948618349327358e+00,4.692288133268099001e-03,6.755573042775149528e-02,0.000000000000000000e+00
3.002570099075215992e+00,4.688435961367239634e-03,6.750065067980162703e-02,0.000000000000000000e+00
4.003191579801105071e+00,4.684585391169906153e-03,6.744559255270564380e-02,0.000000000000000000e+00
5.003813060526993262e+00,4.680736423082898154e-03,6.739055605383399705e-02,0.000000000000000000e+00
6.004434541252882340e+00,4.676889057513134058e-03,6.733554119055869258e-02,0.000000000000000000e+00
7.005056021978771419e+00,4.673043294867626832e-03,6.728054797025313782e-02,0.000000000000000000e+00
8.005677502704660498e+00,4.669199135553510002e-03,6.722557640029226678e-02,0.000000000000000000e+00
9.006298983430548688e+00,4.665356579977996895e-03,6.717062648805235958e-02,0.000000000000000000e+00
1.000692046415643688e+01,4.661515628548417930e-03,6.711569824091120906e-02,0.000000000000000000e+00
1.100754194488232507e+01,4.657676281672211080e-03,6.706079166624817622e-02,0.000000000000000000e+00
1.200816342560821504e+01,4.653838539756918399e-03,6.700590677144412088e-02,0.000000000000000000e+00
1.300878490633410323e+01,4.650002403210158272e-03,6.695104356388098532e-02,0.000000000000000000e+00
1.400940638705999142e+01,4.646167872439677451e-03,6.689620205094237715e-02,0.000000000000000000e+00
1.501002786778588138e+01,4.642334947853319835e-03,6.684138224001349993e-02,0.000000000000000000e+00
1.601064934851176957e+01,4.638503629859026464e-03,6.678658413848079234e-02,0.000000000000000000e+00
1.701127082923765954e+01,4.634673918864813842e-03,6.673180775373174778e-02,0.000000000000000000e+00
1.801189230996354596e+01,4.630845815278845923e-03,6.667705309315598294e-02,0.000000000000000000e+00
1.901251379068943592e+01,4.627019319509356916e-03,6.662232016414421087e-02,0.000000000000000000e+00
2.001313527141532589e+01,4.623194431964681647e-03,6.656760897408825484e-02,0.000000000000000000e+00
2.101375675214121230e+01,4.619371153053255553e-03,6.651291953038163118e-02,0.000000000000000000e+00
2.201437823286710227e+01,4.615549483183618157e-03,6.645825184041936895e-02,0.000000000000000000e+00
2.301499971359299224e+01,4.611729422764397450e-03,6.640360591159734371e-02,0.000000000000000000e+00
2.401562119431887865e+01,4.607910972204323774e-03,6.634898175131338782e-02,0.000000000000000000e+00
2.501624267504476862e+01,4.604094131912240227e-03,6.629437936696655487e-02,0.000000000000000000e+00
2.601686415577065503e+01,4.600278902297058430e-03,6.623979876595696703e-02,0.000000000000000000e+00
2.701748563649654500e+01,4.596465283767797554e-03,6.618523995568630081e-02,0.000000000000000000e+00
2.801810711722243497e+01,4.592653276733594733e-03,6.613070294355781475e-02,0.000000000000000000e+00
2.901872859794832138e+01,4.588842881603652155e-03,6.607618773697576664e-02,0.000000000000000000e+00
3.001935007867421135e+01,4.585034098787276087e-03,6.602169434334576037e-02,0.000000000000000000e+00
3.101997155940010131e+01,4.581226928693872547e-03,6.596722277007495416e-02,0.000000000000000000e+00
3.202059304012598773e+01,4.577421371732952500e-03,6.591277302457189402e-02,0.000000000000000000e+00
3.302121452085187769e+01,4.573617428314108446e-03,6.585834511424618065e-02,0.000000000000000000e+00
3.402183600157776766e+01,4.569815098847004008e-03,6.580393904650853887e-02,0.000000000000000000e+00
3.502245748230365763e+01,4.566014383741443319e-03,6.574955482877158086e-02,0.000000000000000000e+00
3.602307896302954049e+01,4.562215283407307712e-03,6.569519246844908456e-02,0.000000000000000000e+00
3.702370044375543046e+01,4.558417798254534026e-03,6.564085197295543850e-02,0.000000000000000000e+00
3.802432192448132042e+01,4.554621928693181401e-03,6.558653334970707127e-02,0.000000000000000000e+00
3.902494340520721039e+01,4.550827675133426939e-03,6.553223660612168822e-02,0.000000000000000000e+00
4.002556488593310036e+01,4.547035037985485903e-03,6.547796174961768856e-02,0.000000000000000000e+00
4.102618636665899032e+01,4.543244017659714071e-03,6.542370878761540054e-02,0.000000000000000000e+00
4.202680784738487318e+01,4.539454614566503649e-03,6.536947772753579078e-02,0.000000000000000000e+00
4.302742932811076315e+01,4.535666829116392559e-03,6.531526857680174103e-02,0.000000000000000000e+00
4.402805080883665312e+01,4.531880661719975972e-03,6.526108134283688245e-02,0.000000000000000000e+00
4.502867228956254309e+01,4.528096112787944466e-03,6.520691603306624784e-02,0.000000000000000000e+00
4.602929377028843305e+01,4.524313182731084029e-03,6.515277265491620229e-02,0.000000000000000000e+00
4.702991525101432302e+01,4.520531871960256111e-03,6.509865121581417946e-02,0.000000000000000000e+00
4.803053673174020588e+01,4.516752180886422774e-03,6.504455172318891754e-02,0.000000000000000000e+00
4.903115821246609585e+01,4.512974109920623277e-03,6.499047418447025104e-02,0.000000000000000000e+00
5.003177969319198581e+01,4.509197659473991419e-03,6.493641860708952718e-02,0.000000000000000000e+00
5.103240117391787578e+01,4.505422829957742535e-03,6.488238499847893970e-02,0.000000000000000000e+00
5.203302265464376575e+01,4.501649621783174356e-03,6.482837336607198686e-02,0.000000000000000000e+00
5.303364413536965571e+01,4.497878035361705176e-03,6.477438371730372124e-02,0.000000000000000000e+00
5.403426561609553858e+01,4.494108071104784517e-03,6.472041605960984767e-02,0.000000000000000000e+00
5.503488709682142854e+01,4.490339729423993738e-03,6.466647040042769468e-02,0.000000000000000000e+00
5.603550857754731851e+01,4.486573010730957566e-03,6.461254674719527080e-02,0.000000000000000000e+00
5.703613005827320848e+01,4.482807915437423893e-03,6.455864510735222217e-02,0.000000000000000000e+00
5.803675153899909844e+01,4.479044443955179644e-03,6.450476548833884716e-02,0.000000000000000000e+00
5.903737301972498130e+01,4.475282596696150521e-03,6.445090789759720662e-02,0.000000000000000000e+00
6.003799450045087127e+01,4.471522374072297787e-03,6.439707234257004143e-02,0.000000000000000000e+00
6.103861598117676124e+01,4.467763776495698065e-03,6.434325883070163288e-02,0.000000000000000000e+00
6.203923746190265121e+01,4.464006804378473081e-03,6.428946736943667861e-02,0.000000000000000000e+00
6.303985894262854117e+01,4.460251458132847777e-03,6.423569796622162487e-02,0.000000000000000000e+00
6.404048042335442403e+01,4.456497738171166789e-03,6.418195062850420851e-02,0.000000000000000000e+00
6.504110190408032111e+01,4.452745644905761746e-03,6.412822536373237459e-02,0.000000000000000000e+00
6.604172338480620397e+01,4.448995178749112593e-03,6.407452217935585836e-02,0.000000000000000000e+00
6.704234486553210104e+01,4.445246340113811166e-03,6.402084108282592168e-02,0.000000000000000000e+00
6.804296634625798390e+01,4.441499129412415474e-03,6.396718208159353491e-02,0.000000000000000000e+00
6.904358782698386676e+01,4.437753547057675212e-03,6.391354518311204158e-02,0.000000000000000000e+00
7.004420930770976383e+01,4.434009593462348749e-03,6.385993039483517375e-02,0.000000000000000000e+00
7.104483078843564670e+01,4.430267269039295935e-03,6.380633772421792638e-02,0.000000000000000000e+00
7.204545226916154377e+01,4.426526574201448613e-03,6.375276717871626586e-02,0.000000000000000000e+00
7.304607374988742663e+01,4.422787509361829697e-03,6.369921876578743536e-02,0.000000000000000000e+00
7.404669523061330949e+01,4.419050074933532357e-03,6.364569249288959396e-02,0.000000000000000000e+00
7.504731671133920656e+01,4.415314271329704408e-03,6.359218836748173342e-02,0.000000000000000000e+00
7.604793819206508942e+01,4.411580098963595147e-03,6.353870639702423329e-02,0.000000000000000000e+00
7.704855967279098650e+01,4.407847558248523256e-03,6.348524658897822248e-02,0.000000000000000000e+00
7.804918115351686936e+01,4.404116649597891557e-03,6.343180895080618997e-02,0.000000000000000000e+00
7.904980263424275222e+01,4.400387373425136694e-03,6.337839348997105493e-02,0.000000000000000000e+00
8.005042411496864929e+01,4.396659730143804602e-03,6.332500021393720757e-02,0.000000000000000000e+00
8.105104559569453215e+01,4.392933720167521011e-03,6.327162913017000956e-02,0.000000000000000000e+00
8.205166707642042923e+01,4.389209343909937673e-03,6.321828024613533603e-02,0.000000000000000000e+00
8.305228855714631209e+01,4.385486601784851189e-03,6.316495356930088012e-02,0.000000000000000000e+00
8.405291003787220916e+01,4.381765494206037344e-03,6.311164910713426557e-02,0.000000000000000000e+00
8.505353151859809202e+01,4.378046021587427179e-03,6.305836686710492023e-02,0.000000000000000000e+00
8.605415299932397488e+01,4.374328184342957809e-03,6.300510685668267441e-02,0.000000000000000000e+00
8.705477448004987195e+01,4.370611982886698187e-03,6.295186908333878784e-02,0.000000000000000000e+00
8.805539596077575482e+01,4.366897417632732009e-03,6.289865355454513085e-02,0.000000000000000000e+00
8.905601744150165189e+01,4.363184488995260069e-03,6.284546027777482280e-02,0.000000000000000000e+00
9.005663892222753475e+01,4.359473197388488361e-03,6.279228926050117732e-02,0.000000000000000000e+00
9.105726040295341761e+01,4.355763543226756455e-03,6.273914051019927052e-02,0.000000000000000000e+00
9.205788188367931468e+01,4.352055526924435147e-03,6.268601403434467811e-02,0.000000000000000000e+00
9.305850336440519754e+01,4.348349148895965487e-03,6.263290984041376686e-02,0.000000000000000000e+00
9.405912484513109462e+01,4.344644409555848373e-03,6.257982793588393045e-02,0.000000000000000000e+00
9.505974632585697748e+01,4.340941309318684452e-03,6.252676832823371444e-02,0.000000000000000000e+00
9.606036780658286034e+01,4.337239848599107328e-03,6.247373102494212238e-02,0.000000000000000000e+00
9.706098928730875741e+01,4.333540027811813057e-03,6.242071603348915698e-02,0.000000000000000000e+00
9.806161076803464027e+01,4.329841847371587032e-03,6.236772336135568140e-02,0.000000000000000000e+00
9.906223224876053735e+01,4.326145307693269292e-03,6.231475301602366901e-02,0.000000000000000000e+00
1.000628537294864202e+02,4.322450409191753648e-03,6.226180500497560666e-02,0.000000000000000000e+00
1.010634752102123173e+02,4.318757152282018050e-03,6.220887933569504979e-02,0.000000000000000000e+00
1.020640966909382001e+02,4.315065537379058659e-03,6.215597601566601182e-02,0.000000000000000000e+00
1.030647181716640830e+02,4.311375564897972253e-03,6.210309505237354699e-02,0.000000000000000000e+00
1.040653396523899801e+02,4.307687235253900709e-03,6.205023645330355608e-02,0.000000000000000000e+00
1.050659611331158629e+02,4.304000548862068308e-03,6.199740022594289746e-02,0.000000000000000000e+00
1.060665826138417600e+02,4.300315506137723613e-03,6.194458637777887355e-02,0.000000000000000000e+00
1.070672040945676429e+02,4.296632107496207130e-03,6.189179491629976521e-02,0.000000000000000000e+00
1.080678255752935257e+02,4.292950353352886252e-03,6.183902584899451937e-02,0.000000000000000000e+00
1.090684470560194228e+02,4.289270244123243730e-03,6.178627918335333202e-02,0.000000000000000000e+00
1.100690685367453057e+02,4.285591780222757115e-03,6.173355492686641299e-02,0.000000000000000000e+00
1.110696900174712027e+02,4.281914962066964668e-03,6.168085308702489500e-02,0.000000000000000000e+00
1.120703114981970856e+02,4.278239790071520013e-03,6.162817367132122220e-02,0.000000000000000000e+00
1.130709329789229827e+02,4.274566264652081976e-03,6.157551668724805388e-02,0.000000000000000000e+00
1.140715544596488655e+02,4.270894386224367498e-03,6.152288214229873625e-02,0.000000000000000000e+00
1.150721759403747484e+02,4.267224155204171580e-03,6.147027004396763555e-02,0.000000000000000000e+00
1.160727974211006455e+02,4.263555572007332595e-03,6.141768039974972865e-02,0.000000000000000000e+00
1.170734189018265283e+02,4.259888637049745290e-03,6.136511321714065159e-02,0.000000000000000000e+00
1.180740403825524254e+02,4.256223350747334773e-03,6.131256850363653310e-02,0.000000000000000000e+00
1.190746618632783083e+02,4.252559713516131101e-03,6.126004626673468845e-02,0.000000000000000000e+00
1.200752833440041911e+02,4.248897725772152190e-03,6.120754651393239126e-02,0.000000000000000000e+00
1.210759048247300882e+02,4.245237387931526975e-03,6.115506925272843480e-02,0.000000000000000000e+00
1.220765263054559711e+02,4.241578700410386996e-03,6.110261449062152211e-02,0.000000000000000000e+00
1.230771477861818681e+02,4.237921663624946191e-03,6.105018223511132769e-02,0.000000000000000000e+00
1.240777692669077510e+02,4.234266277991468805e-03,6.099777249369834481e-02,0.000000000000000000e+00
1.250783907476336339e+02,4.230612543926240768e-03,6.094538527388335125e-02,0.000000000000000000e+00
1.260790122283595309e+02,4.226960461845626939e-03,6.089302058316791583e-02,0.000000000000000000e+00
1.270796337090854138e+02,4.223310032166012126e-03,6.084067842905396817e-02,0.000000000000000000e+00
1.280802551898113109e+02,4.219661255303862671e-03,6.078835881904460364e-02,0.000000000000000000e+00
1.290808766705372079e+02,4.216014131675646648e-03,6.073606176064284823e-02,0.000000000000000000e+00
1.300814981512630766e+02,4.212368661697926675e-03,6.068378726135275486e-02,0.000000000000000000e+00
1.310821196319889737e+02,4.208724845787306136e-03,6.063153532867923690e-02,0.000000000000000000e+00
1.320827411127148707e+02,4.205082684360384078e-03,6.057930597012675666e-02,0.000000000000000000e+00
1.330833625934407394e+02,4.201442177833856692e-03,6.052709919320124754e-02,0.000000000000000000e+00
1.340839840741666364e+02,4.197803326624433180e-03,6.047491500540879555e-02,0.000000000000000000e+00
1.350846055548925335e+02,4.194166131148878256e-03,6.042275341425600022e-02,0.000000000000000000e+00
1.360852270356184022e+02,4.190530591824016479e-03,6.037061442725041166e-02,0.000000000000000000e+00
1.370858485163442992e+02,4.186896709066683687e-03,6.031849805189951064e-02,0.000000000000000000e+00
1.380864699970701963e+02,4.183264483293780769e-03,6.026640429571186730e-02,0.000000000000000000e+00
1.390870914777960934e+02,4.179633914922228563e-03,6.021433316619592691e-02,0.000000000000000000e+00
1.400877129585219620e+02,4.176005004369012959e-03,6.016228467086130738e-02,0.000000000000000000e+00
1.410883344392478591e+02,4.172377752051144133e-03,6.011025881721754338e-02,0.000000000000000000e+00
1.420889559199737562e+02,4.168752158385664354e-03,6.005825561277477326e-02,0.000000000000000000e+00
1.430895774006996248e+02,4.165128223789656657e-03,6.000627506504370434e-02,0.000000000000000000e+00
1.440901988814255219e+02,4.161505948680279537e-03,5.995431718153571010e-02,0.000000000000000000e+00
1.450908203621514190e+02,4.157885333474680215e-03,5.990238196976224727e-02,0.000000000000000000e+00
1.460914418428773160e+02,4.154266378590051011e-03,5.985046943723514035e-02,0.000000000000000000e+00
1.470920633236031847e+02,4.150649084443641494e-03,5.979857959146699098e-02,0.000000000000000000e+00
1.480926848043290818e+02,4.147033451452728989e-03,5.974671243997072001e-02,0.000000000000000000e+00
1.490933062850549788e+02,4.143419480034627247e-03,5.969486799025964380e-02,0.000000000000000000e+00
1.500939277657808475e+02,4.139807170606650891e-03,5.964304624984707870e-02,0.000000000000000000e+00
1.510945492465067446e+02,4.136196523586203877e-03,5.959124722624736803e-02,0.000000000000000000e+00
