# sloughing=False,sloughing_time=nan
time_s,h_total_m,h_crit_m,alpha_water_wall
0.000000000000000000e+00,2.510000000000000078e-03,1.343200536921500265e-02,0.000000000000000000e+00
7.016419431507690992e-04,2.509998703668935016e-03,1.343199879789900610e-02,0.000000000000000000e+00
1.001243052876147566e+00,2.508150466700299289e-03,1.342262966859068818e-02,0.000000000000000000e+00
2.001784463809144210e+00,2.506302891634233643e-03,1.341326367237409382e-02,0.000000000000000000e+00
3.002325874742140854e+00,2.504455978629952298e-03,1.340390081028726421e-02,0.000000000000000000e+00
4.002867285675137943e+00,2.502609727846751442e-03,1.339454108336868461e-02,0.000000000000000000e+00
5.003408696608134143e+00,2.500764139443966295e-03,1.338518449265703285e-02,0.000000000000000000e+00
6.003950107541131231e+00,2.498919213580996258e-03,1.337583103919131808e-02,0.000000000000000000e+00
7.004491518474128320e+00,2.497074950417294079e-03,1.336648072401083742e-02,0.000000000000000000e+00
8.005032929407125408e+00,2.495231350112379724e-03,1.335713354815522627e-02,0.000000000000000000e+00
9.005574340340121609e+00,2.493388412825815227e-03,1.334778951266434727e-02,0.000000000000000000e+00
1.000611575127311781e+01,2.491546138717228975e-03,1.333844861857840305e-02,0.000000000000000000e+00
1.100665716220611401e+01,2.489704527946319176e-03,1.332911086693795537e-02,0.000000000000000000e+00
1.200719857313911199e+01,2.487863580672799221e-03,1.331977625878365788e-02,0.000000000000000000e+00
1.300773998407210819e+01,2.486023297056477038e-03,1.331044479515664306e-02,0.000000000000000000e+00
1.400828139500510439e+01,2.484183677257206097e-03,1.330111647709828621e-02,0.000000000000000000e+00
1.500882280593810236e+01,2.482344721434897542e-03,1.329179130565025929e-02,0.000000000000000000e+00
1.600936421687109856e+01,2.480506429749504589e-03,1.328246928185446152e-02,0.000000000000000000e+00
1.700990562780409476e+01,2.478668802361072392e-03,1.327315040675325006e-02,0.000000000000000000e+00
1.801044703873709096e+01,2.476831839429663017e-03,1.326383468138908443e-02,0.000000000000000000e+00
1.901098844967008716e+01,2.474995541115421367e-03,1.325452210680486478e-02,0.000000000000000000e+00
2.001152986060308692e+01,2.473159907578535710e-03,1.324521268404369422e-02,0.000000000000000000e+00
2.101207127153608312e+01,2.471324938979250693e-03,1.323590641414897941e-02,0.000000000000000000e+00
2.201261268246907932e+01,2.469490635477873414e-03,1.322660329816444970e-02,0.000000000000000000e+00
2.301315409340207552e+01,2.467656997234760410e-03,1.321730333713409464e-02,0.000000000000000000e+00
2.401369550433507172e+01,2.465824024410332837e-03,1.320800653210223337e-02,0.000000000000000000e+00
2.501423691526806792e+01,2.463991717165057386e-03,1.319871288411342443e-02,0.000000000000000000e+00
2.601477832620106412e+01,2.462160075659464934e-03,1.318942239421255942e-02,0.000000000000000000e+00
2.701531973713406387e+01,2.460329100054135798e-03,1.318013506344478669e-02,0.000000000000000000e+00
2.801586114806706007e+01,2.458498790509711443e-03,1.317085089285557724e-02,0.000000000000000000e+00
2.901640255900005627e+01,2.456669147186882340e-03,1.316156988349063625e-02,0.000000000000000000e+00
3.001694396993305247e+01,2.454840170246403580e-03,1.315229203639603321e-02,0.000000000000000000e+00
3.101748538086604867e+01,2.453011859849084462e-03,1.314301735261808567e-02,0.000000000000000000e+00
3.201802679179904487e+01,2.451184216155783292e-03,1.313374583320340086e-02,0.000000000000000000e+00
3.301856820273204107e+01,2.449357239327409549e-03,1.312447747919882890e-02,0.000000000000000000e+00
3.401910961366503727e+01,2.447530929524949043e-03,1.311521229165161194e-02,0.000000000000000000e+00
3.501965102459803347e+01,2.445705286909422710e-03,1.310595027160919510e-02,0.000000000000000000e+00
3.602019243553103678e+01,2.443880311641913501e-03,1.309669142011932186e-02,0.000000000000000000e+00
3.702073384646403298e+01,2.442056003883549039e-03,1.308743573822998205e-02,0.000000000000000000e+00
3.802127525739702918e+01,2.440232363795536309e-03,1.307818322698957314e-02,0.000000000000000000e+00
3.902181666833002538e+01,2.438409391539118291e-03,1.306893388744667824e-02,0.000000000000000000e+00
4.002235807926302158e+01,2.436587087275599115e-03,1.305968772065019788e-02,0.000000000000000000e+00
4.102289949019601778e+01,2.434765451166332785e-03,1.305044472764928937e-02,0.000000000000000000e+00
4.202344090112901398e+01,2.432944483372731417e-03,1.304120490949341009e-02,0.000000000000000000e+00
4.302398231206201018e+01,2.431124184056263071e-03,1.303196826723231061e-02,0.000000000000000000e+00
4.402452372299500638e+01,2.429304553378445249e-03,1.302273480191599650e-02,0.000000000000000000e+00
4.502506513392800258e+01,2.427485591500857035e-03,1.301350451459479772e-02,0.000000000000000000e+00
4.602560654486099878e+01,2.425667298585123047e-03,1.300427740631926107e-02,0.000000000000000000e+00
4.702614795579399498e+01,2.423849674792949438e-03,1.299505347814037572e-02,0.000000000000000000e+00
