# sloughing=True,sloughing_time=271.2258546793278
time_s,h_total_m,h_crit_m,alpha_water_wall
0.000000000000000000e+00,2.260000000000000290e-03,5.925126433983159135e-02,0.000000000000000000e+00
7.209944486575093400e-04,2.259998510083564838e-03,5.925122543863668018e-02,0.000000000000000000e+00
1.000740294736623071e+00,2.257932496050064995e-03,5.919728192375112164e-02,0.000000000000000000e+00
2.000759595024588222e+00,2.255867481596837004e-03,5.914336328154794209e-02,0.000000000000000000e+00
3.000778895312553818e+00,2.253803466985710054e-03,5.908946952060251112e-02,0.000000000000000000e+00
4.000798195600519414e+00,2.251740452478548891e-03,5.903560064949086444e-02,0.000000000000000000e+00
5.000817495888484565e+00,2.249678438337229108e-03,5.898175667678938472e-02,0.000000000000000000e+00
6.000836796176450605e+00,2.247617424823638004e-03,5.892793761107444767e-02,0.000000000000000000e+00
7.000856096464415756e+00,2.245557412199691936e-03,5.887414346092316453e-02,0.000000000000000000e+00
8.000875396752380908e+00,2.243498400727310729e-03,5.882037423491264655e-02,0.000000000000000000e+00
9.000894697040346060e+00,2.241440390668436762e-03,5.876662994162042131e-02,0.000000000000000000e+00
1.000091399732831121e+01,2.239383382285021085e-03,5.871291058962414822e-02,0.000000000000000000e+00
1.100093329761627814e+01,2.237327375839032097e-03,5.865921618750163241e-02,0.000000000000000000e+00
1.200095259790424329e+01,2.235272371592449039e-03,5.860554674383121332e-02,0.000000000000000000e+00
1.300097189819220844e+01,2.233218369807264594e-03,5.855190226719101526e-02,0.000000000000000000e+00
1.400099119848017359e+01,2.231165370745497034e-03,5.849828276616004380e-02,0.000000000000000000e+00
1.500101049876813875e+01,2.229113374669158560e-03,5.844468824931686041e-02,0.000000000000000000e+00
1.600102979905610567e+01,2.227062381840276984e-03,5.839111872524027635e-02,0.000000000000000000e+00
1.700104909934406905e+01,2.225012392520894430e-03,5.833757420250949149e-02,0.000000000000000000e+00
