# sloughing=False,sloughing_time=nan
time_s,h_total_m,h_crit_m,alpha_water_wall
0.000000000000000000e+00,3.440000000000000783e-03,8.651972971105054144e-02,0.000000000000000000e+00
6.823231046286964193e-04,3.439998439994010511e-03,8.651969096356157407e-02,0.000000000000000000e+00
1.000967994490297608e+00,3.437711828498554462e-03,8.646289533439920072e-02,0.000000000000000000e+00
2.001253665875966536e+00,3.435425931193744273e-03,8.640611607692344487e-02,0.000000000000000000e+00
3.001539337261635687e+00,3.433140748240351946e-03,8.634935319636016793e-02,0.000000000000000000e+00
4.001825008647304394e+00,3.430856279799265277e-03,8.629260669793821503e-02,0.000000000000000000e+00
5.002110680032973100e+00,3.428572526031398952e-03,8.623587658688700031e-02,0.000000000000000000e+00
6.002396351418642695e+00,3.426289487097753089e-03,8.617916286843838036e-02,0.000000000000000000e+00
7.002682022804311401e+00,3.424007163159366839e-03,8.612246554782504449e-02,0.000000000000000000e+00
8.002967694189980108e+00,3.421725554377373895e-03,8.606578463028226322e-02,0.000000000000000000e+00
9.003253365575648814e+00,3.419444660912956523e-03,8.600912012104648674e-02,0.000000000000000000e+00
1.000353903696131752e+01,3.417164482927372449e-03,8.595247202535613584e-02,0.000000000000000000e+00
1.100382470834698800e+01,3.414885020581933175e-03,8.589584034845110239e-02,0.000000000000000000e+00
1.200411037973265671e+01,3.412606274038021328e-03,8.583922509557297131e-02,0.000000000000000000e+00
1.300439605111832542e+01,3.410328243457085018e-03,8.578262627196520107e-02,0.000000000000000000e+00
1.400468172250399412e+01,3.408050929000646084e-03,8.572604388287302646e-02,0.000000000000000000e+00
1.500496739388966283e+01,3.405774330830278404e-03,8.566947793354308394e-02,0.000000000000000000e+00
1.600525306527533331e+01,3.403498449107640860e-03,8.561292842922428592e-02,0.000000000000000000e+00
1.700553873666100202e+01,3.401223283994404909e-03,8.555639537516576687e-02,0.000000000000000000e+00
1.800582440804667073e+01,3.398948835652362572e-03,8.549987877661990865e-02,0.000000000000000000e+00
1.900611007943233943e+01,3.396675104243354875e-03,8.544337863884014783e-02,0.000000000000000000e+00
2.000639575081800814e+01,3.394402089929278790e-03,8.538689496708160021e-02,0.000000000000000000e+00
2.100668142220367685e+01,3.392129792872111520e-03,8.533042776660133832e-02,0.000000000000000000e+00
2.200696709358934555e+01,3.389858213233881874e-03,8.527397704265786416e-02,0.000000000000000000e+00
2.300725276497501426e+01,3.387587351176687186e-03,8.521754280051141439e-02,0.000000000000000000e+00
2.400753843636068297e+01,3.385317206862695043e-03,8.516112504542398820e-02,0.000000000000000000e+00
2.500782410774635167e+01,3.383047780454135917e-03,8.510472378265918070e-02,0.000000000000000000e+00
2.600810977913202038e+01,3.380779072113302731e-03,8.504833901748246050e-02,0.000000000000000000e+00
2.700839545051768908e+01,3.378511082002552159e-03,8.499197075516067013e-02,0.000000000000000000e+00
2.800868112190335779e+01,3.376243810284302888e-03,8.493561900096245620e-02,0.000000000000000000e+00
2.900896679328902650e+01,3.373977257121054708e-03,8.487928376015836662e-02,0.000000000000000000e+00
3.000925246467469876e+01,3.371711422675358148e-03,8.482296503802043419e-02,0.000000000000000000e+00
3.100953813606036746e+01,3.369446307109812740e-03,8.476666283982203787e-02,0.000000000000000000e+00
3.200982380744603262e+01,3.367181910587119936e-03,8.471037717083887419e-02,0.000000000000000000e+00
3.301010947883170132e+01,3.364918233270022818e-03,8.465410803634802750e-02,0.000000000000000000e+00
3.401039515021737003e+01,3.362655275321322582e-03,8.459785544162791437e-02,0.000000000000000000e+00
3.501068082160303874e+01,3.360393036903919304e-03,8.454161939195961595e-02,0.000000000000000000e+00
3.601096649298870744e+01,3.358131518180742982e-03,8.448539989262499050e-02,0.000000000000000000e+00
3.701125216437438326e+01,3.355870719314803848e-03,8.442919694890781146e-02,0.000000000000000000e+00
3.801153783576005196e+01,3.353610640469174582e-03,8.437301056609372574e-02,0.000000000000000000e+00
3.901182350714572067e+01,3.351351281806981639e-03,8.431684074946951823e-02,0.000000000000000000e+00
4.001210917853138938e+01,3.349092643491424770e-03,8.426068750432412491e-02,0.000000000000000000e+00
4.101239484991705808e+01,3.346834725685782653e-03,8.420455083594831358e-02,0.000000000000000000e+00
4.201268052130272679e+01,3.344577528553374299e-03,8.414843074963399006e-02,0.000000000000000000e+00
4.301296619268839549e+01,3.342321052257595914e-03,8.409232725067507241e-02,0.000000000000000000e+00
4.401325186407406420e+01,3.340065296961909624e-03,8.403624034436717183e-02,0.000000000000000000e+00
4.501353753545973291e+01,3.337810262829842174e-03,8.398017003600755093e-02,0.000000000000000000e+00
4.601382320684540161e+01,3.335555950024976252e-03,8.392411633089487399e-02,0.000000000000000000e+00
4.701410887823107032e+01,3.333302358710963070e-03,8.386807923432973433e-02,0.000000000000000000e+00
4.801439454961673903e+01,3.331049489051524960e-03,8.381205875161448771e-02,0.000000000000000000e+00
4.901468022100240773e+01,3.328797341210442805e-03,8.375605488805289156e-02,0.000000000000000000e+00
5.001496589238807644e+01,3.326545915351559937e-03,8.370006764895056295e-02,0.000000000000000000e+00
5.101525156377374515e+01,3.324295211638796013e-03,8.364409703961479814e-02,0.000000000000000000e+00
5.201553723515941385e+01,3.322045230236110591e-03,8.358814306535417016e-02,0.000000000000000000e+00
5.301582290654508256e+01,3.319795971307539124e-03,8.353220573147911165e-02,0.000000000000000000e+00
5.401610857793075127e+01,3.317547435017205101e-03,8.347628504330237287e-02,0.000000000000000000e+00
5.501639424931641997e+01,3.315299621529270175e-03,8.342038100613764773e-02,0.000000000000000000e+00
5.601667992070208868e+01,3.313052531007958015e-03,8.336449362530026774e-02,0.000000000000000000e+00
5.701696559208775739e+01,3.310806163617566449e-03,8.330862290610745180e-02,0.000000000000000000e+00
5.801725126347342609e+01,3.308560519522459227e-03,8.325276885387820902e-02,0.000000000000000000e+00
5.901753693485909480e+01,3.306315598887075123e-03,8.319693147393331101e-02,0.000000000000000000e+00
6.001782260624476351e+01,3.304071401875877632e-03,8.314111077159437591e-02,0.000000000000000000e+00
6.101810827763043221e+01,3.301827928653432165e-03,8.308530675218550599e-02,0.000000000000000000e+00
6.201839394901610092e+01,3.299585179384354004e-03,8.302951942103223293e-02,0.000000000000000000e+00
6.301867962040176963e+01,3.297343154233325652e-03,8.297374878346171212e-02,0.000000000000000000e+00
6.401896529178743833e+01,3.295101853365090764e-03,8.291799484480263938e-02,0.000000000000000000e+00
6.501925096317310704e+01,3.292861276944458043e-03,8.286225761038558402e-02,0.000000000000000000e+00
6.601953663455877575e+01,3.290621425136308186e-03,8.280653708554280845e-02,0.000000000000000000e+00
6.701982230594444445e+01,3.288382298105568292e-03,8.275083327560785185e-02,0.000000000000000000e+00
6.802010797733011316e+01,3.286143896017249162e-03,8.269514618591636279e-02,0.000000000000000000e+00
6.902039364871578186e+01,3.283906219036409301e-03,8.263947582180530826e-02,0.000000000000000000e+00
7.002067932010145057e+01,3.281669267328175300e-03,8.258382218861329283e-02,0.000000000000000000e+00
7.102096499148711928e+01,3.279433041057738373e-03,8.252818529168068351e-02,0.000000000000000000e+00
