# sloughing=True,sloughing_time=214.04446968209663
time_s,h_total_m,h_crit_m,alpha_water_wall
0.000000000000000000e+00,4.519999999999999712e-03,7.413409725739006362e-02,0.000000000000000000e+00
7.051281474864328587e-04,4.519997579883836686e-03,7.413405791756995378e-02,0.000000000000000000e+00
1.001281969430734664e+00,4.516564076744291299e-03,7.407824448445064769e-02,0.000000000000000000e+00
2.001858810713982972e+00,4.513131856302203711e-03,7.402245058511824904e-02,0.000000000000000000e+00
3.002435651997231059e+00,4.509700918871594431e-03,7.396667622610747506e-02,0.000000000000000000e+00
4.003012493280479589e+00,4.506271264766601066e-03,7.391092141395498583e-02,0.000000000000000000e+00
5.003589334563727675e+00,4.502842894301446221e-03,7.385518615519895413e-02,0.000000000000000000e+00
6.004166175846975761e+00,4.499415807790486943e-03,7.379947045637959280e-02,0.000000000000000000e+00
7.004743017130223848e+00,4.495990005548142730e-03,7.374377432403830812e-02,0.000000000000000000e+00
8.005319858413471934e+00,4.492565487888979664e-03,7.368809776471887951e-02,0.000000000000000000e+00
9.005896699696720020e+00,4.489142255127651429e-03,7.363244078496646028e-02,0.000000000000000000e+00
1.000647354097996811e+01,4.485720307578922733e-03,7.357680339132816050e-02,0.000000000000000000e+00
1.100705038226321619e+01,4.482299645557637213e-03,7.352118559035235312e-02,0.000000000000000000e+00
1.200762722354646428e+01,4.478880269378791162e-03,7.346558738858988136e-02,0.000000000000000000e+00
1.300820406482971414e+01,4.475462179357434650e-03,7.341000879259254597e-02,0.000000000000000000e+00
1.400878090611296223e+01,4.472045375808761727e-03,7.335444980891452083e-02,0.000000000000000000e+00
1.500935774739621031e+01,4.468629859048046243e-03,7.329891044411131207e-02,0.000000000000000000e+00
1.600993458867945662e+01,4.465215629390673069e-03,7.324339070474016056e-02,0.000000000000000000e+00
1.701051142996270471e+01,4.461802687152129424e-03,7.318789059736012514e-02,0.000000000000000000e+00
1.801108827124595280e+01,4.458391032648021356e-03,7.313241012853213818e-02,0.000000000000000000e+00
1.901166511252920444e+01,4.454980666194044252e-03,7.307694930481868634e-02,0.000000000000000000e+00
2.001224195381245252e+01,4.451571588105984571e-03,7.302150813278365793e-02,0.000000000000000000e+00
2.101281879509570061e+01,4.448163798699747602e-03,7.296608661899303683e-02,0.000000000000000000e+00
2.201339563637894869e+01,4.444757298291345318e-03,7.291068477001449999e-02,0.000000000000000000e+00
2.301397247766219678e+01,4.441352087196880766e-03,7.285530259241716766e-02,0.000000000000000000e+00
2.401454931894544487e+01,4.437948165732578422e-03,7.279994009277222788e-02,0.000000000000000000e+00
2.501512616022869295e+01,4.434545534214742561e-03,7.274459727765227035e-02,0.000000000000000000e+00
2.601570300151194104e+01,4.431144192959786746e-03,7.268927415363148070e-02,0.000000000000000000e+00
2.701627984279518913e+01,4.427744142284218212e-03,7.263397072728580706e-02,0.000000000000000000e+00
2.801685668407843721e+01,4.424345382504683843e-03,7.257868700519334859e-02,0.000000000000000000e+00
2.901743352536168530e+01,4.420947913937875624e-03,7.252342299393303715e-02,0.000000000000000000e+00
3.001801036664493338e+01,4.417551736900639930e-03,7.246817870008628870e-02,0.000000000000000000e+00
3.101858720792818147e+01,4.414156851709889057e-03,7.241295413023564331e-02,0.000000000000000000e+00
3.201916404921143311e+01,4.410763258682651525e-03,7.235774929096561170e-02,0.000000000000000000e+00
3.301974089049468120e+01,4.407370958136061674e-03,7.230256418886230052e-02,0.000000000000000000e+00
3.402031773177792928e+01,4.403979950387336244e-03,7.224739883051332912e-02,0.000000000000000000e+00
3.502089457306117737e+01,4.400590235753811669e-03,7.219225322250821808e-02,0.000000000000000000e+00
3.602147141434442545e+01,4.397201814552906783e-03,7.213712737143777864e-02,0.000000000000000000e+00
3.702204825562767354e+01,4.393814687102161852e-03,7.208202128389497310e-02,0.000000000000000000e+00
3.802262509691092163e+01,4.390428853719196937e-03,7.202693496647398497e-02,0.000000000000000000e+00
3.902320193819416971e+01,4.387044314721750063e-03,7.197186842577094068e-02,0.000000000000000000e+00
4.002377877947741780e+01,4.383661070427643386e-03,7.191682166838339607e-02,0.000000000000000000e+00
4.102435562076066589e+01,4.380279121154806617e-03,7.186179470091060006e-02,0.000000000000000000e+00
4.202493246204391397e+01,4.376898467221264875e-03,7.180678752995348080e-02,0.000000000000000000e+00
4.302550930332716206e+01,4.373519108945164713e-03,7.175180016211485379e-02,0.000000000000000000e+00
4.402608614461041014e+01,4.370141046644722936e-03,7.169683260399878355e-02,0.000000000000000000e+00
4.502666298589365823e+01,4.366764280638242221e-03,7.164188486221070851e-02,0.000000000000000000e+00
4.602723982717690632e+01,4.363388811244162287e-03,7.158695694335825976e-02,0.000000000000000000e+00
4.702781666846015440e+01,4.360014638781020864e-03,7.153204885405083091e-02,0.000000000000000000e+00
4.802839350974340249e+01,4.356641763567418134e-03,7.147716060089866208e-02,0.000000000000000000e+00
4.902897035102665058e+01,4.353270185922080045e-03,7.142229219051422773e-02,0.000000000000000000e+00
5.002954719230989866e+01,4.349899906163853108e-03,7.136744362951184806e-02,0.000000000000000000e+00
5.103012403359314675e+01,4.346530924611591643e-03,7.131261492450607919e-02,0.000000000000000000e+00
5.203070087487639483e+01,4.343163241584340785e-03,7.125780608211451650e-02,0.000000000000000000e+00
5.303127771615964292e+01,4.339796857401208123e-03,7.120301710895590719e-02,0.000000000000000000e+00
5.403185455744289101e+01,4.336431772381419206e-03,7.114824801165074708e-02,0.000000000000000000e+00
5.503243139872613909e+01,4.333067986844238613e-03,7.109349879682042017e-02,0.000000000000000000e+00
5.603300824000938718e+01,4.329705501109093989e-03,7.103876947108875295e-02,0.000000000000000000e+00
5.703358508129263527e+01,4.326344315495467621e-03,7.098406004108057110e-02,0.000000000000000000e+00
5.803416192257588335e+01,4.322984430322966698e-03,7.092937051342276811e-02,0.000000000000000000e+00
5.903473876385913144e+01,4.319625845911274735e-03,7.087470089474350032e-02,0.000000000000000000e+00
6.003531560514237952e+01,4.316268562580171525e-03,7.082005119167246454e-02,0.000000000000000000e+00
6.103589244642562761e+01,4.312912580649559159e-03,7.076542141084134208e-02,0.000000000000000000e+00
6.203646928770887570e+01,4.309557900439384831e-03,7.071081155888260528e-02,0.000000000000000000e+00
6.303704612899212378e+01,4.306204522269731910e-03,7.065622164243091918e-02,0.000000000000000000e+00
6.403762297027537898e+01,4.302852446460768768e-03,7.060165166812239212e-02,0.000000000000000000e+00
6.503819981155862706e+01,4.299501673332755715e-03,7.054710164259457572e-02,0.000000000000000000e+00
6.603877665284187515e+01,4.296152203206062350e-03,7.049257157248686734e-02,0.000000000000000000e+00
6.703935349412512323e+01,4.292804036401139806e-03,7.043806146443996885e-02,0.000000000000000000e+00
6.803993033540837132e+01,4.289457173238521610e-03,7.038357132509595604e-02,0.000000000000000000e+00
6.904050717669161941e+01,4.286111614038854052e-03,7.032910116109870879e-02,0.000000000000000000e+00
7.004108401797486749e+01,4.282767359122866685e-03,7.027465097909355030e-02,0.000000000000000000e+00
7.104166085925811558e+01,4.279424408811381871e-03,7.022022078572719150e-02,0.000000000000000000e+00
7.204223770054136367e+01,4.276082763425337330e-03,7.016581058764843892e-02,0.000000000000000000e+00
7.304281454182461175e+01,4.272742423285741040e-03,7.011142039150700112e-02,0.000000000000000000e+00
7.404339138310785984e+01,4.269403388713689448e-03,7.005705020395416871e-02,0.000000000000000000e+00
7.504396822439110792e+01,4.266065660030390026e-03,7.000270003164310584e-02,0.000000000000000000e+00
7.604454506567435601e+01,4.262729237557142184e-03,6.994836988122836441e-02,0.000000000000000000e+00
7.704512190695760410e+01,4.259394121615319925e-03,6.989405975936570370e-02,0.000000000000000000e+00
7.804569874824085218e+01,4.256060312526419552e-03,6.983976967271304792e-02,0.000000000000000000e+00
7.904627558952410027e+01,4.252727810612009357e-03,6.978549962792933437e-02,0.000000000000000000e+00
8.004685243080734836e+01,4.249396616193720083e-03,6.973124963167454116e-02,0.000000000000000000e+00
8.104742927209059644e+01,4.246066729593322986e-03,6.967701969061100564e-02,0.000000000000000000e+00
8.204800611337384453e+01,4.242738151132678659e-03,6.962280981140250846e-02,0.000000000000000000e+00
8.304858295465709261e+01,4.239410881133706677e-03,6.956862000071378782e-02,0.000000000000000000e+00
8.404915979594034070e+01,4.236084919918429829e-03,6.951445026521120563e-02,0.000000000000000000e+00
8.504973663722358879e+01,4.232760267808982797e-03,6.946030061156303892e-02,0.000000000000000000e+00
8.605031347850683687e+01,4.229436925127562710e-03,6.940617104643850843e-02,0.000000000000000000e+00
8.705089031979008496e+01,4.226114892196458639e-03,6.935206157650847247e-02,0.000000000000000000e+00
8.805146716107333305e+01,4.222794169338064604e-03,6.929797220844526040e-02,0.000000000000000000e+00
8.905204400235658113e+01,4.219474756874867435e-03,6.924390294892295017e-02,0.000000000000000000e+00
9.005262084363982922e+01,4.216156655129424217e-03,6.918985380461661894e-02,0.000000000000000000e+00
9.105319768492307730e+01,4.212839864424388313e-03,6.913582478220303695e-02,0.000000000000000000e+00
9.205377452620632539e+01,4.209524385082541453e-03,6.908181588836091735e-02,0.000000000000000000e+00
9.305435136748957348e+01,4.206210217426669708e-03,6.902782712976912594e-02,0.000000000000000000e+00
9.405492820877282156e+01,4.202897361779702259e-03,6.897385851310891547e-02,0.000000000000000000e+00
9.505550505005606965e+01,4.199585818464665436e-03,6.891991004506298202e-02,0.000000000000000000e+00
9.605608189133931774e+01,4.196275587804643679e-03,6.886598173231504860e-02,0.000000000000000000e+00
9.705665873262256582e+01,4.192966670122841126e-03,6.881207358155083664e-02,0.000000000000000000e+00
9.805723557390581391e+01,4.189659065742529567e-03,6.875818559945709452e-02,0.000000000000000000e+00
9.905781241518906199e+01,4.186352774987067531e-03,6.870431779272197226e-02,0.000000000000000000e+00
1.000583892564723101e+02,4.183047798179902015e-03,6.865047016803506319e-02,0.000000000000000000e+00
1.010589660977555582e+02,4.179744135644571090e-03,6.859664273208754270e-02,0.000000000000000000e+00
1.020595429390388063e+02,4.176441787704705637e-03,6.854283549157193234e-02,0.000000000000000000e+00
1.030601197803220543e+02,4.173140754684002453e-03,6.848904845318198875e-02,0.000000000000000000e+00
1.040606966216053024e+02,4.169841036906275430e-03,6.843528162361316169e-02,0.000000000000000000e+00
1.050612734628885505e+02,4.166542634695393973e-03,6.838153500956203890e-02,0.000000000000000000e+00
