# sloughing=False,sloughing_time=nan
time_s,h_total_m,h_crit_m,alpha_water_wall
0.000000000000000000e+00,3.139999999999998695e-03,2.370675277654342439e-02,0.000000000000000000e+00
6.337509372959176197e-04,3.139999136405283425e-03,2.370674657856355200e-02,0.000000000000000000e+00
1.000692729990253937e+00,3.138636507972337140e-03,2.369696693367849202e-02,0.000000000000000000e+00
2.000751709043211868e+00,3.137274127468149109e-03,2.368718882278799190e-02,0.000000000000000000e+00
3.000810688096169798e+00,3.135911994931627877e-03,2.367741224629605484e-02,0.000000000000000000e+00
4.000869667149127729e+00,3.134550110401685893e-03,2.366763720460669795e-02,0.000000000000000000e+00
5.000928646202085659e+00,3.133188473917260762e-03,2.365786369812415690e-02,0.000000000000000000e+00
6.000987625255043589e+00,3.131827085517296157e-03,2.364809172725271941e-02,0.000000000000000000e+00
7.001046604308001520e+00,3.130465945240755270e-03,2.363832129239684318e-02,0.000000000000000000e+00
8.001105583360960338e+00,3.129105053126611698e-03,2.362855239396104146e-02,0.000000000000000000e+00
9.001164562413917380e+00,3.127744409213853785e-03,2.361878503234994889e-02,0.000000000000000000e+00
1.000122354146687620e+01,3.126384013541505871e-03,2.360901920796851586e-02,0.000000000000000000e+00
1.100128252051983324e+01,3.125023866148581454e-03,2.359925492122155744e-02,0.000000000000000000e+00
1.200134149957279206e+01,3.123663967074117014e-03,2.358949217251415237e-02,0.000000000000000000e+00
1.300140047862574910e+01,3.122304316357164648e-03,2.357973096225143839e-02,0.000000000000000000e+00
1.400145945767870792e+01,3.120944914036796400e-03,2.356997129083870587e-02,0.000000000000000000e+00
1.500151843673166674e+01,3.119585760152092987e-03,2.356021315868135971e-02,0.000000000000000000e+00
1.600157741578462378e+01,3.118226854742146403e-03,2.355045656618490885e-02,0.000000000000000000e+00
1.700163639483758260e+01,3.116868197846080733e-03,2.354070151375506348e-02,0.000000000000000000e+00
1.800169537389054142e+01,3.115509789503020932e-03,2.353094800179754767e-02,0.000000000000000000e+00
1.900175435294349668e+01,3.114151629752107998e-03,2.352119603071827630e-02,0.000000000000000000e+00
2.000181333199645550e+01,3.112793718632509386e-03,2.351144560092330305e-02,0.000000000000000000e+00
2.100187231104941432e+01,3.111436056183388647e-03,2.350169671281871278e-02,0.000000000000000000e+00
2.200193129010237314e+01,3.110078642443944458e-03,2.349194936681081591e-02,0.000000000000000000e+00
2.300199026915532841e+01,3.108721477453374633e-03,2.348220356330594366e-02,0.000000000000000000e+00
2.400204924820828722e+01,3.107364561250897800e-03,2.347245930271063194e-02,0.000000000000000000e+00
2.500210822726124604e+01,3.106007893875751668e-03,2.346271658543148952e-02,0.000000000000000000e+00
2.600216720631420486e+01,3.104651475367189127e-03,2.345297541187529519e-02,0.000000000000000000e+00
2.700222618536716368e+01,3.103295305764474342e-03,2.344323578244891793e-02,0.000000000000000000e+00
2.800228516442011895e+01,3.101939385106886656e-03,2.343349769755936549e-02,0.000000000000000000e+00
2.900234414347307776e+01,3.100583713433725797e-03,2.342376115761377747e-02,0.000000000000000000e+00
3.000240312252603658e+01,3.099228290784294092e-03,2.341402616301931430e-02,0.000000000000000000e+00
3.100246210157899540e+01,3.097873117197925963e-03,2.340429271418340701e-02,0.000000000000000000e+00
3.200252108063195067e+01,3.096518192713957566e-03,2.339456081151350744e-02,0.000000000000000000e+00
3.300258005968490949e+01,3.095163517371751511e-03,2.338483045541726174e-02,0.000000000000000000e+00
3.400263903873786830e+01,3.093809091210677781e-03,2.337510164630240972e-02,0.000000000000000000e+00
3.500269801779082712e+01,3.092454914270124575e-03,2.336537438457679181e-02,0.000000000000000000e+00
3.600275699684378594e+01,3.091100986589500471e-03,2.335564867064843578e-02,0.000000000000000000e+00
3.700281597589674476e+01,3.089747308208209281e-03,2.334592450492536247e-02,0.000000000000000000e+00
3.800287495494970358e+01,3.088393879165695147e-03,2.333620188781583560e-02,0.000000000000000000e+00
3.900293393400265529e+01,3.087040699501400910e-03,2.332648081972818824e-02,0.000000000000000000e+00
4.000299291305561411e+01,3.085687769254797600e-03,2.331676130107092695e-02,0.000000000000000000e+00
4.100305189210857293e+01,3.084335088465356249e-03,2.330704333225260341e-02,0.000000000000000000e+00
4.200311087116153175e+01,3.082982657172579546e-03,2.329732691368197398e-02,0.000000000000000000e+00
4.300316985021449057e+01,3.081630475415976685e-03,2.328761204576790256e-02,0.000000000000000000e+00
4.400322882926744938e+01,3.080278543235063365e-03,2.327789872891929124e-02,0.000000000000000000e+00
4.500328780832040820e+01,3.078926860669395620e-03,2.326818696354529190e-02,0.000000000000000000e+00
4.600334678737336702e+01,3.077575427758517338e-03,2.325847675005505988e-02,0.000000000000000000e+00
4.700340576642631873e+01,3.076224244542005801e-03,2.324876808885798299e-02,0.000000000000000000e+00
4.800346474547927755e+01,3.074873311059446099e-03,2.323906098036349413e-02,0.000000000000000000e+00
4.900352372453223637e+01,3.073522627350422452e-03,2.322935542498105049e-02,0.000000000000000000e+00
5.000358270358519519e+01,3.072172193454587603e-03,2.321965142312061928e-02,0.000000000000000000e+00
5.100364168263815401e+01,3.070822009411560902e-03,2.320994897519191094e-02,0.000000000000000000e+00
5.200370066169111283e+01,3.069472075260983382e-03,2.320024808160487534e-02,0.000000000000000000e+00
5.300375964074407165e+01,3.068122391042530338e-03,2.319054874276960110e-02,0.000000000000000000e+00
5.400381861979703046e+01,3.066772956795866222e-03,2.318085095909624971e-02,0.000000000000000000e+00
5.500387759884998928e+01,3.065423772560698420e-03,2.317115473099519429e-02,0.000000000000000000e+00
5.600393657790294100e+01,3.064074838376727380e-03,2.316146005887685655e-02,0.000000000000000000e+00
5.700399555695589981e+01,3.062726154283688246e-03,2.315176694315186634e-02,0.000000000000000000e+00
5.800405453600885863e+01,3.061377720321313556e-03,2.314207538423084659e-02,0.000000000000000000e+00
5.900411351506181745e+01,3.060029536529368377e-03,2.313238538252467696e-02,0.000000000000000000e+00
6.000417249411477627e+01,3.058681602947620377e-03,2.312269693844428570e-02,0.000000000000000000e+00
6.100423147316773509e+01,3.057333919615856741e-03,2.311301005240075715e-02,0.000000000000000000e+00
6.200429045222069391e+01,3.055986486573881566e-03,2.310332472480528671e-02,0.000000000000000000e+00
6.300434943127365273e+01,3.054639303861508923e-03,2.309364095606917383e-02,0.000000000000000000e+00
6.400440841032660444e+01,3.053292371518578907e-03,2.308395874660388106e-02,0.000000000000000000e+00
6.500446738937957036e+01,3.051945689584936814e-03,2.307427809682096112e-02,0.000000000000000000e+00
6.600452636843252208e+01,3.050599258100448758e-03,2.306459900713212288e-02,0.000000000000000000e+00
6.700458534748548800e+01,3.049253077104995598e-03,2.305492147794916541e-02,0.000000000000000000e+00
6.800464432653843971e+01,3.047907146638470337e-03,2.304524550968406124e-02,0.000000000000000000e+00
6.900470330559139143e+01,3.046561466740790695e-03,2.303557110274888700e-02,0.000000000000000000e+00
7.000476228464435735e+01,3.045216037451876565e-03,2.302589825755578176e-02,0.000000000000000000e+00
