# sloughing=True,sloughing_time=385.0766062208816
time_s,h_total_m,h_crit_m,alpha_water_wall
0.000000000000000000e+00,3.400000000000001112e-03,9.618919555963617238e-03,0.000000000000000000e+00
4.001436138570551877e-04,3.399998661709566477e-03,9.618916007409116647e-03,0.000000000000000000e+00
1.000759178256495074e+00,3.396653835227143002e-03,9.610046907306489181e-03,0.000000000000000000e+00
2.001118212899132942e+00,3.393310807539839762e-03,9.601182378724806496e-03,0.000000000000000000e+00
3.001477247541771032e+00,3.389969579120024126e-03,9.592322423229790104e-03,0.000000000000000000e+00
4.001836282184409121e+00,3.386630150440017931e-03,9.583467042387003657e-03,0.000000000000000000e+00
5.002195316827046767e+00,3.383292521972058008e-03,9.574616237761728044e-03,0.000000000000000000e+00
6.002554351469685301e+00,3.379956694188328715e-03,9.565770010919074154e-03,0.000000000000000000e+00
7.002913386112322947e+00,3.376622667560901219e-03,9.556928363423833686e-03,0.000000000000000000e+00
8.003272420754960592e+00,3.373290442561817631e-03,9.548091296840649153e-03,0.000000000000000000e+00
9.003631455397599126e+00,3.369960019663025084e-03,9.539258812733890716e-03,0.000000000000000000e+00
1.000399049004023588e+01,3.366631399336393517e-03,9.530430912667678736e-03,0.000000000000000000e+00
1.100434952468287442e+01,3.363304582053703966e-03,9.521607598205859488e-03,0.000000000000000000e+00
1.200470855932551295e+01,3.359979568286669376e-03,9.512788870912055467e-03,0.000000000000000000e+00
1.300506759396815148e+01,3.356656358506927666e-03,9.503974732349649776e-03,0.000000000000000000e+00
1.400542662861078824e+01,3.353334953186030455e-03,9.495165184081758372e-03,0.000000000000000000e+00
1.500578566325342678e+01,3.350015352795433516e-03,9.486360227671193635e-03,0.000000000000000000e+00
1.600614469789606531e+01,3.346697557806510223e-03,9.477559864680516408e-03,0.000000000000000000e+00
1.700650373253870384e+01,3.343381568690569766e-03,9.468764096672079369e-03,0.000000000000000000e+00
1.800686276718133882e+01,3.340067385918809879e-03,9.459972925207883049e-03,0.000000000000000000e+00
