# sloughing=False,sloughing_time=nan
time_s,h_total_m,h_crit_m,alpha_water_wall
0.000000000000000000e+00,1.799999999999999517e-03,1.942496480874909004e-01,0.000000000000000000e+00
5.921628450410530015e-04,1.799999665701962999e-03,1.942496133851869811e-01,0.000000000000000000e+00
1.000755208119379569e+00,1.799435071250870492e-03,1.941910040741367527e-01,0.000000000000000000e+00
2.000918253393717983e+00,1.798870546629858722e-03,1.941324005211561010e-01,0.000000000000000000e+00
3.001081298668056618e+00,1.798306091846886166e-03,1.940738027275677180e-01,0.000000000000000000e+00
4.001244343942395254e+00,1.797741706909920410e-03,1.940152106946949340e-01,0.000000000000000000e+00
5.001407389216733890e+00,1.797177391826928388e-03,1.939566244238613846e-01,0.000000000000000000e+00
6.001570434491072525e+00,1.796613146605879202e-03,1.938980439163908998e-01,0.000000000000000000e+00
7.001733479765410273e+00,1.796048971254747160e-03,1.938394691736077813e-01,0.000000000000000000e+00
8.001896525039748909e+00,1.795484865781509605e-03,1.937809001968367195e-01,0.000000000000000000e+00
9.002059570314088432e+00,1.794920830194139108e-03,1.937223369874023771e-01,0.000000000000000000e+00
1.000222261558842618e+01,1.794356864500622987e-03,1.936637795466303047e-01,0.000000000000000000e+00
1.100238566086276393e+01,1.793792968708939235e-03,1.936052278758456924e-01,0.000000000000000000e+00
1.200254870613710345e+01,1.793229142827073219e-03,1.935466819763743129e-01,0.000000000000000000e+00
1.300271175141144120e+01,1.792665386863012906e-03,1.934881418495423000e-01,0.000000000000000000e+00
1.400287479668578072e+01,1.792101700824750166e-03,1.934296074966762591e-01,0.000000000000000000e+00
1.500303784196011847e+01,1.791538084720270584e-03,1.933710789191022683e-01,0.000000000000000000e+00
1.600320088723445622e+01,1.790974538557580341e-03,1.933125561181484597e-01,0.000000000000000000e+00
1.700336393250879752e+01,1.790411062344671959e-03,1.932540390951416609e-01,0.000000000000000000e+00
1.800352697778313527e+01,1.789847656089545115e-03,1.931955278514095320e-01,0.000000000000000000e+00
1.900369002305747301e+01,1.789284319800201438e-03,1.931370223882800108e-01,0.000000000000000000e+00
2.000385306833181076e+01,1.788721053484645810e-03,1.930785227070813403e-01,0.000000000000000000e+00
2.100401611360614851e+01,1.788157857150886364e-03,1.930200288091421523e-01,0.000000000000000000e+00
2.200417915888048981e+01,1.787594730806932753e-03,1.929615406957914392e-01,0.000000000000000000e+00
2.300434220415482756e+01,1.787031674460798749e-03,1.929030583683584987e-01,0.000000000000000000e+00
2.400450524942916530e+01,1.786468688120495521e-03,1.928445818281725177e-01,0.000000000000000000e+00
2.500466829470350305e+01,1.785905771794044430e-03,1.927861110765638486e-01,0.000000000000000000e+00
2.600483133997784080e+01,1.785342925489460985e-03,1.927276461148621223e-01,0.000000000000000000e+00
2.700499438525218210e+01,1.784780149214770448e-03,1.926691869443980798e-01,0.000000000000000000e+00
2.800515743052651985e+01,1.784217442977998301e-03,1.926107335665026565e-01,0.000000000000000000e+00
2.900532047580085759e+01,1.783654806787171110e-03,1.925522859825068434e-01,0.000000000000000000e+00
3.000548352107519534e+01,1.783092240650309152e-03,1.924938441937411593e-01,0.000000000000000000e+00
3.100564656634953664e+01,1.782529744575458508e-03,1.924354082015387324e-01,0.000000000000000000e+00
3.200580961162387439e+01,1.781967318570649213e-03,1.923769780072310531e-01,0.000000000000000000e+00
3.300597265689821569e+01,1.781404962643915639e-03,1.923185536121502781e-01,0.000000000000000000e+00
3.400613570217254988e+01,1.780842676803298446e-03,1.922601350176292578e-01,0.000000000000000000e+00
3.500629874744689118e+01,1.780280461056839595e-03,1.922017222250007318e-01,0.000000000000000000e+00
