Time (HH:MM:SS) - Setpoint	Temperature (ºC) - Setpoint	Time (HH:MM:SS) - Sensor 1	Temperature (ºC) - Sensor 1	Time (HH:MM:SS) - Sensor 2	Temperature (ºC) - Sensor 2	Time (HH:MM:SS) - Power	          Power (%) - Power
14:26:17	-20	14:26:17	-20.02	14:26:17	-97.2	14:26:17	-76
14:26:18	-20	14:26:18	-20.02	14:26:18	-97.2	14:26:18	-76
14:26:19	-20	14:26:19	-20.02	14:26:19	-97.2	14:26:19	-76
14:26:20	-20	14:26:20	-20.01	14:26:20	-97.2	14:26:20	-77
14:26:21	-20	14:26:21	-20.01	14:26:21	-97.2	14:26:21	-76
14:26:22	-20	14:26:22	-20.01	14:26:22	-97.2	14:26:22	-76
14:26:23	-20	14:26:23	-20.02	14:26:23	-97.2	14:26:23	-76
14:26:24	-20	14:26:24	-20.02	14:26:24	-97.2	14:26:24	-76
14:26:25	-20	14:26:25	-20.02	14:26:25	-97.2	14:26:25	-76
14:26:26	-20	14:26:26	-20.01	14:26:26	-97.2	14:26:26	-77
14:26:27	-20	14:26:27	-20.01	14:26:27	-97.2	14:26:27	-76
14:26:28	-20	14:26:28	-20.01	14:26:28	-97.2	14:26:28	-76
14:26:29	-20	14:26:29	-20.01	14:26:29	-97.2	14:26:29	-76
14:26:30	-20	14:26:30	-20.02	14:26:30	-97.2	14:26:30	-76
14:26:31	-20	14:26:31	-20.02	14:26:31	-97.2	14:26:31	-76
14:26:32	-20	14:26:32	-20.01	14:26:32	-97.2	14:26:32	-76
14:26:33	-20	14:26:33	-20.01	14:26:33	-97.2	14:26:33	-76
14:26:34	-20	14:26:34	-20.01	14:26:34	-97.2	14:26:34	-76
14:26:35	-20	14:26:35	-20.01	14:26:35	-97.2	14:26:35	-76
14:26:36	-20	14:26:36	-20.02	14:26:36	-97.2	14:26:36	-76
14:26:37	-20	14:26:37	-20	14:26:37	-97.2	14:26:37	-76
14:26:38	-20	14:26:38	-20.01	14:26:38	-97.2	14:26:38	-76
14:26:39	-20	14:26:39	-20.01	14:26:39	-97.2	14:26:39	-76
14:26:40	-20	14:26:40	-20.01	14:26:40	-97.2	14:26:40	-76
14:26:41	-20	14:26:41	-20.01	14:26:41	-97.2	14:26:41	-76
14:26:42	-20	14:26:42	-20	14:26:42	-97.1	14:26:42	-77
14:26:43	-20	14:26:43	-20.02	14:26:43	-97.2	14:26:43	-76
14:26:44	-20	14:26:44	-20.02	14:26:44	-97.2	14:26:44	-76
14:26:45	-20	14:26:45	-20.02	14:26:45	-97.2	14:26:45	-76
14:26:46	-20	14:26:46	-20.02	14:26:46	-97.2	14:26:46	-76
14:26:47	-20	14:26:47	-20	14:26:47	-97.2	14:26:47	-76
14:26:48	-20	14:26:48	-20	14:26:48	-97.2	14:26:48	-76
14:26:49	-20	14:26:49	-20.02	14:26:49	-97.2	14:26:49	-76
14:26:50	-20	14:26:50	-20.02	14:26:50	-97.2	14:26:50	-76
14:26:51	-20	14:26:51	-20	14:26:51	-97.1	14:26:51	-77
14:26:52	-20	14:26:52	-20.01	14:26:52	-97.1	14:26:52	-77
14:26:53	-20	14:26:53	-20.02	14:26:53	-97.2	14:26:53	-76
14:26:54	-20	14:26:54	-20	14:26:54	-97.1	14:26:54	-77
14:26:55	-20	14:26:55	-20.02	14:26:55	-97.2	14:26:55	-76
14:26:56	-20	14:26:56	-20	14:26:56	-97.2	14:26:56	-76
14:26:57	-20	14:26:57	-20	14:26:57	-97.2	14:26:57	-76
14:26:58	-20	14:26:58	-20.01	14:26:58	-97.2	14:26:58	-76
14:26:59	-20	14:26:59	-20.01	14:26:59	-97.2	14:26:59	-76
14:27:00	-20	14:27:00	-20.01	14:27:00	-97.2	14:27:00	-76
14:27:01	-20	14:27:01	-20.02	14:27:01	-97.2	14:27:01	-76
14:27:02	-20	14:27:02	-20	14:27:02	-97.2	14:27:02	-77
14:27:03	-20	14:27:03	-20.02	14:27:03	-97.2	14:27:03	-76
14:27:04	-20	14:27:04	-20.02	14:27:04	-97.2	14:27:04	-76
14:27:05	-20	14:27:05	-20.02	14:27:05	-97.2	14:27:05	-76
14:27:06	-20	14:27:06	-20.02	14:27:06	-97.2	14:27:06	-76
14:27:07	-20	14:27:07	-20.02	14:27:07	-97.2	14:27:07	-76
14:27:08	-20	14:27:08	-20.02	14:27:08	-97.2	14:27:08	-76
14:27:09	-20	14:27:09	-20.02	14:27:09	-97.2	14:27:09	-76
14:27:10	-20	14:27:10	-20.02	14:27:10	-97.2	14:27:10	-76
14:27:11	-20	14:27:11	-20.02	14:27:11	-97.2	14:27:11	-76
14:27:12	-20	14:27:12	-20.02	14:27:12	-97.2	14:27:12	-76
14:27:13	-20	14:27:13	-20.02	14:27:13	-97.2	14:27:13	-76
14:27:14	-20	14:27:14	-20.02	14:27:14	-97.2	14:27:14	-76
14:27:15	-20	14:27:15	-20.02	14:27:15	-97.2	14:27:15	-76
14:27:16	-20	14:27:16	-20.02	14:27:16	-97.2	14:27:16	-76
14:27:17	-20	14:27:17	-20.01	14:27:17	-97.2	14:27:17	-76
14:27:18	-20	14:27:18	-20.01	14:27:18	-97.2	14:27:18	-76
14:27:19	-20	14:27:19	-20.01	14:27:19	-97.2	14:27:19	-76
14:27:20	-20	14:27:20	-20.02	14:27:20	-97.2	14:27:20	-76
14:27:21	-20	14:27:21	-20.02	14:27:21	-97.2	14:27:21	-76
14:27:22	-20	14:27:22	-20.02	14:27:22	-97.2	14:27:22	-76
14:27:23	-20	14:27:23	-20.01	14:27:23	-97.2	14:27:23	-76
14:27:24	-20	14:27:24	-20.01	14:27:24	-97.2	14:27:24	-76
14:27:25	-20	14:27:25	-20.01	14:27:25	-97.2	14:27:25	-76
14:27:26	-20	14:27:26	-20.02	14:27:26	-97.2	14:27:26	-76
14:27:27	-20	14:27:27	-20.01	14:27:27	-97.2	14:27:27	-76
14:27:28	-20	14:27:28	-20.01	14:27:28	-97.2	14:27:28	-76
14:27:29	-20	14:27:29	-20.01	14:27:29	-97.2	14:27:29	-76
14:27:30	-4	14:27:30	-20.01	14:27:30	-97.1	14:28:05	98
14:27:31	-4	14:27:31	-20.01	14:27:31	-97.2	14:28:06	92
14:27:32	-4	14:27:32	-20.01	14:27:32	-97.2	14:28:07	84
14:27:33	-4	14:27:33	-20	14:27:33	-97.2	14:28:08	77
14:27:34	-4	14:27:34	-19.98	14:27:34	-97.2	14:28:09	70
14:27:35	-4	14:27:35	-19.92	14:27:35	-97.2	14:28:10	63
14:27:36	-4	14:27:36	-19.81	14:27:36	-97.2	14:28:11	55
14:27:37	-4	14:27:37	-19.64	14:27:37	-97.2	14:28:12	49
14:27:38	-4	14:27:38	-19.41	14:27:38	-97.2	14:28:13	41
14:27:39	-4	14:27:39	-19.15	14:27:39	-97.2	14:28:14	34
14:27:40	-4	14:27:40	-18.84	14:27:40	-97.2	14:28:15	28
14:27:42	-4	14:27:42	-18.45	14:27:42	-97.1	14:28:16	21
14:27:43	-4	14:27:43	-18.12	14:27:43	-97	14:28:17	16
14:27:44	-4	14:27:44	-17.74	14:27:44	-97.1	14:28:18	9
14:27:45	-4	14:27:45	-17.34	14:27:45	-97.1	14:28:19	4
14:27:46	-4	14:27:46	-16.94	14:27:46	-97.1	14:28:20	-2
14:27:47	-4	14:27:47	-16.53	14:27:47	-97.1	14:28:21	-6
14:27:48	-4	14:27:48	-16.13	14:27:48	-97.1	14:28:22	-11
14:27:49	-4	14:27:49	-15.69	14:27:49	-97.1	14:28:23	-15
14:27:50	-4	14:27:50	-15.27	14:27:50	-97.1	14:28:24	-20
14:27:51	-4	14:27:51	-14.85	14:27:51	-97.1	14:28:25	-23
14:27:52	-4	14:27:52	-14.48	14:27:52	-97.1	14:28:26	-26
14:27:53	-4	14:27:53	-14.02	14:27:53	-97.1	14:28:27	-29
14:27:54	-4	14:27:54	-13.51	14:27:54	-97.1	14:28:28	-32
14:27:55	-4	14:27:55	-13.08	14:27:55	-97.1	14:28:29	-10
14:27:56	-4	14:27:56	-12.69	14:27:56	-97.1	14:28:30	-10
14:27:57	-4	14:27:57	-12.28	14:27:57	-97.1	14:28:31	-10
14:27:58	-4	14:27:58	-11.84	14:27:58	-97.1	14:28:32	-10
14:27:59	-4	14:27:59	-11.46	14:27:59	-97.1	14:28:33	-10
14:28:00	-4	14:28:00	-11	14:28:00	-97.1	14:28:34	-10
14:28:01	-4	14:28:01	-10.6	14:28:01	-97.1	14:28:35	-10
14:28:02	-4	14:28:02	-10.16	14:28:02	-97.1	14:28:36	-10
14:28:03	-4	14:28:03	-9.73	14:28:03	-97.1	14:28:37	-10
14:28:04	-4	14:28:04	-9.31	14:28:04	-97.1	14:28:38	-10
14:28:05	-4	14:28:05	-8.93	14:28:05	-97.1	14:28:39	-10
14:28:06	-4	14:28:06	-8.49	14:28:06	-97.1	14:28:40	-10
14:28:07	-4	14:28:07	-8.03	14:28:07	-97.2	14:28:41	-10
14:28:08	-4	14:28:08	-7.62	14:28:08	-97.2	14:28:42	-10
14:28:09	-4	14:28:09	-7.22	14:28:09	-97.2	14:28:43	-10
14:28:10	-4	14:28:10	-6.83	14:28:10	-97.2	14:28:44	-10
14:28:11	-4	14:28:11	-6.39	14:28:11	-97.2	14:28:45	-10
14:28:12	-4	14:28:12	-5.99	14:28:12	-97.2	14:28:46	-10
14:28:13	-4	14:28:13	-5.61	14:28:13	-97.2	14:28:47	-10
14:28:14	-4	14:28:14	-5.25	14:28:14	-97.2	14:28:48	-10
14:28:15	-4	14:28:15	-4.9	14:28:15	-97.2	14:28:49	-10
14:28:16	-4	14:28:16	-4.55	14:28:16	-97.2	14:28:50	-10
14:28:17	-4	14:28:17	-4.26	14:28:17	-97.2	14:28:51	-10
14:28:18	-4	14:28:18	-3.94	14:28:18	-97.2	14:28:52	-10
14:28:19	-4	14:28:19	-3.66	14:28:19	-97.2	14:28:53	-10
14:28:20	-4	14:28:20	-3.4	14:28:20	-97.2	14:28:54	-10
14:28:21	-4	14:28:21	-3.18	14:28:21	-97.2	14:28:55	-10
14:28:22	-4	14:28:22	-2.95	14:28:22	-97.2	14:28:56	-10
14:28:23	-4	14:28:23	-2.75	14:28:23	-97.2	14:28:57	-10
14:28:24	-4	14:28:24	-2.58	14:28:24	-97.2	14:28:58	-10
14:28:25	-4	14:28:25	-2.43	14:28:25	-97.2	14:28:59	-10
14:28:26	-4	14:28:26	-2.29	14:28:26	-97.2	14:29:00	-10
14:28:27	-4	14:28:27	-2.17	14:28:27	-97.2	14:29:01	-10
14:28:28	-4	14:28:28	-2.08	14:28:28	-97.2	14:29:02	-10
14:28:29	-4	14:28:29	-2	14:28:29	-97.1	14:29:03	-10
14:28:30	-4	14:28:30	-1.93	14:28:30	-97.2	14:29:04	-10
14:28:31	-4	14:28:31	-1.87	14:28:31	-97.2	14:29:05	-10
14:28:32	-4	14:28:32	-1.82	14:28:32	-97.2	14:29:06	-10
14:28:33	-4	14:28:33	-1.79	14:28:33	-97.2	14:29:07	-10
14:28:34	-4	14:28:34	-1.76	14:28:34	-97.2	14:29:08	-10
14:28:35	-4	14:28:35	-1.73	14:28:35	-97.2	14:29:09	-10
14:28:36	-4	14:28:36	-1.71	14:28:36	-97.2	14:29:10	-10
14:28:37	-4	14:28:37	-1.69	14:28:37	-97.2	14:29:11	-10
14:28:38	-4	14:28:38	-1.66	14:28:38	-97.2	14:29:12	-10
14:28:39	-4	14:28:39	-1.64	14:28:39	-97.2	14:29:13	-10
14:28:40	-4	14:28:40	-1.62	14:28:40	-97.1	14:29:14	-10
14:28:41	-4	14:28:41	-1.6	14:28:41	-97.2	14:29:15	-10
14:28:42	-4	14:28:42	-1.58	14:28:42	-97.2	14:29:16	-10
14:28:43	-4	14:28:43	-1.56	14:28:43	-97.2	14:29:17	-10
14:28:44	-4	14:28:44	-1.54	14:28:44	-97.2	14:29:18	-10
14:28:45	-4	14:28:45	-1.52	14:28:45	-97.2	14:29:19	-10
14:28:46	-4	14:28:46	-1.5	14:28:46	-97.1	14:29:20	-10
14:28:47	-4	14:28:47	-1.48	14:28:47	-97.2	14:29:21	-10
14:28:48	-4	14:28:48	-1.46	14:28:48	-97.2	14:29:22	-10
14:28:49	-4	14:28:49	-1.44	14:28:49	-97.1	14:29:23	-10
14:28:50	-4	14:28:50	-1.41	14:28:50	-97.1	14:29:24	-10
14:28:51	-4	14:28:51	-1.39	14:28:51	-97.1	14:29:25	-10
14:28:52	-4	14:28:52	-1.37	14:28:52	-97.2	14:29:26	-10
14:28:53	-4	14:28:53	-1.35	14:28:53	-97.2	14:29:27	-10
14:28:54	-4	14:28:54	-1.33	14:28:54	-97.2	14:29:28	-10
