Time (HH:MM:SS) - Setpoint	Temperature (�C) - Setpoint	Time (HH:MM:SS) - Sensor 1	Temperature (�C) - Sensor 1	Time (HH:MM:SS) - Sensor 2	Temperature (�C) - Sensor 2	Time (HH:MM:SS) - Power	          Power (%) - Power
14:32:50	-4	14:32:50	-20.46	14:32:50	-97.1	14:34:26	-10
14:32:51	-4	14:32:51	-20.46	14:32:51	-97.1	14:34:27	-10
14:32:52	-4	14:32:52	-20.46	14:32:52	-97.1	14:34:28	-10
14:32:53	-4	14:32:53	-20.45	14:32:53	-97.1	14:34:29	-10
14:32:54	-4	14:32:54	-20.42	14:32:54	-97.1	14:34:31	-10
14:32:55	-4	14:32:55	-20.34	14:32:55	-97.1	14:34:32	-10
14:32:56	-4	14:32:56	-20.22	14:32:56	-97.1	14:34:33	-10
14:32:57	-4	14:32:57	-20.08	14:32:57	-97.1	14:34:34	-10
14:32:58	-4	14:32:58	-19.85	14:32:58	-97.1	14:34:35	-10
14:32:59	-4	14:32:59	-19.58	14:32:59	-97.1	14:34:36	-10
14:33:00	-4	14:33:00	-19.28	14:33:00	-97.1	14:34:37	-10
14:33:01	-4	14:33:01	-18.94	14:33:01	-97.1	14:34:38	-10
14:33:02	-4	14:33:02	-18.62	14:33:02	-97.2	14:34:39	-10
14:33:03	-4	14:33:03	-18.26	14:33:03	-97.1	14:34:40	-10
14:33:04	-4	14:33:04	-17.92	14:33:04	-97.2	14:34:41	-10
14:33:05	-4	14:33:05	-17.52	14:33:05	-97.1	14:34:42	-10
14:33:06	-4	14:33:06	-17.11	14:33:06	-97.1	14:34:43	-10
14:33:07	-4	14:33:07	-16.76	14:33:07	-97.1	14:34:44	-10
14:33:09	-4	14:33:09	-16.29	14:33:09	-97.1	14:34:45	-10
14:33:10	-4	14:33:10	-15.92	14:33:10	-97.2	14:34:46	-10
14:33:11	-4	14:33:11	-15.44	14:33:11	-97.1	14:34:47	-10
14:33:12	-4	14:33:12	-15.03	14:33:12	-97.1	14:34:48	-10
14:33:13	-4	14:33:13	-14.68	14:33:13	-97.1	14:34:49	-10
14:33:14	-4	14:33:14	-14.25	14:33:14	-97.1	14:34:50	-10
14:33:15	-4	14:33:15	-13.8	14:33:15	-97.1	14:34:51	-10
14:33:16	-4	14:33:16	-13.41	14:33:16	-97.1	14:34:52	-10
14:33:17	-4	14:33:17	-12.91	14:33:17	-97.2	14:34:53	-10
14:33:18	-4	14:33:18	-12.56	14:33:18	-97.1	14:34:54	-10
14:33:19	-4	14:33:19	-12.15	14:33:19	-97.1	14:34:55	-10
14:33:20	-4	14:33:20	-11.7	14:33:20	-97.1	14:34:56	-10
14:33:21	-4	14:33:21	-11.28	14:33:21	-97.1	14:34:57	-10
14:33:22	-4	14:33:22	-10.88	14:33:22	-97.1	14:34:58	-10
14:33:23	-4	14:33:23	-10.42	14:33:23	-97.2	14:34:59	-10
14:33:24	-4	14:33:24	-10.04	14:33:24	-97.2	14:35:00	-10
14:33:25	-4	14:33:25	-9.64	14:33:25	-97.2	14:35:01	-10
14:33:26	-4	14:33:26	-9.16	14:33:26	-97.2	14:35:02	-10
14:33:27	-4	14:33:27	-8.77	14:33:27	-97.2	14:35:03	-10
14:33:28	-4	14:33:28	-8.38	14:33:28	-97.2	14:35:04	-10
14:33:29	-4	14:33:29	-7.99	14:33:29	-97.2	14:35:05	-10
14:33:30	-4	14:33:30	-7.59	14:33:30	-97.2	14:35:06	-10
14:33:31	-4	14:33:31	-7.19	14:33:31	-97.2	14:35:07	-10
14:33:32	-4	14:33:32	-6.81	14:33:32	-97.2	14:35:08	-10
14:33:33	-4	14:33:33	-6.36	14:33:33	-97.2	14:35:09	-10
14:33:34	-4	14:33:34	-6	14:33:34	-97.2	14:35:10	-10
14:33:35	-4	14:33:35	-5.63	14:33:35	-97.2	14:35:11	-10
14:33:36	-4	14:33:36	-5.26	14:33:36	-97.2	14:35:12	-10
14:33:37	-4	14:33:37	-4.92	14:33:37	-97.2	14:35:13	-10
14:33:38	-4	14:33:38	-4.6	14:33:38	-97.2	14:35:14	-10
14:33:39	-4	14:33:39	-4.31	14:33:39	-97.2	14:35:15	-10
14:33:40	-4	14:33:40	-3.99	14:33:40	-97.2	14:35:16	-10
14:33:41	-4	14:33:41	-3.67	14:33:41	-97.2	14:35:17	-10
14:33:42	-4	14:33:42	-3.42	14:33:42	-97.2	14:35:18	-10
14:33:43	-4	14:33:43	-3.2	14:33:43	-97.2	14:35:19	-10
14:33:44	-4	14:33:44	-3.01	14:33:44	-97.2	14:35:20	-10
14:33:45	-4	14:33:45	-2.83	14:33:45	-97.2	14:35:21	-10
14:33:46	-4	14:33:46	-2.67	14:33:46	-97.2	14:35:22	-10
14:33:47	-4	14:33:47	-2.54	14:33:47	-97.2	14:35:23	-10
14:33:48	-4	14:33:48	-2.42	14:33:48	-97.2	14:35:24	-10
14:33:49	-4	14:33:49	-2.32	14:33:49	-97.2	14:35:25	-10
14:33:50	-4	14:33:50	-2.24	14:33:50	-97.2	14:35:26	-10
14:33:51	-4	14:33:51	-2.16	14:33:51	-97.2	14:35:27	-10
14:33:52	-4	14:33:52	-2.11	14:33:52	-97.2	14:35:28	-10
14:33:53	-4	14:33:53	-2.06	14:33:53	-97.2	14:35:29	-10
14:33:54	-4	14:33:54	-2.02	14:33:54	-97.2	14:35:30	-10
14:33:55	-4	14:33:55	-1.98	14:33:55	-97.2	14:35:31	-10
14:33:56	-4	14:33:56	-1.95	14:33:56	-97.2	14:35:32	-10
14:33:57	-4	14:33:57	-1.93	14:33:57	-97.2	14:35:33	-10
14:33:58	-4	14:33:58	-1.9	14:33:58	-97.2	14:35:34	-10
14:33:59	-4	14:33:59	-1.88	14:33:59	-97.2	14:35:35	-10
14:34:00	-4	14:34:00	-1.86	14:34:00	-97.2	14:35:36	-10
14:34:01	-4	14:34:01	-1.84	14:34:01	-97.2	14:35:37	-10
14:34:02	-4	14:34:02	-1.82	14:34:02	-97.2	14:35:38	-10
14:34:03	-4	14:34:03	-1.81	14:34:03	-97.2	14:35:39	-10
