Time (HH:MM:SS) - Setpoint	Temperature (�C) - Setpoint	Time (HH:MM:SS) - Sensor 1	Temperature (�C) - Sensor 1	Time (HH:MM:SS) - Sensor 2	Temperature (�C) - Sensor 2	Time (HH:MM:SS) - Power	          Power (%) - Power
14:34:00	-4	14:34:00	-20	14:34:00	-97.2	14:34:37	95
14:34:01	-4	14:34:01	-20.01	14:34:01	-97.2	14:34:38	88
14:34:02	-4	14:34:02	-20.01	14:34:02	-97.2	14:34:39	81
14:34:03	-4	14:34:03	-20	14:34:03	-97.2	14:34:40	75
14:34:04	-4	14:34:04	-19.99	14:34:04	-97.2	14:34:41	68
14:34:05	-4	14:34:05	-19.93	14:34:05	-97.2	14:34:42	60
14:34:06	-4	14:34:06	-19.83	14:34:06	-97.2	14:34:43	53
14:34:07	-4	14:34:07	-19.67	14:34:07	-97.1	14:34:44	47
14:34:08	-4	14:34:08	-19.5	14:34:08	-97.2	14:34:45	41
14:34:09	-4	14:34:09	-19.24	14:34:09	-97.2	14:34:46	34
14:34:10	-4	14:34:10	-18.95	14:34:10	-97.2	14:34:47	27
14:34:11	-4	14:34:11	-18.63	14:34:11	-97.2	14:34:48	21
14:34:12	-4	14:34:12	-18.3	14:34:12	-97.2	14:34:49	16
14:34:13	-4	14:34:13	-17.99	14:34:13	-97.2	14:34:50	11
14:34:14	-4	14:34:14	-17.61	14:34:14	-97.2	14:34:51	6
14:34:15	-4	14:34:15	-17.24	14:34:15	-97.2	14:34:52	1
14:34:16	-4	14:34:16	-16.85	14:34:16	-97.2	14:34:53	-5
14:34:17	-4	14:34:17	-16.42	14:34:17	-97.1	14:34:54	-9
14:34:18	-4	14:34:18	-15.99	14:34:18	-97.1	14:34:55	-13
14:34:19	-4	14:34:19	-15.58	14:34:19	-97.1	14:34:56	-16
14:34:20	-4	14:34:20	-15.19	14:34:20	-97.1	14:34:57	-19
14:34:21	-4	14:34:21	-14.78	14:34:21	-97.1	14:34:58	-22
14:34:22	-4	14:34:22	-14.37	14:34:22	-97.1	14:34:59	-25
14:34:23	-4	14:34:23	-14	14:34:23	-97.1	14:35:00	-26
14:34:24	-4	14:34:24	-13.56	14:34:24	-97.1	14:35:01	-29
14:34:25	-4	14:34:25	-13.12	14:34:25	-97.1	14:35:02	-30
14:34:26	-4	14:34:26	-12.72	14:34:26	-97.2	14:35:03	-32
14:34:27	-4	14:34:27	-12.3	14:34:27	-97.2	14:35:04	-33
14:34:28	-4	14:34:28	-11.94	14:34:28	-97.1	14:35:05	-34
14:34:29	-4	14:34:29	-11.51	14:34:29	-97.1	14:35:06	-36
14:34:31	-4	14:34:31	-11.07	14:34:31	-97.2	14:35:08	-37
14:34:32	-4	14:34:32	-10.65	14:34:32	-97.2	14:35:09	-37
14:34:33	-4	14:34:33	-10.25	14:34:33	-97.2	14:35:10	-38
14:34:34	-4	14:34:34	-9.89	14:34:34	-97.2	14:35:11	-39
14:34:35	-4	14:34:35	-9.48	14:34:35	-97.2	14:35:12	-39
14:34:36	-4	14:34:36	-9.06	14:34:36	-97.2	14:35:13	-40
14:34:37	-4	14:34:37	-8.69	14:34:37	-97.2	14:35:14	-40
14:34:38	-4	14:34:38	-8.29	14:34:38	-97.2	14:35:15	-40
14:34:39	-4	14:34:39	-7.84	14:34:39	-97.2	14:35:16	-41
14:34:40	-4	14:34:40	-7.47	14:34:40	-97.2	14:35:17	-41
14:34:41	-4	14:34:41	-7.08	14:34:41	-97.2	14:35:18	-41
14:34:42	-4	14:34:42	-6.65	14:34:42	-97.2	14:35:19	-42
14:34:43	-4	14:34:43	-6.26	14:34:43	-97.2	14:35:20	-42
14:34:44	-4	14:34:44	-5.92	14:34:44	-97.2	14:35:21	-42
14:34:45	-4	14:34:45	-5.54	14:34:45	-97.2	14:35:22	-42
14:34:46	-4	14:34:46	-5.19	14:34:46	-97.2	14:35:23	-42
14:34:47	-4	14:34:47	-4.86	14:34:47	-97.2	14:35:24	-42
14:34:48	-4	14:34:48	-4.53	14:34:48	-97.2	14:35:25	-42
14:34:49	-4	14:34:49	-4.26	14:34:49	-97.2	14:35:26	-42
14:34:50	-4	14:34:50	-3.98	14:34:50	-97.2	14:35:27	-43
14:34:51	-4	14:34:51	-3.78	14:34:51	-97.2	14:35:28	-43
14:34:52	-4	14:34:52	-3.49	14:34:52	-97.2	14:35:29	-43
14:34:53	-4	14:34:53	-3.25	14:34:53	-97.2	14:35:30	-43
14:34:54	-4	14:34:54	-3.05	14:34:54	-97.2	14:35:31	-43
14:34:55	-4	14:34:55	-2.86	14:34:55	-97.1	14:35:32	-43
14:34:56	-4	14:34:56	-2.71	14:34:56	-97.1	14:35:33	-43
14:34:57	-4	14:34:57	-2.58	14:34:57	-97.2	14:35:34	-43
14:34:58	-4	14:34:58	-2.47	14:34:58	-97.2	14:35:35	-43
14:34:59	-4	14:34:59	-2.37	14:34:59	-97.2	14:35:36	-43
14:35:00	-4	14:35:00	-2.29	14:35:00	-97.2	14:35:37	-43
14:35:01	-4	14:35:01	-2.23	14:35:01	-97.1	14:35:38	-43
14:35:02	-4	14:35:02	-2.17	14:35:02	-97.2	14:35:39	-43
14:35:03	-4	14:35:03	-2.13	14:35:03	-97.2	14:35:40	-43
14:35:04	-4	14:35:04	-2.09	14:35:04	-97.2	14:35:41	-43
14:35:05	-4	14:35:05	-2.06	14:35:05	-97.2	14:35:42	-43
14:35:06	-4	14:35:06	-2.03	14:35:06	-97.1	14:35:43	-43
14:35:08	-4	14:35:08	-2.02	14:35:08	-97.1	14:35:44	-43
14:35:09	-4	14:35:09	-2.01	14:35:09	-97.1	14:35:45	-43
14:35:10	-4	14:35:10	-2.01	14:35:10	-97.1	14:35:46	-43
14:35:11	-4	14:35:11	-2.01	14:35:11	-97.1	14:35:47	-43
14:35:12	-4	14:35:12	-2.02	14:35:12	-97.1	14:35:48	-43
14:35:13	-4	14:35:13	-2.02	14:35:13	-97.1	14:35:49	-43
14:35:14	-4	14:35:14	-2.04	14:35:14	-97.1	14:35:50	-43
14:35:15	-4	14:35:15	-2.05	14:35:15	-97.1	14:35:51	-43
14:35:16	-4	14:35:16	-2.06	14:35:16	-97.1	14:35:52	-43
14:35:17	-4	14:35:17	-2.08	14:35:17	-97.1	14:35:53	-43
14:35:18	-4	14:35:18	-2.1	14:35:18	-97.1	14:35:54	-43
14:35:19	-4	14:35:19	-2.12	14:35:19	-97.1	14:35:56	-43
14:35:20	-4	14:35:20	-2.14	14:35:20	-97.1	14:35:57	-43
14:35:21	-4	14:35:21	-2.16	14:35:21	-97.1	14:35:58	-43
14:35:22	-4	14:35:22	-2.18	14:35:22	-97.1	14:35:59	-43
14:35:23	-4	14:35:23	-2.2	14:35:23	-97.1	14:36:00	-43
14:35:24	-4	14:35:24	-2.23	14:35:24	-97.1	14:36:01	-43
14:35:25	-4	14:35:25	-2.25	14:35:25	-97.1	14:36:02	-43
14:35:26	-4	14:35:26	-2.28	14:35:26	-97.2	14:36:03	-43
14:35:27	-4	14:35:27	-2.29	14:35:27	-97.1	14:36:04	-43
14:35:28	-4	14:35:28	-2.33	14:35:28	-97.2	14:36:05	-43
14:35:29	-4	14:35:29	-2.35	14:35:29	-97.2	14:36:06	-43
14:35:30	-4	14:35:30	-2.37	14:35:30	-97.2	14:36:07	-10
14:35:31	-4	14:35:31	-2.4	14:35:31	-97.2	14:36:08	-10
14:35:32	-4	14:35:32	-2.43	14:35:32	-97.2	14:36:09	-10
14:35:33	-4	14:35:33	-2.45	14:35:33	-97.2	14:36:10	-10
14:35:34	-4	14:35:34	-2.48	14:35:34	-97.2	14:36:11	-10
14:35:35	-4	14:35:35	-2.5	14:35:35	-97.2	14:36:12	-10
14:35:36	-4	14:35:36	-2.52	14:35:36	-97.2	14:36:13	-10
14:35:37	-4	14:35:37	-2.55	14:35:37	-97.2	14:36:14	-10
14:35:38	-4	14:35:38	-2.57	14:35:38	-97.2	14:36:15	-10
14:35:39	-4	14:35:39	-2.59	14:35:39	-97.2	14:36:16	-10
14:35:40	-4	14:35:40	-2.62	14:35:40	-97.2	14:36:17	-10
14:35:41	-4	14:35:41	-2.64	14:35:41	-97.2	14:36:18	-10
14:35:42	-4	14:35:42	-2.66	14:35:42	-97.2	14:36:19	-10
14:35:43	-4	14:35:43	-2.68	14:35:43	-97.2	14:36:20	-10
14:35:44	-4	14:35:44	-2.7	14:35:44	-97.2	14:36:21	-10
14:35:45	-4	14:35:45	-2.73	14:35:45	-97.2	14:36:22	-10
14:35:46	-4	14:35:46	-2.75	14:35:46	-97.2	14:36:23	-10
14:35:47	-4	14:35:47	-2.77	14:35:47	-97.2	14:36:24	-10
14:35:48	-4	14:35:48	-2.79	14:35:48	-97.2	14:36:25	-10
14:35:49	-4	14:35:49	-2.81	14:35:49	-97.2	14:36:26	-10
14:35:50	-4	14:35:50	-2.83	14:35:50	-97.2	14:36:27	-10
14:35:51	-4	14:35:51	-2.85	14:35:51	-97.2	14:36:28	-10
14:35:52	-4	14:35:52	-2.87	14:35:52	-97.2	14:36:29	-10
14:35:53	-4	14:35:53	-2.89	14:35:53	-97.2	14:36:30	-10
14:35:54	-4	14:35:54	-2.92	14:35:54	-97.2	14:36:31	-10
14:35:56	-4	14:35:56	-2.94	14:35:56	-97.2	14:36:32	-10
