Time (HH:MM:SS) - Setpoint	Temperature (ºC) - Setpoint	Time (HH:MM:SS) - Sensor 1	Temperature (ºC) - Sensor 1	Time (HH:MM:SS) - Sensor 2	Temperature (ºC) - Sensor 2	Time (HH:MM:SS) - Power	          Power (%) - Power
18:20:52	-20	18:20:52	-20			18:22:32	-10
18:21:02	-4	18:21:02	-19.99			18:22:42	-10
18:21:12	-4	18:21:12	-17.99			18:22:52	-10
18:21:22	-4	18:21:22	-13.76			18:23:02	-10
18:21:32	-4	18:21:32	-9.49			18:23:12	-10
18:21:42	-4	18:21:42	-5.45			18:23:22	-10
18:21:52	-4	18:21:52	-2.62			18:23:32	-10
18:22:02	-4	18:22:02	-1.73			18:23:42	-10
18:22:12	-4	18:22:12	-1.72			18:23:52	-10
18:22:22	-4	18:22:22	-1.82			18:24:02	-10
18:22:32	-4	18:22:32	-1.65			18:24:12	-10
18:22:42	-4	18:22:42	-1.41			18:24:22	-10
18:22:52	-4	18:22:52	-1.17			18:24:32	-10
18:23:02	-4	18:23:02	-0.91			18:24:42	-10
18:23:12	-4	18:23:12	-0.67			18:24:52	-10
18:23:22	-4	18:23:22	-0.41			18:25:02	-10
18:23:32	-4	18:23:32	-0.17			18:25:12	-10
18:23:42	-4	18:23:42	0.06				
18:23:52	-4	18:23:52	0.3				
18:24:02	-4	18:24:02	0.55				
18:24:12	-4	18:24:12	0.79				
18:24:22	-4	18:24:22	1.02				
18:24:32	-4	18:24:32	1.23				
18:24:42	-4	18:24:42	1.44				
18:24:52	-4	18:24:52	1.64				
18:25:02	-4	18:25:02	1.83				
18:25:12	-4	18:25:12	2.04				
