Time (HH:MM:SS) - Setpoint	Temperature (ºC) - Setpoint	Time (HH:MM:SS) - Sensor 1	Temperature (ºC) - Sensor 1	Time (HH:MM:SS) - Sensor 2	Temperature (ºC) - Sensor 2	Time (HH:MM:SS) - Power	          Power (%) - Power
23:49:57	-20	23:49:57	-20.01			23:49:57	-77
23:50:07	-4	23:50:07	-19.97			23:50:47	32
23:50:17	-4	23:50:17	-17.49			23:50:58	-10
23:50:27	-4	23:50:27	-13.28			23:51:08	-10
23:50:37	-4	23:50:37	-9.1			23:51:18	-10
23:50:47	-4	23:50:47	-5.13			23:51:28	-10
23:50:58	-4	23:50:58	-2.5			23:51:38	-10
23:51:08	-4	23:51:08	-1.68			23:51:48	-10
23:51:18	-4	23:51:18	-1.41			23:51:58	-10
23:51:28	-4	23:51:28	-1.19			23:52:08	-10
23:51:38	-4	23:51:38	-0.97			23:52:18	-10
23:51:48	-4	23:51:48	-0.73			23:52:28	-10
23:51:58	-4	23:51:58	-0.48			23:52:38	-10
23:52:08	-4	23:52:08	-0.24			23:52:48	-10
23:52:18	-4	23:52:18	-0.01			23:52:58	-10
23:52:28	-4	23:52:28	0.21			23:53:08	-10
23:52:38	-4	23:52:38	0.49			23:53:18	-10
23:52:48	-4	23:52:48	0.74			23:53:28	-10
23:52:58	-4	23:52:58	0.98			23:53:38	-10
23:53:08	-4	23:53:08	1.21			23:53:48	-10
23:53:18	-4	23:53:18	1.43				
23:53:28	-4	23:53:28	1.64				
23:53:38	-4	23:53:38	1.86				
23:53:48	-4	23:53:48	2.07				
