Time (HH:MM:SS) - Setpoint	Temperature (ºC) - Setpoint	Time (HH:MM:SS) - Sensor 1	Temperature (ºC) - Sensor 1	Time (HH:MM:SS) - Sensor 2	Temperature (ºC) - Sensor 2	Time (HH:MM:SS) - Power	          Power (%) - Power
19:02:09	-4	19:02:09	-20.01	19:02:09	-97.2	19:02:42	97
19:02:10	-4	19:02:10	-20	19:02:10	-97.2	19:02:43	91
19:02:11	-4	19:02:11	-19.99	19:02:11	-97.2	19:02:44	84
19:02:12	-4	19:02:12	-19.95	19:02:12	-97.2	19:02:45	78
19:02:13	-4	19:02:13	-19.88	19:02:13	-97.2	19:02:46	71
19:02:14	-4	19:02:14	-19.73	19:02:14	-97.2	19:02:47	63
19:02:15	-4	19:02:15	-19.56	19:02:15	-97.2	19:02:48	56
19:02:16	-4	19:02:16	-19.33	19:02:16	-97.2	19:02:49	49
19:02:17	-4	19:02:17	-19.07	19:02:17	-97.2	19:02:50	42
19:02:18	-4	19:02:18	-18.73	19:02:18	-97.2	19:02:51	36
19:02:19	-4	19:02:19	-18.39	19:02:19	-97.2	19:02:52	29
19:02:20	-4	19:02:20	-18.09	19:02:20	-97.2	19:02:53	23
19:02:21	-4	19:02:21	-17.73	19:02:21	-97.2	19:02:54	16
19:02:22	-4	19:02:22	-17.34	19:02:22	-97.2	19:02:55	11
19:02:23	-4	19:02:23	-16.95	19:02:23	-97.2	19:02:56	5
19:02:24	-4	19:02:24	-16.53	19:02:24	-97.2	19:02:57	0
19:02:25	-4	19:02:25	-16.1	19:02:25	-97.2	19:02:58	-6
19:02:26	-4	19:02:26	-15.63	19:02:26	-97.2	19:02:59	-10
19:02:27	-4	19:02:27	-15.21	19:02:27	-97.2	19:03:00	-15
19:02:28	-4	19:02:28	-14.84	19:02:28	-97.2	19:03:01	-19
19:02:29	-4	19:02:29	-14.37	19:02:29	-97.2	19:03:02	-22
19:02:30	-4	19:02:30	-13.99	19:02:30	-97.2	19:03:03	-25
19:02:31	-4	19:02:31	-13.53	19:02:31	-97.2	19:03:04	-28
19:02:32	-4	19:02:32	-13.02	19:02:32	-97.1	19:03:05	-31
19:02:33	-4	19:02:33	-12.61	19:02:33	-97.1	19:03:06	-33
19:02:34	-4	19:02:34	-12.25	19:02:34	-97.2	19:03:07	-35
19:02:35	-4	19:02:35	-11.74	19:02:35	-97	19:03:08	-37
19:02:36	-4	19:02:36	-11.3	19:02:36	-97.1	19:03:10	-38
19:02:37	-4	19:02:37	-10.88	19:02:37	-97.1	19:03:11	-40
19:02:38	-4	19:02:38	-10.51	19:02:38	-97	19:03:12	-41
19:02:39	-4	19:02:39	-10.07	19:02:39	-97.1	19:03:13	-42
19:02:40	-4	19:02:40	-9.64	19:02:40	-97.1	19:03:14	-43
19:02:41	-4	19:02:41	-9.27	19:02:41	-97	19:03:15	-44
19:02:42	-4	19:02:42	-8.87	19:02:42	-97	19:03:16	-45
19:02:43	-4	19:02:43	-8.45	19:02:43	-97.1	19:03:17	-46
19:02:44	-4	19:02:44	-8.04	19:02:44	-97.1	19:03:18	-46
19:02:45	-4	19:02:45	-7.68	19:02:45	-97	19:03:19	-47
19:02:46	-4	19:02:46	-7.28	19:02:46	-97	19:03:20	-47
