Time (HH:MM:SS) - Setpoint	Temperature (ºC) - Setpoint	Time (HH:MM:SS) - Sensor 1	Temperature (ºC) - Sensor 1	Time (HH:MM:SS) - Sensor 2	Temperature (ºC) - Sensor 2	Time (HH:MM:SS) - Power	          Power (%) - Power
17:59:30	-20	17:59:30	-19.99	17:59:30	-97.1	17:59:30	-65
17:59:31	-20	17:59:31	-19.99	17:59:31	-97.2	17:59:31	-65
17:59:32	-20	17:59:32	-19.99	17:59:32	-97.2	17:59:32	-65
17:59:33	-20	17:59:33	-19.99	17:59:33	-97.2	17:59:33	-64
17:59:34	-4	17:59:34	-19.99	17:59:34	-97.1	18:00:10	98
17:59:35	-4	17:59:35	-19.99	17:59:35	-97.2	18:00:11	92
17:59:36	-4	17:59:36	-20	17:59:36	-97.2	18:00:12	86
17:59:37	-4	17:59:37	-19.99	17:59:37	-97.2	18:00:13	78
17:59:38	-4	17:59:38	-19.95	17:59:38	-97.2	18:00:14	73
17:59:39	-4	17:59:39	-19.9	17:59:39	-97.1	18:00:15	65
17:59:40	-4	17:59:40	-19.79	17:59:40	-97.2	18:00:16	59
17:59:41	-4	17:59:41	-19.64	17:59:41	-97.1	18:00:17	52
17:59:42	-4	17:59:42	-19.43	17:59:42	-97.1	18:00:18	45
17:59:43	-4	17:59:43	-19.16	17:59:43	-97.2	18:00:19	38
17:59:44	-4	17:59:44	-18.88	17:59:44	-97.2	18:00:20	32
17:59:45	-4	17:59:45	-18.57	17:59:45	-97.1	18:00:21	26
17:59:46	-4	17:59:46	-18.24	17:59:46	-97.2	18:00:22	20
17:59:47	-4	17:59:47	-17.89	17:59:47	-97.2	18:00:23	14
17:59:48	-4	17:59:48	-17.55	17:59:48	-97.1	18:00:24	9
17:59:49	-4	17:59:49	-17.15	17:59:49	-97.2	18:00:25	3
17:59:50	-4	17:59:50	-16.74	17:59:50	-97.2	18:00:26	-2
17:59:51	-4	17:59:51	-16.35	17:59:51	-97.1	18:00:27	-6
17:59:52	-4	17:59:52	-15.91	17:59:52	-97.2	18:00:28	-10
17:59:53	-4	17:59:53	-15.48	17:59:53	-97.2	18:00:29	-14
17:59:54	-4	17:59:54	-15.1	17:59:54	-97.2	18:00:30	-17
17:59:55	-4	17:59:55	-14.69	17:59:55	-97.2	18:00:31	-20
17:59:56	-4	17:59:56	-14.3	17:59:56	-97.2	18:00:32	-23
17:59:57	-4	17:59:57	-13.86	17:59:57	-97.2	18:00:33	-25
17:59:58	-4	17:59:58	-13.45	17:59:58	-97.1	18:00:34	-28
17:59:59	-4	17:59:59	-13.01	17:59:59	-97.2	18:00:35	-29
18:00:00	-4	18:00:00	-12.63	18:00:00	-97.2	18:00:36	-31
18:00:01	-4	18:00:01	-12.21	18:00:01	-97.2	18:00:37	-32
18:00:02	-4	18:00:02	-11.84	18:00:02	-97.1	18:00:38	-34
18:00:04	-4	18:00:04	-11.36	18:00:04	-97.2	18:00:39	-35
18:00:05	-4	18:00:05	-10.92	18:00:05	-97.2	18:00:40	-36
18:00:06	-4	18:00:06	-10.55	18:00:06	-97.2	18:00:41	-37
18:00:07	-4	18:00:07	-10.11	18:00:07	-97.2	18:00:42	-37
18:00:08	-4	18:00:08	-9.69	18:00:08	-97.2	18:00:43	-38
18:00:09	-4	18:00:09	-9.32	18:00:09	-97.2	18:00:44	-10
18:00:10	-4	18:00:10	-8.87	18:00:10	-97.2	18:00:45	-10
18:00:11	-4	18:00:11	-8.52	18:00:11	-97.2	18:00:46	-10
18:00:12	-4	18:00:12	-8.11	18:00:12	-97.2	18:00:47	-10
18:00:13	-4	18:00:13	-7.7	18:00:13	-97.2	18:00:48	-10
18:00:14	-4	18:00:14	-7.36	18:00:14	-97.2	18:00:49	-10
18:00:15	-4	18:00:15	-6.93	18:00:15	-97.2	18:00:50	-10
18:00:16	-4	18:00:16	-6.57	18:00:16	-97.2	18:00:51	-10
18:00:17	-4	18:00:17	-6.18	18:00:17	-97.2	18:00:52	-10
18:00:18	-4	18:00:18	-5.82	18:00:18	-97.2	18:00:53	-10
18:00:19	-4	18:00:19	-5.44	18:00:19	-97.2	18:00:54	-10
18:00:20	-4	18:00:20	-5.11	18:00:20	-97.2	18:00:55	-10
18:00:21	-4	18:00:21	-4.79	18:00:21	-97.2	18:00:56	-10
18:00:22	-4	18:00:22	-4.47	18:00:22	-97.2	18:00:57	-10
18:00:23	-4	18:00:23	-4.19	18:00:23	-97.2	18:00:58	-10
18:00:24	-4	18:00:24	-3.92	18:00:24	-97.2	18:00:59	-10
18:00:25	-4	18:00:25	-3.62	18:00:25	-97.2	18:01:00	-10
18:00:26	-4	18:00:26	-3.39	18:00:26	-97.2	18:01:01	-10
18:00:27	-4	18:00:27	-3.17	18:00:27	-97.2	18:01:02	-10
18:00:28	-4	18:00:28	-3	18:00:28	-97.2	18:01:03	-10
18:00:29	-4	18:00:29	-2.83	18:00:29	-97.2	18:01:04	-10
18:00:30	-4	18:00:30	-2.68	18:00:30	-97.2	18:01:05	-10
18:00:31	-4	18:00:31	-2.55	18:00:31	-97.2	18:01:06	-10
18:00:32	-4	18:00:32	-2.43	18:00:32	-97.2	18:01:07	-10
18:00:33	-4	18:00:33	-2.34	18:00:33	-97.2	18:01:08	-10
18:00:34	-4	18:00:34	-2.27	18:00:34	-97.2	18:01:09	-10
18:00:35	-4	18:00:35	-2.2	18:00:35	-97.2	18:01:10	-10
18:00:36	-4	18:00:36	-2.15	18:00:36	-97.2	18:01:11	-10
18:00:37	-4	18:00:37	-2.11	18:00:37	-97.2	18:01:12	-10
18:00:38	-4	18:00:38	-2.08	18:00:38	-97.2	18:01:13	-10
18:00:39	-4	18:00:39	-2.06	18:00:39	-97.2	18:01:14	-10
18:00:40	-4	18:00:40	-2.04	18:00:40	-97.2	18:01:15	-10
18:00:41	-4	18:00:41	-2.03	18:00:41	-97.2	18:01:16	-10
18:00:42	-4	18:00:42	-2.02	18:00:42	-97.2	18:01:17	-10
18:00:43	-4	18:00:43	-2.01	18:00:43	-97.2	18:01:18	-10
18:00:44	-4	18:00:44	-2.02	18:00:44	-97.2	18:01:19	-10
18:00:45	-4	18:00:45	-2.03	18:00:45	-97.2	18:01:20	-10
18:00:46	-4	18:00:46	-2.04	18:00:46	-97.2	18:01:21	-10
18:00:47	-4	18:00:47	-2.05	18:00:47	-97.2	18:01:22	-10
18:00:48	-4	18:00:48	-2.06	18:00:48	-97.2	18:01:23	-10
18:00:49	-4	18:00:49	-2.06	18:00:49	-97.2	18:01:24	-10
18:00:50	-4	18:00:50	-2.08	18:00:50	-97.2	18:01:25	-10
18:00:51	-4	18:00:51	-2.08	18:00:51	-97.2	18:01:26	-10
18:00:52	-4	18:00:52	-2.08	18:00:52	-97.2	18:01:27	-10
18:00:53	-4	18:00:53	-2.08	18:00:53	-97.2	18:01:28	-10
18:00:54	-4	18:00:54	-2.08	18:00:54	-97.2	18:01:29	-10
18:00:55	-4	18:00:55	-2.07	18:00:55	-97.2	18:01:30	-10
18:00:56	-4	18:00:56	-2.07	18:00:56	-97.2	18:01:31	-10
18:00:57	-4	18:00:57	-2.06	18:00:57	-97.2	18:01:32	-10
