Time (HH:MM:SS) - Setpoint	Temperature (�C) - Setpoint	Time (HH:MM:SS) - Sensor 1	Temperature (�C) - Sensor 1	Time (HH:MM:SS) - Sensor 2	Temperature (�C) - Sensor 2	Time (HH:MM:SS) - Power	          Power (%) - Power
17:12:54	-4	17:12:54	-20	17:12:54	-97.2	17:13:41	26
17:12:55	-4	17:12:55	-19.99	17:12:55	-97.2	17:13:42	21
17:12:56	-4	17:12:56	-19.99	17:12:56	-97.2	17:13:43	14
17:12:57	-4	17:12:57	-19.99	17:12:57	-97.2	17:13:44	9
17:12:58	-4	17:12:58	-19.94	17:12:58	-97.2	17:13:45	4
17:12:59	-4	17:12:59	-19.86	17:12:59	-97.2	17:13:46	-2
17:13:00	-4	17:13:00	-19.73	17:13:00	-97.2	17:13:47	-6
17:13:01	-4	17:13:01	-19.57	17:13:01	-97.2	17:13:48	-10
17:13:02	-4	17:13:02	-19.31	17:13:02	-97.2	17:13:49	-14
17:13:03	-4	17:13:03	-19.04	17:13:03	-97.2	17:13:50	-17
17:13:04	-4	17:13:04	-18.76	17:13:04	-97.2	17:13:51	-20
17:13:05	-4	17:13:05	-18.4	17:13:05	-97.1	17:13:52	-23
17:13:06	-4	17:13:06	-18.05	17:13:06	-97.1	17:13:53	-10
17:13:07	-4	17:13:07	-17.7	17:13:07	-97.1	17:13:54	-10
17:13:09	-4	17:13:09	-17.28	17:13:09	-97.1	17:13:56	-10
17:13:10	-4	17:13:10	-16.89	17:13:10	-97.1	17:13:57	-10
17:13:11	-4	17:13:11	-16.51	17:13:11	-97.1	17:13:58	-10
17:13:12	-4	17:13:12	-16.08	17:13:12	-97.1	17:13:59	-10
17:13:13	-4	17:13:13	-15.67	17:13:13	-97.2	17:14:00	-10
17:13:14	-4	17:13:14	-15.32	17:13:14	-97.1	17:14:01	-10
17:13:15	-4	17:13:15	-14.91	17:13:15	-97.1	17:14:02	-10
17:13:16	-4	17:13:16	-14.5	17:13:16	-97.1	17:14:03	-10
17:13:17	-4	17:13:17	-14.07	17:13:17	-97.1	17:14:04	-10
17:13:18	-4	17:13:18	-13.66	17:13:18	-97.1	17:14:05	-10
17:13:19	-4	17:13:19	-13.28	17:13:19	-97.1	17:14:06	-10
17:13:20	-4	17:13:20	-12.87	17:13:20	-97.1	17:14:07	-10
17:13:21	-4	17:13:21	-12.48	17:13:21	-97.1	17:14:08	-10
17:13:22	-4	17:13:22	-12.1	17:13:22	-97.1	17:14:09	-10
17:13:23	-4	17:13:23	-11.68	17:13:23	-97.1	17:14:10	-10
17:13:24	-4	17:13:24	-11.26	17:13:24	-97.1	17:14:11	-10
17:13:25	-4	17:13:25	-10.89	17:13:25	-97.1	17:14:12	-10
17:13:26	-4	17:13:26	-10.51	17:13:26	-97.1	17:14:13	-10
17:13:27	-4	17:13:27	-10.06	17:13:27	-97.2	17:14:14	-10
17:13:28	-4	17:13:28	-9.65	17:13:28	-97.2	17:14:15	-10
17:13:29	-4	17:13:29	-9.2	17:13:29	-97.2	17:14:16	-10
17:13:30	-4	17:13:30	-8.8	17:13:30	-97.2	17:14:17	-10
17:13:31	-4	17:13:31	-8.42	17:13:31	-97.2	17:14:18	-10
17:13:32	-4	17:13:32	-8.08	17:13:32	-97.2	17:14:19	-10
17:13:33	-4	17:13:33	-7.68	17:13:33	-97.2	17:14:20	-10
17:13:34	-4	17:13:34	-7.29	17:13:34	-97.2	17:14:21	-10
17:13:35	-4	17:13:35	-6.91	17:13:35	-97.2	17:14:22	-10
17:13:36	-4	17:13:36	-6.49	17:13:36	-97.2	17:14:23	-10
17:13:37	-4	17:13:37	-6.16	17:13:37	-97.2	17:14:24	-10
17:13:38	-4	17:13:38	-5.78	17:13:38	-97.2	17:14:25	-10
17:13:39	-4	17:13:39	-5.43	17:13:39	-97.2	17:14:26	-10
17:13:40	-4	17:13:40	-5.08	17:13:40	-97.2	17:14:27	-10
17:13:41	-4	17:13:41	-4.79	17:13:41	-97.2	17:14:28	-10
17:13:42	-4	17:13:42	-4.49	17:13:42	-97.2	17:14:29	-10
17:13:43	-4	17:13:43	-4.17	17:13:43	-97.2	17:14:30	-10
17:13:44	-4	17:13:44	-3.89	17:13:44	-97.2	17:14:31	-10
17:13:45	-4	17:13:45	-3.63	17:13:45	-97.2	17:14:32	-10
17:13:46	-4	17:13:46	-3.39	17:13:46	-97.2	17:14:33	-10
17:13:47	-4	17:13:47	-3.19	17:13:47	-97.2	17:14:34	-10
17:13:48	-4	17:13:48	-3.01	17:13:48	-97.2	17:14:35	-10
17:13:49	-4	17:13:49	-2.82	17:13:49	-97.2	17:14:36	-10
17:13:50	-4	17:13:50	-2.66	17:13:50	-97.2	17:14:37	-10
17:13:51	-4	17:13:51	-2.54	17:13:51	-97.2	17:14:38	-10
17:13:52	-4	17:13:52	-2.42	17:13:52	-97.2	17:14:39	-10
17:13:53	-4	17:13:53	-2.31	17:13:53	-97.2	17:14:40	-10
17:13:54	-4	17:13:54	-2.24	17:13:54	-97.2	17:14:41	-10
17:13:56	-4	17:13:56	-2.17	17:13:56	-97.2	17:14:42	-10
17:13:57	-4	17:13:57	-2.12	17:13:57	-97.1	17:14:43	-10
17:13:58	-4	17:13:58	-2.06	17:13:58	-97.1	17:14:44	-10
17:13:59	-4	17:13:59	-2.03	17:13:59	-97.1	17:14:45	-10
17:14:00	-4	17:14:00	-2	17:14:00	-97.1	17:14:46	-10
17:14:01	-4	17:14:01	-1.97	17:14:01	-97.1	17:14:47	-10
17:14:02	-4	17:14:02	-1.94	17:14:02	-97.1	17:14:48	-10
17:14:03	-4	17:14:03	-1.92	17:14:03	-97.1	17:14:49	-10
17:14:04	-4	17:14:04	-1.9	17:14:04	-97.1	17:14:50	-10
17:14:05	-4	17:14:05	-1.88	17:14:05	-97.1	17:14:51	-10
17:14:06	-4	17:14:06	-1.86	17:14:06	-97.1	17:14:52	-10
17:14:07	-4	17:14:07	-1.84	17:14:07	-97.1	17:14:53	-10
17:14:08	-4	17:14:08	-1.82	17:14:08	-97.1	17:14:54	-10
17:14:09	-4	17:14:09	-1.81	17:14:09	-97.1	17:14:55	-10
17:14:10	-4	17:14:10	-1.79	17:14:10	-97.1	17:14:56	-10
17:14:11	-4	17:14:11	-1.78	17:14:11	-97.1	17:14:57	-10
17:14:12	-4	17:14:12	-1.76	17:14:12	-97.1	17:14:58	-10
17:14:13	-4	17:14:13	-1.75	17:14:13	-97.1	17:15:00	-10
17:14:14	-4	17:14:14	-1.73	17:14:14	-97.1	17:15:01	-10
17:14:15	-4	17:14:15	-1.72	17:14:15	-97.1	17:15:02	-10
17:14:16	-4	17:14:16	-1.7	17:14:16	-97.1	17:15:03	-10
17:14:17	-4	17:14:17	-1.68	17:14:17	-97.1	17:15:04	-10
17:14:18	-4	17:14:18	-1.67	17:14:18	-97.1	17:15:05	-10
17:14:19	-4	17:14:19	-1.65	17:14:19	-97.1	17:15:06	-10
17:14:20	-4	17:14:20	-1.64	17:14:20	-97.1	17:15:07	-10
17:14:21	-4	17:14:21	-1.62	17:14:21	-97.1	17:15:08	-10
17:14:22	-4	17:14:22	-1.61	17:14:22	-97.1	17:15:09	-10
17:14:23	-4	17:14:23	-1.59	17:14:23	-97.1	17:15:10	-10
17:14:24	-4	17:14:24	-1.57	17:14:24	-97.1	17:15:11	-10
17:14:25	-4	17:14:25	-1.56	17:14:25	-97.2	17:15:12	-10
17:14:26	-4	17:14:26	-1.54	17:14:26	-97.1	17:15:13	-10
17:14:27	-4	17:14:27	-1.53	17:14:27	-97.1	17:15:14	-10
17:14:28	-4	17:14:28	-1.51	17:14:28	-97.1	17:15:15	-10
17:14:29	-4	17:14:29	-1.49	17:14:29	-97.2	17:15:16	-10
17:14:30	-4	17:14:30	-1.48	17:14:30	-97.1	17:15:17	-10
17:14:31	-4	17:14:31	-1.46	17:14:31	-97.1	17:15:18	-10
17:14:32	-4	17:14:32	-1.44	17:14:32	-97.1	17:15:19	-10
17:14:33	-4	17:14:33	-1.43	17:14:33	-97.1	17:15:20	-10
17:14:34	-4	17:14:34	-1.41	17:14:34	-97.2	17:15:21	-10
17:14:35	-4	17:14:35	-1.39	17:14:35	-97.1	17:15:22	-10
17:14:36	-4	17:14:36	-1.38	17:14:36	-97.1	17:15:23	-10
17:14:37	-4	17:14:37	-1.36	17:14:37	-97.1	17:15:24	-10
17:14:38	-4	17:14:38	-1.34	17:14:38	-97.1	17:15:25	-10
17:14:39	-4	17:14:39	-1.33	17:14:39	-97.1	17:15:26	-10
17:14:40	-4	17:14:40	-1.31	17:14:40	-97.1	17:15:27	-10
17:14:41	-4	17:14:41	-1.29	17:14:41	-97.1	17:15:28	-10
17:14:42	-4	17:14:42	-1.28	17:14:42	-97.1	17:15:29	-10
17:14:43	-4	17:14:43	-1.26	17:14:43	-97.2	17:15:30	-10
17:14:44	-4	17:14:44	-1.24	17:14:44	-97.2	17:15:31	-10
17:14:45	-4	17:14:45	-1.22	17:14:45	-97.2	17:15:32	-10
17:14:46	-4	17:14:46	-1.21	17:14:46	-97.2	17:15:33	-10
17:14:47	-4	17:14:47	-1.19	17:14:47	-97.1	17:15:34	-10
17:14:48	-4	17:14:48	-1.17	17:14:48	-97.2	17:15:35	-10
17:14:49	-4	17:14:49	-1.16	17:14:49	-97.2	17:15:36	-10
17:14:50	-4	17:14:50	-1.13	17:14:50	-97.2	17:15:37	-10
17:14:51	-4	17:14:51	-1.12	17:14:51	-97.2	17:15:38	-10
17:14:52	-4	17:14:52	-1.1	17:14:52	-97.2	17:15:39	-10
17:14:53	-4	17:14:53	-1.08	17:14:53	-97.2	17:15:40	-10
17:14:54	-4	17:14:54	-1.07	17:14:54	-97.2	17:15:41	-10
17:14:55	-4	17:14:55	-1.05	17:14:55	-97.2	17:15:42	-10
17:14:56	-4	17:14:56	-1.03	17:14:56	-97.2	17:15:43	-10
17:14:57	-4	17:14:57	-1.01	17:14:57	-97.2	17:15:44	-10
17:14:58	-4	17:14:58	-1	17:14:58	-97.2	17:15:45	-10
17:15:00	-4	17:15:00	-0.98	17:15:00	-97.2	17:15:46	-10
17:15:01	-4	17:15:01	-0.96	17:15:01	-97.2	17:15:47	-10
17:15:02	-4	17:15:02	-0.94	17:15:02	-97.2	17:15:48	-10
17:15:03	-4	17:15:03	-0.92	17:15:03	-97.2	17:15:49	-10
17:15:04	-4	17:15:04	-0.91	17:15:04	-97.2	17:15:50	-10
17:15:05	-4	17:15:05	-0.89	17:15:05	-97.2	17:15:51	-10
17:15:06	-4	17:15:06	-0.87	17:15:06	-97.2	17:15:52	-10
17:15:07	-4	17:15:07	-0.85	17:15:07	-97.2	17:15:53	-10
17:15:08	-4	17:15:08	-0.83	17:15:08	-97.2	17:15:54	-10
17:15:09	-4	17:15:09	-0.81	17:15:09	-97.2	17:15:55	-10
17:15:10	-4	17:15:10	-0.8	17:15:10	-97.2	17:15:56	-10
17:15:11	-4	17:15:11	-0.78	17:15:11	-97.2	17:15:57	-10
17:15:12	-4	17:15:12	-0.76	17:15:12	-97.2	17:15:58	-10
17:15:13	-4	17:15:13	-0.74	17:15:13	-97.2	17:15:59	-10
17:15:14	-4	17:15:14	-0.72	17:15:14	-97.2	17:16:00	-10
17:15:15	-4	17:15:15	-0.7	17:15:15	-97.2	17:16:01	-10
17:15:16	-4	17:15:16	-0.69	17:15:16	-97.2	17:16:02	-10
17:15:17	-4	17:15:17	-0.67	17:15:17	-97.2	17:16:03	-10
17:15:18	-4	17:15:18	-0.65	17:15:18	-97.2	17:16:04	-10
17:15:19	-4	17:15:19	-0.63	17:15:19	-97.2	17:16:05	-10
17:15:20	-4	17:15:20	-0.62	17:15:20	-97.2	17:16:06	-10
