Time (HH:MM:SS) - Setpoint	Temperature (ºC) - Setpoint	Time (HH:MM:SS) - Sensor 1	Temperature (ºC) - Sensor 1	Time (HH:MM:SS) - Sensor 2	Temperature (ºC) - Sensor 2	Time (HH:MM:SS) - Power	          Power (%) - Power
13:19:17	-20	13:19:17	-20			13:19:17	-81
13:19:27	-20	13:19:27	-19.98			13:19:27	-81
13:19:37	-4	13:19:37	-19.32			13:20:07	95
13:19:47	-4	13:19:47	-16.11			13:20:17	36
13:19:57	-4	13:19:57	-12.31			13:20:27	-9
13:20:07	-4	13:20:07	-8.67			13:20:37	-30
13:20:17	-4	13:20:17	-5.26			13:20:47	-39
13:20:27	-4	13:20:27	-3.02			13:20:57	-10
13:20:37	-4	13:20:37	-2.2			13:21:07	-10
13:20:47	-4	13:20:47	-2.07			13:21:17	-10
13:20:57	-4	13:20:57	-2.1			13:21:27	-10
13:21:07	-4	13:21:07	-1.95			13:21:37	-10
13:21:17	-4	13:21:17	-1.73			13:21:47	-10
13:21:27	-4	13:21:27	-1.49			13:21:57	-10
13:21:37	-4	13:21:37	-1.27			13:22:07	-10
13:21:47	-4	13:21:47	-1.03			13:22:17	-10
13:21:57	-4	13:21:57	-0.79			13:22:27	-10
13:22:07	-4	13:22:07	-0.56			13:22:37	-10
13:22:17	-4	13:22:17	-0.33			13:22:47	-10
13:22:27	-4	13:22:27	-0.11			13:22:57	-10
13:22:37	-4	13:22:37	0.11			13:23:07	-10
13:22:47	-4	13:22:47	0.34			13:23:17	-10
13:22:57	-4	13:22:57	0.55			13:23:27	-10
13:23:07	-4	13:23:07	0.77			13:23:37	-10
13:23:17	-4	13:23:17	0.97			13:23:47	-10
13:23:27	-4	13:23:27	1.17				
13:23:37	-4	13:23:37	1.37				
13:23:47	-4	13:23:47	1.56				
