Time (HH:MM:SS) - Setpoint	Temperature (ºC) - Setpoint	Time (HH:MM:SS) - Sensor 1	Temperature (ºC) - Sensor 1	Time (HH:MM:SS) - Sensor 2	Temperature (ºC) - Sensor 2	Time (HH:MM:SS) - Power	          Power (%) - Power
16:53:33	12	16:53:33	5.76	16:53:33	-97.2	16:53:44	99
16:53:34	12	16:53:34	5.78	16:53:34	-97.1	16:53:45	95
16:53:35	12	16:53:35	5.79	16:53:35	-97.2	16:53:46	91
16:53:36	12	16:53:36	5.8	16:53:36	-97.2	16:53:47	87
16:53:37	12	16:53:37	5.86	16:53:37	-97.2	16:53:48	82
16:53:38	12	16:53:38	5.95	16:53:38	-97.2	16:53:49	77
16:53:39	12	16:53:39	6.03	16:53:39	-97.2	16:53:50	73
16:53:40	12	16:53:40	6.21	16:53:40	-97.2	16:53:51	68
16:53:41	12	16:53:41	6.36	16:53:41	-97.2	16:53:52	62
16:53:42	12	16:53:42	6.47	16:53:42	-97.2	16:53:53	57
16:53:43	12	16:53:43	6.82	16:53:43	-97.2	16:53:54	51
16:53:44	12	16:53:44	7.03	16:53:44	-97.2	16:53:55	46
16:53:45	12	16:53:45	7.36	16:53:45	-97.2	16:53:56	41
16:53:46	12	16:53:46	7.62	16:53:46	-97.2	16:53:57	36
16:53:47	12	16:53:47	7.89	16:53:47	-97.2	16:53:58	31
16:53:48	12	16:53:48	8.2	16:53:48	-97.2	16:53:59	26
16:53:49	12	16:53:49	8.49	16:53:49	-97.2	16:54:00	21
16:53:50	12	16:53:50	8.78	16:53:50	-97.2	16:54:01	16
16:53:51	12	16:53:51	9.07	16:53:51	-97.2	16:54:02	13
16:53:52	12	16:53:52	9.43	16:53:52	-97.2	16:54:03	8
16:53:53	12	16:53:53	9.72	16:53:53	-97.2	16:54:04	4
16:53:54	12	16:53:54	10.01	16:53:54	-97.2	16:54:05	1
16:53:55	12	16:53:55	10.33	16:53:55	-97.2	16:54:06	-2
16:53:56	12	16:53:56	10.63	16:53:56	-97.2	16:54:07	-6
16:53:57	12	16:53:57	10.89	16:53:57	-97.2	16:54:08	-8
16:53:58	12	16:53:58	11.14	16:53:58	-97.2	16:54:09	-11
16:53:59	12	16:53:59	11.39	16:53:59	-97.2	16:54:10	-13
16:54:00	12	16:54:00	11.65	16:54:00	-97.2	16:54:11	-15
16:54:01	12	16:54:01	11.87	16:54:01	-97.2	16:54:12	-17
16:54:02	12	16:54:02	12.09	16:54:02	-97.2	16:54:13	-18
16:54:03	12	16:54:03	12.31	16:54:03	-97.2	16:54:14	-20
16:54:04	12	16:54:04	12.48	16:54:04	-97.2	16:54:15	-21
16:54:05	12	16:54:05	12.65	16:54:05	-97.2	16:54:16	-22
16:54:06	12	16:54:06	12.8	16:54:06	-97.2	16:54:17	-22
16:54:07	12	16:54:07	12.96	16:54:07	-97.2	16:54:18	-23
16:54:08	12	16:54:08	13.07	16:54:08	-97.2	16:54:19	-23
16:54:09	12	16:54:09	13.17	16:54:09	-97.2	16:54:20	-24
16:54:10	12	16:54:10	13.26	16:54:10	-97.2	16:54:21	-24
16:54:11	12	16:54:11	13.34	16:54:11	-97.2	16:54:22	-25
16:54:12	12	16:54:12	13.41	16:54:12	-97.2	16:54:23	-25
16:54:13	12	16:54:13	13.45	16:54:13	-97.2	16:54:24	-25
