Time (HH:MM:SS) - Setpoint	Temperature (ºC) - Setpoint	Time (HH:MM:SS) - Sensor 1	Temperature (ºC) - Sensor 1	Time (HH:MM:SS) - Sensor 2	Temperature (ºC) - Sensor 2	Time (HH:MM:SS) - Power	          Power (%) - Power
18:30:45	-20	18:30:45	-20	18:30:45	-97.2	18:30:45	-76
18:30:46	-20	18:30:46	-20	18:30:46	-97.1	18:30:46	-76
18:30:47	-20	18:30:47	-20.01	18:30:47	-97.1	18:30:47	-76
18:30:48	-20	18:30:48	-20.01	18:30:48	-97	18:30:48	-76
18:30:49	-20	18:30:49	-20.02	18:30:49	-97.2	18:30:49	-76
18:30:50	-20	18:30:50	-20.02	18:30:50	-97.2	18:30:50	-76
18:30:51	-20	18:30:51	-20.01	18:30:51	-97.1	18:30:51	-76
18:30:52	-20	18:30:52	-20.01	18:30:52	-97.2	18:30:52	-76
18:30:53	-20	18:30:53	-20.01	18:30:53	-97.2	18:30:53	-76
18:30:54	-20	18:30:54	-20	18:30:54	-97.2	18:30:54	-76
18:30:55	-20	18:30:55	-20.01	18:30:55	-97.1	18:30:55	-76
18:30:56	-20	18:30:56	-20.01	18:30:56	-97.1	18:30:56	-76
18:30:57	-20	18:30:57	-20.01	18:30:57	-97.1	18:30:57	-76
18:30:58	-20	18:30:58	-20.01	18:30:58	-97.1	18:30:58	-76
18:30:59	-20	18:30:59	-20	18:30:59	-97.1	18:30:59	-76
18:31:00	-20	18:31:00	-20	18:31:00	-97.1	18:31:00	-76
18:31:01	-20	18:31:01	-20	18:31:01	-97.1	18:31:01	-76
18:31:02	-20	18:31:02	-20	18:31:02	-97.1	18:31:02	-76
18:31:03	-20	18:31:03	-20	18:31:03	-97.1	18:31:03	-76
18:31:04	-20	18:31:04	-20.01	18:31:04	-97.2	18:31:04	-76
18:31:05	-20	18:31:05	-20.01	18:31:05	-97.2	18:31:05	-76
18:31:06	-20	18:31:06	-20.02	18:31:06	-97.2	18:31:06	-76
18:31:07	-20	18:31:07	-20	18:31:07	-97	18:31:07	-76
18:31:08	-20	18:31:08	-20	18:31:08	-97.1	18:31:08	-76
18:31:09	-20	18:31:09	-20	18:31:09	-97.1	18:31:09	-76
18:31:10	-20	18:31:10	-20	18:31:10	-97.2	18:31:10	-76
18:31:11	-20	18:31:11	-20.01	18:31:11	-97.2	18:31:11	-76
18:31:12	-20	18:31:12	-20.01	18:31:12	-97.2	18:31:12	-76
18:31:13	-20	18:31:13	-20.01	18:31:13	-97.2	18:31:13	-76
18:31:14	-20	18:31:14	-20	18:31:14	-97.2	18:31:14	-76
18:31:15	-20	18:31:15	-20	18:31:15	-97.2	18:31:15	-76
18:31:16	-20	18:31:16	-20.02	18:31:16	-97.2	18:31:16	-76
18:31:17	-20	18:31:17	-20.02	18:31:17	-97.2	18:31:17	-76
18:31:18	-20	18:31:18	-20.02	18:31:18	-97.2	18:31:18	-76
18:31:19	-20	18:31:19	-20	18:31:19	-97.1	18:31:19	-76
18:31:20	-20	18:31:20	-20	18:31:20	-97.1	18:31:20	-76
18:31:21	-20	18:31:21	-20	18:31:21	-97.1	18:31:21	-76
18:31:22	-20	18:31:22	-20	18:31:22	-97.1	18:31:22	-76
18:31:23	-20	18:31:23	-20	18:31:23	-97.1	18:31:23	-76
18:31:24	-20	18:31:24	-20	18:31:24	-97.1	18:31:24	-76
18:31:25	-20	18:31:25	-20	18:31:25	-97.2	18:31:25	-76
18:31:26	-20	18:31:26	-20	18:31:26	-97.1	18:31:26	-76
18:31:27	-20	18:31:27	-20	18:31:27	-97.1	18:31:27	-76
18:31:28	-20	18:31:28	-20.01	18:31:28	-97.2	18:31:28	-76
18:31:29	-20	18:31:29	-20	18:31:29	-97.1	18:31:29	-76
18:31:30	-20	18:31:30	-20	18:31:30	-97	18:31:30	-76
18:31:31	-20	18:31:31	-20.01	18:31:31	-97.2	18:31:31	-76
18:31:32	-20	18:31:32	-20	18:31:32	-97.1	18:31:32	-76
18:31:33	-20	18:31:33	-20	18:31:33	-97.1	18:31:33	-76
18:31:34	-20	18:31:34	-20	18:31:34	-97.1	18:31:34	-76
18:31:35	-20	18:31:35	-20	18:31:35	-97.1	18:31:35	-76
18:31:36	-20	18:31:36	-20	18:31:36	-97.1	18:31:36	-76
18:31:37	-20	18:31:37	-20.01	18:31:37	-97.2	18:31:37	-76
18:31:38	-20	18:31:38	-20	18:31:38	-97.2	18:31:38	-76
18:31:39	-20	18:31:39	-20	18:31:39	-97	18:31:39	-76
18:31:40	-20	18:31:40	-20	18:31:40	-97.2	18:31:40	-76
18:31:41	-20	18:31:41	-20.01	18:31:41	-97.2	18:31:41	-76
18:31:42	-20	18:31:42	-20	18:31:42	-97.1	18:31:42	-77
18:31:43	-20	18:31:43	-20	18:31:43	-97	18:31:43	-77
18:31:44	-20	18:31:44	-20	18:31:44	-97.2	18:31:44	-76
18:31:45	-20	18:31:45	-20	18:31:45	-97.1	18:31:45	-76
18:31:46	-20	18:31:46	-20.01	18:31:46	-97.2	18:31:46	-76
18:31:47	-20	18:31:47	-20	18:31:47	-97.2	18:31:47	-76
18:31:48	-20	18:31:48	-20	18:31:48	-97.1	18:31:48	-76
18:31:49	-20	18:31:49	-20	18:31:49	-97.2	18:31:49	-76
18:31:50	-20	18:31:50	-19.99	18:31:50	-97.1	18:31:50	-76
18:31:51	-20	18:31:51	-19.99	18:31:51	-97	18:31:51	-77
18:31:52	-20	18:31:52	-19.99	18:31:52	-97	18:31:52	-77
18:31:53	-20	18:31:53	-20	18:31:53	-97.1	18:31:53	-76
18:31:54	-20	18:31:54	-20	18:31:54	-97	18:31:54	-76
18:31:55	-20	18:31:55	-20	18:31:55	-97	18:31:55	-76
18:31:56	-20	18:31:56	-20	18:31:56	-97.2	18:31:56	-76
18:31:57	-20	18:31:57	-20	18:31:57	-97.2	18:31:57	-76
18:31:58	-20	18:31:58	-20	18:31:58	-97.2	18:31:58	-76
18:31:59	-20	18:31:59	-20	18:31:59	-97.2	18:31:59	-77
18:32:00	-20	18:32:00	-19.99	18:32:00	-97.1	18:32:00	-76
18:32:01	-20	18:32:01	-19.99	18:32:01	-97.1	18:32:01	-77
18:32:02	-20	18:32:02	-20	18:32:02	-97.1	18:32:02	-76
18:32:03	-20	18:32:03	-20	18:32:03	-97.1	18:32:03	-76
18:32:04	-20	18:32:04	-20	18:32:04	-97.1	18:32:04	-76
18:32:05	-20	18:32:05	-20	18:32:05	-97.1	18:32:05	-76
18:32:06	-20	18:32:06	-20	18:32:06	-97.1	18:32:06	-76
18:32:07	-20	18:32:07	-19.99	18:32:07	-97	18:32:07	-77
18:32:08	-20	18:32:08	-20	18:32:08	-97.1	18:32:08	-76
18:32:10	-20	18:32:10	-20	18:32:10	-97.2	18:32:10	-76
18:32:11	-20	18:32:11	-20.01	18:32:11	-97.2	18:32:11	-76
18:32:12	-4	18:32:12	-20	18:32:12	-97.1	18:32:47	97
18:32:13	-4	18:32:13	-20.01	18:32:13	-97.2	18:32:48	90
18:32:14	-4	18:32:14	-20	18:32:14	-97.2	18:32:49	83
18:32:15	-4	18:32:15	-20	18:32:15	-97.2	18:32:50	76
18:32:16	-4	18:32:16	-19.98	18:32:16	-97.1	18:32:51	69
18:32:17	-4	18:32:17	-19.95	18:32:17	-97.1	18:32:52	63
18:32:18	-4	18:32:18	-19.86	18:32:18	-97.1	18:32:53	56
18:32:19	-4	18:32:19	-19.7	18:32:19	-97.2	18:32:54	49
18:32:20	-4	18:32:20	-19.52	18:32:20	-97.2	18:32:55	42
18:32:21	-4	18:32:21	-19.27	18:32:21	-97.2	18:32:56	35
18:32:22	-4	18:32:22	-18.99	18:32:22	-97.2	18:32:57	29
18:32:23	-4	18:32:23	-18.64	18:32:23	-97.2	18:32:58	22
18:32:24	-4	18:32:24	-18.34	18:32:24	-97.2	18:32:59	16
18:32:25	-4	18:32:25	-17.98	18:32:25	-97.2	18:33:01	8
18:32:26	-4	18:32:26	-17.58	18:32:26	-97.2	18:33:02	4
18:32:27	-4	18:32:27	-17.21	18:32:27	-97.2	18:33:03	-3
18:32:28	-4	18:32:28	-16.82	18:32:28	-97.2	18:33:04	-7
18:32:29	-4	18:32:29	-16.45	18:32:29	-97.1	18:33:05	-12
18:32:30	-4	18:32:30	-15.97	18:32:30	-97.2	18:33:06	-17
18:32:31	-4	18:32:31	-15.55	18:32:31	-97.2	18:33:07	-10
18:32:32	-4	18:32:32	-15.1	18:32:32	-97.2	18:33:08	-10
18:32:33	-4	18:32:33	-14.73	18:32:33	-97.2	18:33:09	-10
18:32:34	-4	18:32:34	-14.26	18:32:34	-97.2	18:33:10	-10
18:32:35	-4	18:32:35	-13.85	18:32:35	-97.2	18:33:11	-10
18:32:36	-4	18:32:36	-13.37	18:32:36	-97.2	18:33:12	-10
18:32:37	-4	18:32:37	-12.97	18:32:37	-97.2	18:33:13	-10
18:32:38	-4	18:32:38	-12.57	18:32:38	-97.2	18:33:14	-10
18:32:39	-4	18:32:39	-12.18	18:32:39	-97.2	18:33:15	-10
18:32:40	-4	18:32:40	-11.76	18:32:40	-97.2	18:33:16	-10
18:32:41	-4	18:32:41	-11.34	18:32:41	-97.2	18:33:17	-10
18:32:42	-4	18:32:42	-10.89	18:32:42	-97.2	18:33:18	-10
18:32:43	-4	18:32:43	-10.49	18:32:43	-97.2	18:33:19	-10
18:32:44	-4	18:32:44	-10.13	18:32:44	-97.2	18:33:20	-10
18:32:45	-4	18:32:45	-9.65	18:32:45	-97.2	18:33:21	-10
18:32:46	-4	18:32:46	-9.3	18:32:46	-97.2	18:33:22	-10
18:32:47	-4	18:32:47	-8.82	18:32:47	-97.2	18:33:23	-10
18:32:48	-4	18:32:48	-8.41	18:32:48	-97.2	18:33:24	-10
18:32:49	-4	18:32:49	-7.99	18:32:49	-97.2	18:33:25	-10
18:32:50	-4	18:32:50	-7.57	18:32:50	-97.2	18:33:26	-10
18:32:51	-4	18:32:51	-7.19	18:32:51	-97.2	18:33:27	-10
18:32:52	-4	18:32:52	-6.81	18:32:52	-97.2	18:33:28	-10
18:32:53	-4	18:32:53	-6.43	18:32:53	-97.2	18:33:29	-10
18:32:54	-4	18:32:54	-6.05	18:32:54	-97.2	18:33:30	-10
18:32:55	-4	18:32:55	-5.68	18:32:55	-97.2	18:33:31	-10
18:32:56	-4	18:32:56	-5.31	18:32:56	-97.2	18:33:32	-10
18:32:57	-4	18:32:57	-4.94	18:32:57	-97.2	18:33:33	-10
18:32:58	-4	18:32:58	-4.61	18:32:58	-97.2	18:33:34	-10
18:32:59	-4	18:32:59	-4.29	18:32:59	-97.2	18:33:35	-10
18:33:01	-4	18:33:01	-3.92	18:33:01	-97	18:33:36	-10
18:33:02	-4	18:33:02	-3.68	18:33:02	-97.1	18:33:37	-10
18:33:03	-4	18:33:03	-3.37	18:33:03	-97.1	18:33:38	-10
18:33:04	-4	18:33:04	-3.14	18:33:04	-97.1	18:33:39	-10
18:33:05	-4	18:33:05	-2.92	18:33:05	-97.1	18:33:40	-10
18:33:06	-4	18:33:06	-2.69	18:33:06	-97.2	18:33:41	-10
18:33:07	-4	18:33:07	-2.61	18:33:07	-97.1	18:33:42	-10
18:33:08	-4	18:33:08	-2.39	18:33:08	-97.1	18:33:43	-10
18:33:09	-4	18:33:09	-2.26	18:33:09	-97.2	18:33:44	-10
18:33:10	-4	18:33:10	-2.16	18:33:10	-97.2	18:33:45	-10
18:33:11	-4	18:33:11	-2.06	18:33:11	-97.2	18:33:46	-10
18:33:12	-4	18:33:12	-1.99	18:33:12	-97.2	18:33:47	-10
18:33:13	-4	18:33:13	-1.92	18:33:13	-97.2	18:33:48	-10
18:33:14	-4	18:33:14	-1.87	18:33:14	-97.2	18:33:49	-10
18:33:15	-4	18:33:15	-1.82	18:33:15	-97.2	18:33:50	-10
18:33:16	-4	18:33:16	-1.78	18:33:16	-97.2	18:33:51	-10
18:33:17	-4	18:33:17	-1.75	18:33:17	-97.1	18:33:52	-10
18:33:18	-4	18:33:18	-1.71	18:33:18	-97.2	18:33:53	-10
18:33:19	-4	18:33:19	-1.68	18:33:19	-97.2	18:33:55	-10
18:33:20	-4	18:33:20	-1.65	18:33:20	-97.2	18:33:56	-10
18:33:21	-4	18:33:21	-1.62	18:33:21	-97.2	18:33:57	-10
18:33:22	-4	18:33:22	-1.6	18:33:22	-97.2	18:33:58	-10
18:33:23	-4	18:33:23	-1.57	18:33:23	-97.2	18:33:59	-10
18:33:24	-4	18:33:24	-1.55	18:33:24	-97.2	18:34:00	-10
18:33:25	-4	18:33:25	-1.53	18:33:25	-97.2	18:34:01	-10
18:33:26	-4	18:33:26	-1.51	18:33:26	-97.2	18:34:02	-10
18:33:27	-4	18:33:27	-1.48	18:33:27	-97.2	18:34:03	-10
18:33:28	-4	18:33:28	-1.46	18:33:28	-97.2	18:34:04	-10
18:33:29	-4	18:33:29	-1.44	18:33:29	-97.2	18:34:05	-10
18:33:30	-4	18:33:30	-1.42	18:33:30	-97.2	18:34:06	-10
18:33:31	-4	18:33:31	-1.39	18:33:31	-97.2	18:34:07	-10
18:33:32	-4	18:33:32	-1.37	18:33:32	-97.2	18:34:08	-10
18:33:33	-4	18:33:33	-1.35	18:33:33	-97.2	18:34:09	-10
18:33:34	-4	18:33:34	-1.33	18:33:34	-97.2	18:34:10	-10
18:33:35	-4	18:33:35	-1.31	18:33:35	-97.2	18:34:11	-10
18:33:36	-4	18:33:36	-1.29	18:33:36	-97.2	18:34:12	-10
18:33:37	-4	18:33:37	-1.26	18:33:37	-97.2	18:34:13	-10
18:33:38	-4	18:33:38	-1.24	18:33:38	-97.2	18:34:14	-10
18:33:39	-4	18:33:39	-1.22	18:33:39	-97.2	18:34:15	-10
18:33:40	-4	18:33:40	-1.2	18:33:40	-97.2	18:34:16	-10
18:33:41	-4	18:33:41	-1.18	18:33:41	-97.2	18:34:17	-10
18:33:42	-4	18:33:42	-1.16	18:33:42	-97.2	18:34:18	-10
18:33:43	-4	18:33:43	-1.13	18:33:43	-97.2	18:34:19	-10
18:33:44	-4	18:33:44	-1.11	18:33:44	-97.2	18:34:20	-10
18:33:45	-4	18:33:45	-1.09	18:33:45	-97.2	18:34:21	-10
18:33:46	-4	18:33:46	-1.07	18:33:46	-97.2	18:34:22	-10
18:33:47	-4	18:33:47	-1.05	18:33:47	-97.2	18:34:23	-10
18:33:48	-4	18:33:48	-1.02	18:33:48	-97.2	18:34:24	-10
18:33:49	-4	18:33:49	-0.99	18:33:49	-97	18:34:25	-10
18:33:50	-4	18:33:50	-0.98	18:33:50	-97.2	18:34:26	-10
18:33:51	-4	18:33:51	-0.95	18:33:51	-97.2	18:34:27	-10
18:33:52	-4	18:33:52	-0.93	18:33:52	-97.2	18:34:28	-10
18:33:53	-4	18:33:53	-0.91	18:33:53	-97.2	18:34:29	-10
18:33:55	-4	18:33:55	-0.88	18:33:55	-97	18:34:30	-10
18:33:56	-4	18:33:56	-0.85	18:33:56	-97	18:34:31	-10
18:33:57	-4	18:33:57	-0.84	18:33:57	-97.1	18:34:32	-10
18:33:58	-4	18:33:58	-0.81	18:33:58	-97.1	18:34:33	-10
18:33:59	-4	18:33:59	-0.78	18:33:59	-97.1	18:34:34	-10
18:34:00	-4	18:34:00	-0.76	18:34:00	-97.1	18:34:35	-10
18:34:01	-4	18:34:01	-0.74	18:34:01	-97.1	18:34:36	-10
18:34:02	-4	18:34:02	-0.72	18:34:02	-97.1	18:34:37	-10
18:34:03	-4	18:34:03	-0.69	18:34:03	-97.1	18:34:38	-10
18:34:04	-4	18:34:04	-0.67	18:34:04	-97.1	18:34:39	-10
18:34:05	-4	18:34:05	-0.65	18:34:05	-97.1	18:34:40	-10
18:34:06	-4	18:34:06	-0.62	18:34:06	-97.1	18:34:41	-10
18:34:07	-4	18:34:07	-0.6	18:34:07	-97.1	18:34:42	-10
18:34:08	-4	18:34:08	-0.58	18:34:08	-97.1	18:34:43	-10
18:34:09	-4	18:34:09	-0.55	18:34:09	-97.1	18:34:44	-10
18:34:10	-4	18:34:10	-0.53	18:34:10	-97.1	18:34:45	-10
18:34:11	-4	18:34:11	-0.51	18:34:11	-97.1	18:34:46	-10
18:34:12	-4	18:34:12	-0.48	18:34:12	-97.1	18:34:47	-10
18:34:13	-4	18:34:13	-0.46	18:34:13	-97.1	18:34:48	-10
18:34:14	-4	18:34:14	-0.44	18:34:14	-97.1	18:34:49	-10
18:34:15	-4	18:34:15	-0.41	18:34:15	-97.1	18:34:50	-10
18:34:16	-4	18:34:16	-0.39	18:34:16	-97.1	18:34:52	-10
18:34:17	-4	18:34:17	-0.37	18:34:17	-97.1	18:34:53	-10
18:34:18	-4	18:34:18	-0.35	18:34:18	-97	18:34:54	-10
18:34:19	-4	18:34:19	-0.32	18:34:19	-97	18:34:55	-10
18:34:20	-4	18:34:20	-0.3	18:34:20	-97.1	18:34:56	-10
18:34:21	-4	18:34:21	-0.28	18:34:21	-97.1	18:34:57	-10
18:34:22	-4	18:34:22	-0.26	18:34:22	-97.1	18:34:58	-10
18:34:23	-4	18:34:23	-0.23	18:34:23	-97.1	18:34:59	-10
18:34:24	-4	18:34:24	-0.21	18:34:24	-97.1	18:35:00	-10
18:34:25	-4	18:34:25	-0.19	18:34:25	-97.1	18:35:01	-10
18:34:26	-4	18:34:26	-0.16	18:34:26	-97.1	18:35:02	-10
18:34:27	-4	18:34:27	-0.14	18:34:27	-97.1	18:35:03	-10
18:34:28	-4	18:34:28	-0.12	18:34:28	-97.1	18:35:04	-10
18:34:29	-4	18:34:29	-0.1	18:34:29	-97.1	18:35:05	-10
18:34:30	-4	18:34:30	-0.08	18:34:30	-97.1	18:35:06	-10
18:34:31	-4	18:34:31	-0.05	18:34:31	-97.1	18:35:07	-10
18:34:32	-4	18:34:32	-0.03	18:34:32	-97.1	18:35:08	-10
18:34:33	-4	18:34:33	-0.01	18:34:33	-97.1	18:35:09	-10
18:34:34	-4	18:34:34	0.01	18:34:34	-97.1	18:35:10	-10
18:34:35	-4	18:34:35	0.04	18:34:35	-97.1	18:35:11	-10
18:34:36	-4	18:34:36	0.06	18:34:36	-97.1	18:35:12	-10
18:34:37	-4	18:34:37	0.08	18:34:37	-97.1	18:35:13	-10
18:34:38	-4	18:34:38	0.11	18:34:38	-97.1	18:35:14	-10
18:34:39	-4	18:34:39	0.13	18:34:39	-97.1	18:35:15	-10
18:34:40	-4	18:34:40	0.15	18:34:40	-97.1	18:35:16	-10
18:34:41	-4	18:34:41	0.17	18:34:41	-97.1	18:35:17	-10
18:34:42	-4	18:34:42	0.2	18:34:42	-97.2	18:35:18	-10
18:34:43	-4	18:34:43	0.22	18:34:43	-97.1	18:35:19	-10
