Time (HH:MM:SS) - Setpoint	Temperature (�C) - Setpoint	Time (HH:MM:SS) - Sensor 1	Temperature (�C) - Sensor 1	Time (HH:MM:SS) - Sensor 2	Temperature (�C) - Sensor 2	Time (HH:MM:SS) - Power	          Power (%) - Power
15:01:20	-4	15:01:20	-20.02	15:01:20	-97.2	15:01:56	96
15:01:21	-4	15:01:21	-20.02	15:01:21	-97.2	15:01:57	90
15:01:22	-4	15:01:22	-20.02	15:01:22	-97.2	15:01:58	84
15:01:23	-4	15:01:23	-20.01	15:01:23	-97.2	15:01:59	77
15:01:24	-4	15:01:24	-19.99	15:01:24	-97.2	15:02:00	71
15:01:25	-4	15:01:25	-19.93	15:01:25	-97.2	15:02:01	64
15:01:26	-4	15:01:26	-19.85	15:01:26	-97.2	15:02:02	58
15:01:27	-4	15:01:27	-19.69	15:01:27	-97.1	15:02:03	51
15:01:28	-4	15:01:28	-19.49	15:01:28	-97.1	15:02:04	45
15:01:29	-4	15:01:29	-19.25	15:01:29	-97.1	15:02:05	38
15:01:30	-4	15:01:30	-18.95	15:01:30	-97.1	15:02:06	31
15:01:31	-4	15:01:31	-18.65	15:01:31	-97.1	15:02:07	26
15:01:32	-4	15:01:32	-18.3	15:01:32	-97.1	15:02:08	20
15:01:33	-4	15:01:33	-17.98	15:01:33	-97.1	15:02:09	14
15:01:34	-4	15:01:34	-17.61	15:01:34	-97.1	15:02:10	9
15:01:35	-4	15:01:35	-17.26	15:01:35	-97.1	15:02:11	4
15:01:36	-4	15:01:36	-16.87	15:01:36	-97.1	15:02:12	-1
15:01:37	-4	15:01:37	-16.47	15:01:37	-97.1	15:02:13	-5
15:01:38	-4	15:01:38	-16.05	15:01:38	-97.1	15:02:14	-10
15:01:39	-4	15:01:39	-15.65	15:01:39	-97.1	15:02:15	-13
15:01:40	-4	15:01:40	-15.28	15:01:40	-97.1	15:02:16	-16
15:01:41	-4	15:01:41	-14.83	15:01:41	-97.1	15:02:17	-20
15:01:42	-4	15:01:42	-14.4	15:01:42	-97.2	15:02:18	-22
15:01:43	-4	15:01:43	-14.03	15:01:43	-97.1	15:02:19	-25
15:01:44	-4	15:01:44	-13.61	15:01:44	-97.1	15:02:20	-27
15:01:45	-4	15:01:45	-13.17	15:01:45	-97.1	15:02:21	-29
15:01:46	-4	15:01:46	-12.8	15:01:46	-97.1	15:02:22	-31
15:01:47	-4	15:01:47	-12.39	15:01:47	-97.2	15:02:23	-32
15:01:48	-4	15:01:48	-12.02	15:01:48	-97.1	15:02:24	-33
15:01:49	-4	15:01:49	-11.56	15:01:49	-97.1	15:02:25	-34
