Time (HH:MM:SS) - Setpoint	Temperature (ºC) - Setpoint	Time (HH:MM:SS) - Sensor 1	Temperature (ºC) - Sensor 1	Time (HH:MM:SS) - Sensor 2	Temperature (ºC) - Sensor 2	Time (HH:MM:SS) - Power	          Power (%) - Power
14:01:18	-20	14:01:18	-20.45	14:01:18	-97.2	14:01:18	-72
14:01:19	-20	14:01:19	-20.46	14:01:19	-97.2	14:01:19	-71
14:01:20	-20	14:01:20	-20.46	14:01:20	-97.2	14:01:20	-71
14:01:21	-20	14:01:21	-20.46	14:01:21	-97.2	14:01:21	-71
14:01:22	-20	14:01:22	-20.45	14:01:22	-97.1	14:01:22	-71
14:01:23	-20	14:01:23	-20.46	14:01:23	-97.2	14:01:23	-70
14:01:24	-20	14:01:24	-20.46	14:01:24	-97.2	14:01:24	-70
14:01:25	-20	14:01:25	-20.46	14:01:25	-97.2	14:01:25	-70
14:01:26	-20	14:01:26	-20.46	14:01:26	-97.2	14:01:26	-70
14:01:27	-20	14:01:27	-20.46	14:01:27	-97.1	14:01:27	-70
14:01:28	-20	14:01:28	-20.47	14:01:28	-97.2	14:01:28	-70
14:01:29	-20	14:01:29	-20.46	14:01:29	-97.1	14:01:29	-69
14:01:30	-20	14:01:30	-20.46	14:01:30	-97.1	14:01:30	-69
14:01:31	-20	14:01:31	-20.47	14:01:31	-97.2	14:01:31	-69
14:01:32	-20	14:01:32	-20.47	14:01:32	-97.2	14:01:32	-69
14:01:33	-20	14:01:33	-20.46	14:01:33	-97.1	14:01:33	-69
14:01:34	-4	14:01:34	-20.46	14:01:34	-97.2	14:02:10	98
14:01:35	-4	14:01:35	-20.46	14:01:35	-97.2	14:02:11	92
14:01:36	-4	14:01:36	-20.46	14:01:36	-97.2	14:02:13	85
14:01:37	-4	14:01:37	-20.44	14:01:37	-97.2	14:02:14	78
14:01:38	-4	14:01:38	-20.42	14:01:38	-97.2	14:02:15	71
14:01:39	-4	14:01:39	-20.36	14:01:39	-97.1	14:02:16	65
14:01:40	-4	14:01:40	-20.24	14:01:40	-97.1	14:02:17	58
14:01:41	-4	14:01:41	-20.08	14:01:41	-97.1	14:02:18	51
14:01:42	-4	14:01:42	-19.88	14:01:42	-97.2	14:02:19	44
14:01:43	-4	14:01:43	-19.61	14:01:43	-97.2	14:02:20	38
14:01:44	-4	14:01:44	-19.32	14:01:44	-97.2	14:02:21	31
14:01:45	-4	14:01:45	-18.97	14:01:45	-97.2	14:02:22	25
14:01:46	-4	14:01:46	-18.6	14:01:46	-97.2	14:02:23	19
14:01:47	-4	14:01:47	-18.24	14:01:47	-97.2	14:02:24	14
14:01:48	-4	14:01:48	-17.92	14:01:48	-97.2	14:02:25	8
