Time (HH:MM:SS) - Setpoint	Temperature (ºC) - Setpoint	Time (HH:MM:SS) - Sensor 1	Temperature (ºC) - Sensor 1	Time (HH:MM:SS) - Sensor 2	Temperature (ºC) - Sensor 2	Time (HH:MM:SS) - Power	          Power (%) - Power
20:32:43	-20	20:32:43	-20.01			20:32:43	-81
20:32:53	-20	20:32:53	-20			20:32:53	-81
20:33:03	-20	20:33:03	-20.01			20:33:03	-81
20:33:13	-20	20:33:13	-20.01			20:33:13	-81
20:33:23	-20	20:33:23	-20			20:33:23	-81
20:33:33	-4	20:33:33	-19.57			20:34:13	42
20:33:43	-4	20:33:43	-16.43			20:34:23	-6
20:33:53	-4	20:33:53	-12.67			20:34:33	-10
20:34:03	-4	20:34:03	-9			20:34:43	-10
20:34:13	-4	20:34:13	-5.55			20:34:53	-10
20:34:23	-4	20:34:23	-3.15			20:35:03	-10
20:34:33	-4	20:34:33	-2.2			20:35:13	-10
20:34:43	-4	20:34:43	-1.92			20:35:23	-10
20:34:53	-4	20:34:53	-1.72			20:35:33	-10
20:35:03	-4	20:35:03	-1.51			20:35:43	-10
20:35:13	-4	20:35:13	-1.3			20:35:53	-10
20:35:23	-4	20:35:23	-1.07			20:36:03	-10
20:35:33	-4	20:35:33	-0.85			20:36:13	-10
20:35:43	-4	20:35:43	-0.62			20:36:23	-10
20:35:53	-4	20:35:53	-0.39			20:36:33	-10
20:36:03	-4	20:36:03	-0.18			20:36:43	-10
20:36:13	-4	20:36:13	0.03			20:36:53	-10
20:36:23	-4	20:36:23	0.23			20:37:03	-10
20:36:33	-4	20:36:33	0.47			20:37:13	-10
20:36:43	-4	20:36:43	0.69			20:37:23	-10
20:36:53	-4	20:36:53	0.9			20:37:33	-10
20:37:03	-4	20:37:03	1.1			20:37:43	-10
20:37:13	-4	20:37:13	1.29				
20:37:23	-4	20:37:23	1.47				
20:37:33	-4	20:37:33	1.66				
20:37:43	-4	20:37:43	1.84				
