Time (HH:MM:SS) - Setpoint	Temperature (�C) - Setpoint	Time (HH:MM:SS) - Sensor 1	Temperature (�C) - Sensor 1	Time (HH:MM:SS) - Sensor 2	Temperature (�C) - Sensor 2	Time (HH:MM:SS) - Power	          Power (%) - Power
16:16:31	-4	16:16:31	-20	16:16:31	-97.2	16:18:10	-10
16:16:32	-4	16:16:32	-20	16:16:32	-97.2	16:18:11	-10
16:16:33	-4	16:16:33	-19.99	16:16:33	-97.2	16:18:12	-10
16:16:34	-4	16:16:34	-19.95	16:16:34	-97.2	16:18:13	-10
16:16:35	-4	16:16:35	-19.86	16:16:35	-97.2	16:18:14	-10
16:16:36	-4	16:16:36	-19.74	16:16:36	-97.2	16:18:15	-10
16:16:37	-4	16:16:37	-19.57	16:16:37	-97.2	16:18:16	-10
16:16:38	-4	16:16:38	-19.37	16:16:38	-97.2	16:18:17	-10
16:16:39	-4	16:16:39	-19.08	16:16:39	-97.2	16:18:18	-10
16:16:40	-4	16:16:40	-18.85	16:16:40	-97.2	16:18:19	-10
16:16:42	-4	16:16:42	-18.46	16:16:42	-97.2	16:18:20	-10
16:16:43	-4	16:16:43	-18.14	16:16:43	-97.2	16:18:21	-10
16:16:44	-4	16:16:44	-17.8	16:16:44	-97.2	16:18:22	-10
16:16:45	-4	16:16:45	-17.43	16:16:45	-97.2	16:18:23	-10
16:16:46	-4	16:16:46	-17.04	16:16:46	-97.2	16:18:24	-10
16:16:47	-4	16:16:47	-16.61	16:16:47	-97.2	16:18:25	-10
16:16:48	-4	16:16:48	-16.24	16:16:48	-97.2	16:18:26	-10
16:16:49	-4	16:16:49	-15.8	16:16:49	-97.2	16:18:27	-10
16:16:50	-4	16:16:50	-15.39	16:16:50	-97.2	16:18:28	-10
16:16:51	-4	16:16:51	-15.04	16:16:51	-97.2	16:18:29	-10
16:16:52	-4	16:16:52	-14.64	16:16:52	-97.2	16:18:30	-10
16:16:53	-4	16:16:53	-14.26	16:16:53	-97.2	16:18:31	-10
16:16:54	-4	16:16:54	-13.82	16:16:54	-97.2	16:18:32	-10
16:16:55	-4	16:16:55	-13.34	16:16:55	-97.2	16:18:33	-10
16:16:56	-4	16:16:56	-12.96	16:16:56	-97.2	16:18:34	-10
16:16:57	-4	16:16:57	-12.55	16:16:57	-97.2	16:18:35	-10
16:16:58	-4	16:16:58	-12.16	16:16:58	-97.2	16:18:36	-10
16:16:59	-4	16:16:59	-11.8	16:16:59	-97.2	16:18:37	-10
16:17:00	-4	16:17:00	-11.37	16:17:00	-97.2	16:18:38	-10
16:17:01	-4	16:17:01	-10.96	16:17:01	-97.2	16:18:39	-10
16:17:02	-4	16:17:02	-10.59	16:17:02	-97.2	16:18:40	-10
16:17:03	-4	16:17:03	-10.19	16:17:03	-97.2	16:18:41	-10
16:17:04	-4	16:17:04	-9.82	16:17:04	-97.2	16:18:42	-10
16:17:05	-4	16:17:05	-9.44	16:17:05	-97.2	16:18:43	-10
16:17:06	-4	16:17:06	-9.04	16:17:06	-97.2	16:18:44	-10
16:17:07	-4	16:17:07	-8.6	16:17:07	-97.2	16:18:45	-10
16:17:08	-4	16:17:08	-8.2	16:17:08	-97.2	16:18:47	-10
16:17:09	-4	16:17:09	-7.84	16:17:09	-97.2	16:18:48	-10
16:17:10	-4	16:17:10	-7.41	16:17:10	-97.2	16:18:49	-10
16:17:11	-4	16:17:11	-7.03	16:17:11	-97.2	16:18:50	-10
16:17:12	-4	16:17:12	-6.64	16:17:12	-97.2	16:18:51	-10
16:17:13	-4	16:17:13	-6.32	16:17:13	-97.2	16:18:52	-10
16:17:14	-4	16:17:14	-5.96	16:17:14	-97.2	16:18:53	-10
16:17:15	-4	16:17:15	-5.6	16:17:15	-97.2	16:18:54	-10
16:17:16	-4	16:17:16	-5.23	16:17:16	-97.2	16:18:55	-10
16:17:17	-4	16:17:17	-4.91	16:17:17	-97.2	16:18:56	-10
16:17:18	-4	16:17:18	-4.58	16:17:18	-97.2	16:18:57	-10
16:17:19	-4	16:17:19	-4.29	16:17:19	-97.2	16:18:58	-10
16:17:20	-4	16:17:20	-4.08	16:17:20	-97.2	16:18:59	-10
16:17:21	-4	16:17:21	-3.81	16:17:21	-97.2	16:19:00	-10
16:17:22	-4	16:17:22	-3.53	16:17:22	-97.2	16:19:01	-10
16:17:23	-4	16:17:23	-3.33	16:17:23	-97.2	16:19:02	-10
16:17:24	-4	16:17:24	-3.11	16:17:24	-97	16:19:03	-10
16:17:25	-4	16:17:25	-2.93	16:17:25	-97.1	16:19:04	-10
16:17:26	-4	16:17:26	-2.78	16:17:26	-97.1	16:19:05	-10
16:17:27	-4	16:17:27	-2.65	16:17:27	-97.1	16:19:06	-10
16:17:28	-4	16:17:28	-2.54	16:17:28	-97.1	16:19:07	-10
16:17:29	-4	16:17:29	-2.44	16:17:29	-97.1	16:19:08	-10
16:17:30	-4	16:17:30	-2.36	16:17:30	-97.1	16:19:09	-10
16:17:31	-4	16:17:31	-2.29	16:17:31	-97.1	16:19:10	-10
16:17:32	-4	16:17:32	-2.23	16:17:32	-97.1	16:19:11	-10
16:17:34	-4	16:17:34	-2.18	16:17:34	-97.1	16:19:12	-10
16:17:35	-4	16:17:35	-2.13	16:17:35	-97.2	16:19:13	-10
16:17:36	-4	16:17:36	-2.1	16:17:36	-97.1	16:19:14	-10
16:17:37	-4	16:17:37	-2.07	16:17:37	-97.1	16:19:15	-10
16:17:38	-4	16:17:38	-2.04	16:17:38	-97.2	16:19:16	-10
16:17:39	-4	16:17:39	-2.02	16:17:39	-97.2	16:19:17	-10
16:17:40	-4	16:17:40	-2	16:17:40	-97.2	16:19:18	-10
16:17:41	-4	16:17:41	-1.98	16:17:41	-97.2	16:19:19	-10
16:17:42	-4	16:17:42	-1.97	16:17:42	-97.2	16:19:20	-10
16:17:43	-4	16:17:43	-1.95	16:17:43	-97.2	16:19:21	-10
16:17:44	-4	16:17:44	-1.93	16:17:44	-97.2	16:19:22	-10
16:17:45	-4	16:17:45	-1.92	16:17:45	-97.2	16:19:23	-10
