Time (HH:MM:SS) - Setpoint	Temperature (�C) - Setpoint	Time (HH:MM:SS) - Sensor 1	Temperature (�C) - Sensor 1	Time (HH:MM:SS) - Sensor 2	Temperature (�C) - Sensor 2	Time (HH:MM:SS) - Power	          Power (%) - Power
16:39:11	-4	16:39:11	-20	16:39:11	-97.2	16:39:47	89
16:39:12	-4	16:39:12	-19.99	16:39:12	-97.2	16:39:48	83
16:39:13	-4	16:39:13	-19.95	16:39:13	-97.2	16:39:49	76
16:39:14	-4	16:39:14	-19.88	16:39:14	-97.2	16:39:50	70
16:39:15	-4	16:39:15	-19.76	16:39:15	-97.2	16:39:51	63
16:39:16	-4	16:39:16	-19.6	16:39:16	-97.2	16:39:52	57
16:39:17	-4	16:39:17	-19.37	16:39:17	-97.2	16:39:53	50
16:39:18	-4	16:39:18	-19.14	16:39:18	-97.2	16:39:54	44
16:39:19	-4	16:39:19	-18.87	16:39:19	-97.2	16:39:55	37
16:39:20	-4	16:39:20	-18.48	16:39:20	-97.2	16:39:56	32
16:39:21	-4	16:39:21	-18.16	16:39:21	-97.2	16:39:57	26
16:39:22	-4	16:39:22	-17.86	16:39:22	-97.2	16:39:58	20
16:39:23	-4	16:39:23	-17.51	16:39:23	-97.2	16:39:59	14
16:39:24	-4	16:39:24	-17.14	16:39:24	-97.2	16:40:00	9
16:39:25	-4	16:39:25	-16.71	16:39:25	-97.2	16:40:01	4
16:39:27	-4	16:39:27	-16.3	16:39:27	-97.2	16:40:02	-1
16:39:28	-4	16:39:28	-15.9	16:39:28	-97.2	16:40:03	-5
16:39:29	-4	16:39:29	-15.49	16:39:29	-97.2	16:40:04	-9
16:39:30	-4	16:39:30	-15.11	16:39:30	-97.2	16:40:05	-13
16:39:31	-4	16:39:31	-14.63	16:39:31	-97.2	16:40:06	-15
16:39:32	-4	16:39:32	-14.21	16:39:32	-97.1	16:40:07	-19
16:39:33	-4	16:39:33	-13.78	16:39:33	-97.1	16:40:08	-22
16:39:34	-4	16:39:34	-13.41	16:39:34	-97.2	16:40:09	-23
16:39:35	-4	16:39:35	-12.93	16:39:35	-97.1	16:40:10	-26
16:39:36	-4	16:39:36	-12.55	16:39:36	-97.1	16:40:11	-28
16:39:37	-4	16:39:37	-12.18	16:39:37	-97.1	16:40:12	-29
16:39:38	-4	16:39:38	-11.77	16:39:38	-97.1	16:40:13	-31
16:39:39	-4	16:39:39	-11.41	16:39:39	-97.1	16:40:14	-32
16:39:40	-4	16:39:40	-10.96	16:39:40	-97.1	16:40:15	-33
16:39:41	-4	16:39:41	-10.63	16:39:41	-97.1	16:40:16	-35
16:39:42	-4	16:39:42	-10.25	16:39:42	-97.1	16:40:17	-35
16:39:43	-4	16:39:43	-9.84	16:39:43	-97.1	16:40:18	-36
16:39:44	-4	16:39:44	-9.43	16:39:44	-97.1	16:40:19	-37
16:39:45	-4	16:39:45	-9.11	16:39:45	-97.1	16:40:20	-38
16:39:46	-4	16:39:46	-8.68	16:39:46	-97.1	16:40:21	-38
16:39:47	-4	16:39:47	-8.33	16:39:47	-97.1	16:40:22	-39
16:39:48	-4	16:39:48	-7.98	16:39:48	-97.1	16:40:23	-39
16:39:49	-4	16:39:49	-7.52	16:39:49	-97.1	16:40:24	-40
16:39:50	-4	16:39:50	-7.18	16:39:50	-97.1	16:40:25	-40
16:39:51	-4	16:39:51	-6.79	16:39:51	-97.1	16:40:26	-41
16:39:52	-4	16:39:52	-6.45	16:39:52	-97.1	16:40:27	-41
16:39:53	-4	16:39:53	-6.06	16:39:53	-97.1	16:40:28	-41
16:39:54	-4	16:39:54	-5.74	16:39:54	-97.1	16:40:29	-42
16:39:55	-4	16:39:55	-5.38	16:39:55	-97.1	16:40:30	-42
16:39:56	-4	16:39:56	-5.06	16:39:56	-97.1	16:40:31	-42
16:39:57	-4	16:39:57	-4.74	16:39:57	-97.1	16:40:32	-42
16:39:58	-4	16:39:58	-4.44	16:39:58	-97.1	16:40:33	-42
16:39:59	-4	16:39:59	-4.13	16:39:59	-97.2	16:40:34	-42
16:40:00	-4	16:40:00	-3.86	16:40:00	-97.1	16:40:35	-43
16:40:01	-4	16:40:01	-3.64	16:40:01	-97.1	16:40:36	-43
16:40:02	-4	16:40:02	-3.41	16:40:02	-97.1	16:40:37	-43
16:40:03	-4	16:40:03	-3.22	16:40:03	-97.1	16:40:38	-43
16:40:04	-4	16:40:04	-3.03	16:40:04	-97.1	16:40:39	-43
16:40:05	-4	16:40:05	-2.86	16:40:05	-97.2	16:40:40	-44
16:40:06	-4	16:40:06	-2.73	16:40:06	-97.1	16:40:41	-44
16:40:07	-4	16:40:07	-2.6	16:40:07	-97.1	16:40:42	-44
16:40:08	-4	16:40:08	-2.48	16:40:08	-97.2	16:40:43	-44
16:40:09	-4	16:40:09	-2.4	16:40:09	-97.1	16:40:44	-44
16:40:10	-4	16:40:10	-2.32	16:40:10	-97.1	16:40:45	-44
16:40:11	-4	16:40:11	-2.25	16:40:11	-97.1	16:40:46	-44
16:40:12	-4	16:40:12	-2.2	16:40:12	-97.1	16:40:47	-44
16:40:13	-4	16:40:13	-2.15	16:40:13	-97.1	16:40:48	-45
16:40:14	-4	16:40:14	-2.11	16:40:14	-97.1	16:40:49	-44
16:40:15	-4	16:40:15	-2.09	16:40:15	-97.2	16:40:50	-45
16:40:16	-4	16:40:16	-2.06	16:40:16	-97.1	16:40:51	-45
16:40:17	-4	16:40:17	-2.05	16:40:17	-97.1	16:40:52	-45
16:40:18	-4	16:40:18	-2.04	16:40:18	-97.1	16:40:53	-45
16:40:19	-4	16:40:19	-2.04	16:40:19	-97.1	16:40:54	-45
16:40:20	-4	16:40:20	-2.03	16:40:20	-97.1	16:40:55	-45
16:40:21	-4	16:40:21	-2.03	16:40:21	-97.1	16:40:56	-45
16:40:22	-4	16:40:22	-2.04	16:40:22	-97.1	16:40:58	-45
16:40:23	-4	16:40:23	-2.05	16:40:23	-97.2	16:40:59	-45
16:40:24	-4	16:40:24	-2.06	16:40:24	-97.1	16:41:00	-45
16:40:25	-4	16:40:25	-2.06	16:40:25	-97.1	16:41:01	-45
16:40:26	-4	16:40:26	-2.08	16:40:26	-97.1	16:41:02	-45
16:40:27	-4	16:40:27	-2.09	16:40:27	-97.1	16:41:03	-45
16:40:28	-4	16:40:28	-2.1	16:40:28	-97.1	16:41:04	-45
16:40:29	-4	16:40:29	-2.12	16:40:29	-97.1	16:41:05	-45
16:40:30	-4	16:40:30	-2.14	16:40:30	-97.1	16:41:06	-45
16:40:31	-4	16:40:31	-2.16	16:40:31	-97.1	16:41:07	-45
16:40:32	-4	16:40:32	-2.18	16:40:32	-97.1	16:41:08	-45
16:40:33	-4	16:40:33	-2.2	16:40:33	-97.1	16:41:09	-45
16:40:34	-4	16:40:34	-2.22	16:40:34	-97.1	16:41:10	-45
16:40:35	-4	16:40:35	-2.24	16:40:35	-97.1	16:41:11	-45
16:40:36	-4	16:40:36	-2.26	16:40:36	-97.1	16:41:12	-45
16:40:37	-4	16:40:37	-2.28	16:40:37	-97.2	16:41:13	-45
16:40:38	-4	16:40:38	-2.3	16:40:38	-97.1	16:41:14	-45
16:40:39	-4	16:40:39	-2.33	16:40:39	-97.1	16:41:15	-45
16:40:40	-4	16:40:40	-2.34	16:40:40	-97.1	16:41:16	-44
16:40:41	-4	16:40:41	-2.37	16:40:41	-97.1	16:41:17	-44
