Time (HH:MM:SS) - Setpoint	Temperature (�C) - Setpoint	Time (HH:MM:SS) - Sensor 1	Temperature (�C) - Sensor 1	Time (HH:MM:SS) - Sensor 2	Temperature (�C) - Sensor 2	Time (HH:MM:SS) - Power	          Power (%) - Power
18:48:41	-4	18:48:41	-19.99	18:48:41	-97.1	18:49:18	95
18:48:42	-4	18:48:42	-20	18:48:42	-97.2	18:49:19	89
18:48:43	-4	18:48:43	-20	18:48:43	-97.2	18:49:20	82
18:48:44	-4	18:48:44	-20	18:48:44	-97.2	18:49:21	75
18:48:45	-4	18:48:45	-19.98	18:48:45	-97.2	18:49:22	68
18:48:46	-4	18:48:46	-19.93	18:48:46	-97.2	18:49:23	62
18:48:47	-4	18:48:47	-19.85	18:48:47	-97.2	18:49:24	55
18:48:48	-4	18:48:48	-19.71	18:48:48	-97.2	18:49:25	49
18:48:49	-4	18:48:49	-19.51	18:48:49	-97.2	18:49:26	42
18:48:50	-4	18:48:50	-19.27	18:48:50	-97.2	18:49:27	35
18:48:51	-4	18:48:51	-19.01	18:48:51	-97.2	18:49:28	29
18:48:52	-4	18:48:52	-18.7	18:48:52	-97.2	18:49:29	22
18:48:53	-4	18:48:53	-18.38	18:48:53	-97.2	18:49:30	17
18:48:54	-4	18:48:54	-18.05	18:48:54	-97.2	18:49:31	11
18:48:55	-4	18:48:55	-17.7	18:48:55	-97.2	18:49:32	6
18:48:56	-4	18:48:56	-17.31	18:48:56	-97.2	18:49:33	0
18:48:57	-4	18:48:57	-16.93	18:48:57	-97.2	18:49:34	-4
18:48:58	-4	18:48:58	-16.55	18:48:58	-97.2	18:49:35	-9
18:48:59	-4	18:48:59	-16.11	18:48:59	-97.2	18:49:36	-13
18:49:00	-4	18:49:00	-15.71	18:49:00	-97.2	18:49:37	-17
18:49:01	-4	18:49:01	-15.3	18:49:01	-97.2	18:49:38	-20
18:49:02	-4	18:49:02	-14.9	18:49:02	-97.2	18:49:39	-23
18:49:03	-4	18:49:03	-14.48	18:49:03	-97.2	18:49:40	-26
18:49:04	-4	18:49:04	-14.04	18:49:04	-97.2	18:49:41	-28
18:49:05	-4	18:49:05	-13.66	18:49:05	-97.2	18:49:42	-30
18:49:06	-4	18:49:06	-13.15	18:49:06	-97.2	18:49:43	-32
18:49:07	-4	18:49:07	-12.76	18:49:07	-97.2	18:49:44	-34
18:49:08	-4	18:49:08	-12.34	18:49:08	-97.2	18:49:45	-35
18:49:09	-4	18:49:09	-11.91	18:49:09	-97.2	18:49:46	-10
18:49:10	-4	18:49:10	-11.5	18:49:10	-97.2	18:49:47	-10
18:49:11	-4	18:49:11	-11.13	18:49:11	-97.2	18:49:48	-10
18:49:12	-4	18:49:12	-10.75	18:49:12	-97.2	18:49:49	-10
18:49:13	-4	18:49:13	-10.33	18:49:13	-97.2	18:49:50	-10
