Time (HH:MM:SS) - Setpoint	Temperature (ºC) - Setpoint	Time (HH:MM:SS) - Sensor 1	Temperature (ºC) - Sensor 1	Time (HH:MM:SS) - Sensor 2	Temperature (ºC) - Sensor 2	Time (HH:MM:SS) - Power	          Power (%) - Power
15:36:59	-4	15:36:59	-19.85			15:36:59	0
15:37:09	-4	15:37:09	-19.09			15:37:39	76
15:37:19	-4	15:37:19	-16.23			15:37:49	5
15:37:29	-4	15:37:29	-11.88			15:37:59	-10
15:37:39	-4	15:37:39	-7.57			15:38:09	-10
15:37:49	-4	15:37:49	-3.78			15:38:19	-10
15:37:59	-4	15:37:59	-1.89			15:38:29	-10
15:38:09	-4	15:38:09	-1.52			15:38:39	-10
15:38:19	-4	15:38:19	-1.31			15:38:49	-10
15:38:29	-4	15:38:29	-1.09			15:38:59	-10
15:38:39	-4	15:38:39	-0.87			15:39:09	-10
15:38:49	-4	15:38:49	-0.64			15:39:19	-10
15:38:59	-4	15:38:59	-0.41			15:39:29	-10
15:39:09	-4	15:39:09	-0.18			15:39:39	-10
15:39:19	-4	15:39:19	0.04			15:39:49	-10
15:39:29	-4	15:39:29	0.27			15:39:59	-10
15:39:39	-4	15:39:39	0.51			15:40:09	-10
15:39:49	-4	15:39:49	0.74			15:40:19	-10
15:39:59	-4	15:39:59	0.96			15:40:29	-10
15:40:09	-4	15:40:09	1.17			15:40:39	-10
15:40:19	-4	15:40:19	1.38			15:40:49	-10
15:40:29	-4	15:40:29	1.58				
15:40:39	-4	15:40:39	1.78				
15:40:49	-4	15:40:49	1.98				
