Time (HH:MM:SS) - Setpoint	Temperature (�C) - Setpoint	Time (HH:MM:SS) - Sensor 1	Temperature (�C) - Sensor 1	Time (HH:MM:SS) - Sensor 2	Temperature (�C) - Sensor 2	Time (HH:MM:SS) - Power	          Power (%) - Power
16:15:04	-4	16:15:04	-20			16:15:18	-50
16:15:05	-4	16:15:05	-20			16:15:19	-59
16:15:06	-4	16:15:06	-20			16:15:20	-67
16:15:07	-4	16:15:07	-20			16:15:21	-77
16:15:08	-4	16:15:08	-19.97			16:15:22	-86
16:15:09	-4	16:15:09	-19.92			16:15:23	-95
16:15:10	-4	16:15:10	-19.81			16:15:24	-100
16:15:11	-4	16:15:11	-19.66			16:15:25	-100
16:15:12	-4	16:15:12	-19.45			16:15:26	-100
16:15:13	-4	16:15:13	-19.2			16:15:27	-100
16:15:14	-4	16:15:14	-18.9			16:15:28	-100
16:15:15	-4	16:15:15	-18.59			16:15:29	-100
16:15:16	-4	16:15:16	-18.25			16:15:30	-100
16:15:17	-4	16:15:17	-17.91			16:15:31	-100
16:15:18	-20	16:15:18	-17.52			16:15:32	-100
16:15:19	-20	16:15:19	-17.13			16:15:33	-100
16:15:20	-20	16:15:20	-16.76			16:15:34	-100
16:15:21	-20	16:15:21	-16.34			16:15:35	-100
16:15:22	-20	16:15:22	-15.91			16:15:36	-100
16:15:23	-20	16:15:23	-15.53			16:15:37	-100
16:15:24	-20	16:15:24	-15.21			16:15:38	-100
16:15:25	-20	16:15:25	-14.91			16:15:39	-100
16:15:26	-20	16:15:26	-14.67			16:15:41	-100
16:15:27	-20	16:15:27	-14.44			16:15:42	-100
16:15:28	-20	16:15:28	-14.3			16:15:43	-100
16:15:29	-20	16:15:29	-14.16			16:15:44	-100
16:15:30	-20	16:15:30	-14.08			16:15:45	-100
16:15:31	-20	16:15:31	-14.03			16:15:46	-100
16:15:32	-20	16:15:32	-13.99			16:15:47	-100
16:15:33	-20	16:15:33	-13.98			16:15:48	-100
16:15:34	-20	16:15:34	-13.97			16:15:49	-100
16:15:35	-20	16:15:35	-13.98			16:15:50	-100
16:15:36	-20	16:15:36	-13.99			16:15:51	-100
16:15:37	-20	16:15:37	-14.02			16:15:52	-100
16:15:38	-20	16:15:38	-14.04			16:15:53	-100
16:15:39	-20	16:15:39	-14.07			16:15:54	-100
16:15:41	-20	16:15:41	-14.1			16:15:55	-100
16:15:42	-20	16:15:42	-14.14			16:15:56	-100
16:15:43	-20	16:15:43	-14.18			16:15:57	-100
16:15:44	-20	16:15:44	-14.22			16:15:58	-100
16:15:45	-20	16:15:45	-14.26			16:15:59	-100
16:15:46	-20	16:15:46	-14.3			16:16:00	-100
16:15:47	-20	16:15:47	-14.34			16:16:01	-100
16:15:48	-20	16:15:48	-14.38			16:16:02	-100
16:15:49	-20	16:15:49	-14.42			16:16:03	-100
16:15:50	-20	16:15:50	-14.47			16:16:04	-100
16:15:51	-20	16:15:51	-14.51			16:16:05	-100
16:15:52	-20	16:15:52	-14.55			16:16:06	-100
16:15:53	-20	16:15:53	-14.59			16:16:07	-100
16:15:54	-20	16:15:54	-14.63			16:16:08	-100
16:15:55	-20	16:15:55	-14.67			16:16:09	-100
16:15:56	-20	16:15:56	-14.71			16:16:10	-100
16:15:57	-20	16:15:57	-14.75			16:16:11	-100
16:15:58	-20	16:15:58	-14.8			16:16:12	-100
16:15:59	-20	16:15:59	-14.84			16:16:13	-100
16:16:00	-20	16:16:00	-14.88			16:16:14	-100
16:16:01	-20	16:16:01	-14.91			16:16:15	-100
16:16:02	-20	16:16:02	-14.95			16:16:16	-100
16:16:03	-20	16:16:03	-14.99			16:16:17	-100
16:16:04	-20	16:16:04	-15.03			16:16:18	-100
16:16:05	-20	16:16:05	-15.07			16:16:19	-100
16:16:06	-20	16:16:06	-15.11			16:16:20	-100
16:16:07	-20	16:16:07	-15.15			16:16:21	-100
16:16:08	-20	16:16:08	-15.19			16:16:22	-100
16:16:09	-20	16:16:09	-15.22			16:16:23	-100
16:16:10	-20	16:16:10	-15.26			16:16:24	-100
16:16:11	-20	16:16:11	-15.3			16:16:25	-100
16:16:12	-20	16:16:12	-15.33			16:16:26	-100
16:16:13	-20	16:16:13	-15.37			16:16:27	-100
16:16:14	-20	16:16:14	-15.4			16:16:28	-100
16:16:15	-20	16:16:15	-15.44			16:16:29	-100
16:16:16	-20	16:16:16	-15.48			16:16:30	-100
16:16:17	-20	16:16:17	-15.52			16:16:58	93
16:16:18	-20	16:16:18	-15.55			16:16:59	87
16:16:19	-20	16:16:19	-15.58			16:17:00	80
16:16:20	-20	16:16:20	-15.62			16:17:01	73
16:16:21	-20	16:16:21	-15.65			16:17:02	65
16:16:22	-20	16:16:22	-15.69			16:17:03	58
16:16:23	-20	16:16:23	-15.73			16:17:04	51
16:16:24	-20	16:16:24	-15.76			16:17:05	45
16:16:25	-20	16:16:25	-15.79			16:17:06	38
16:16:26	-20	16:16:26	-15.83			16:17:07	31
16:16:27	-20	16:16:27	-15.87			16:17:08	24
16:16:28	-20	16:16:28	-15.9			16:17:09	18
16:16:29	-20	16:16:29	-15.94			16:17:10	12
16:16:30	-20	16:16:30	-15.98			16:17:11	7
16:16:31	-4	16:16:31	-16.01			16:17:12	1
16:16:32	-4	16:16:32	-16.05			16:17:13	-4
16:16:33	-4	16:16:33	-16.09			16:17:14	-9
16:16:34	-4	16:16:34	-16.12			16:17:15	-14
16:16:35	-4	16:16:35	-16.14			16:17:16	-10
16:16:36	-4	16:16:36	-16.12			16:17:17	-10
16:16:37	-4	16:16:37	-16.04			16:17:18	-10
16:16:38	-4	16:16:38	-15.93			16:17:20	-10
16:16:39	-4	16:16:39	-15.78			16:17:21	-10
16:16:40	-4	16:16:40	-15.58			16:17:22	-10
16:16:41	-4	16:16:41	-15.32			16:17:23	-10
16:16:42	-4	16:16:42	-14.99			16:17:24	-10
16:16:43	-4	16:16:43	-14.73			16:17:25	-10
16:16:44	-4	16:16:44	-14.37			16:17:26	-10
16:16:45	-4	16:16:45	-13.94			16:17:27	-10
16:16:46	-4	16:16:46	-13.55			16:17:28	-10
16:16:47	-4	16:16:47	-13.13			16:17:29	-10
16:16:48	-4	16:16:48	-12.81			16:17:30	-10
16:16:49	-4	16:16:49	-12.36			16:17:31	-10
16:16:50	-4	16:16:50	-11.94			16:17:32	-10
16:16:51	-4	16:16:51	-11.53			16:17:33	-10
16:16:52	-4	16:16:52	-11.15			16:17:34	-10
16:16:53	-4	16:16:53	-10.74			16:17:35	-10
16:16:54	-4	16:16:54	-10.32			16:17:36	-10
16:16:55	-4	16:16:55	-9.85			16:17:37	-10
16:16:56	-4	16:16:56	-9.43			16:17:38	-10
16:16:57	-4	16:16:57	-9.05			16:17:39	-10
16:16:58	-4	16:16:58	-8.59			16:17:40	-10
16:16:59	-4	16:16:59	-8.19			16:17:41	-10
16:17:00	-4	16:17:00	-7.83			16:17:42	-10
16:17:01	-4	16:17:01	-7.37			16:17:43	-10
16:17:02	-4	16:17:02	-6.94			16:17:44	-10
16:17:03	-4	16:17:03	-6.55			16:17:45	-10
16:17:04	-4	16:17:04	-6.17			16:17:46	-10
16:17:05	-4	16:17:05	-5.82			16:17:47	-10
16:17:06	-4	16:17:06	-5.42			16:17:48	-10
16:17:07	-4	16:17:07	-5.06			16:17:49	-10
16:17:08	-4	16:17:08	-4.72			16:17:50	-10
16:17:09	-4	16:17:09	-4.39			16:17:51	-10
16:17:10	-4	16:17:10	-4.08			16:17:52	-10
16:17:11	-4	16:17:11	-3.84			16:17:53	-10
16:17:12	-4	16:17:12	-3.53			16:17:54	-10
16:17:13	-4	16:17:13	-3.3			16:17:55	-10
16:17:14	-4	16:17:14	-3.05			16:17:56	-10
16:17:15	-4	16:17:15	-2.85			16:17:57	-10
16:17:16	-4	16:17:16	-2.67			16:17:58	-10
16:17:17	-4	16:17:17	-2.51			16:17:59	-10
16:17:18	-4	16:17:18	-2.35			16:18:00	-10
16:17:20	-4	16:17:20	-2.21			16:18:01	-10
16:17:21	-4	16:17:21	-2.11			16:18:02	-10
16:17:22	-4	16:17:22	-2.02			16:18:03	-10
16:17:23	-4	16:17:23	-1.94			16:18:04	-10
16:17:24	-4	16:17:24	-1.87			16:18:05	-10
16:17:25	-4	16:17:25	-1.82			16:18:06	-10
16:17:26	-4	16:17:26	-1.77			16:18:07	-10
16:17:27	-4	16:17:27	-1.72			16:18:08	-10
16:17:28	-4	16:17:28	-1.68			16:18:09	-10
16:17:29	-4	16:17:29	-1.65			16:18:10	-10
16:17:30	-4	16:17:30	-1.61			16:18:11	-10
16:17:31	-4	16:17:31	-1.58			16:18:12	-10
16:17:32	-4	16:17:32	-1.56			16:18:13	-10
16:17:33	-4	16:17:33	-1.53			16:18:14	-10
16:17:34	-4	16:17:34	-1.5			16:18:15	-10
16:17:35	-4	16:17:35	-1.48			16:18:16	-10
16:17:36	-4	16:17:36	-1.45			16:18:17	-10
16:17:37	-4	16:17:37	-1.42			16:18:18	-10
16:17:38	-4	16:17:38	-1.4			16:18:19	-10
16:17:39	-4	16:17:39	-1.38			16:18:20	-10
16:17:40	-4	16:17:40	-1.36			16:18:21	-10
16:17:41	-4	16:17:41	-1.33			16:18:22	-10
16:17:42	-4	16:17:42	-1.31			16:18:23	-10
16:17:43	-4	16:17:43	-1.29			16:18:24	-10
16:17:44	-4	16:17:44	-1.26			16:18:25	-10
16:17:45	-4	16:17:45	-1.24			16:18:26	-10
16:17:46	-4	16:17:46	-1.22			16:18:27	-10
16:17:47	-4	16:17:47	-1.2			16:18:28	-10
16:17:48	-4	16:17:48	-1.17			16:18:29	-10
16:17:49	-4	16:17:49	-1.15			16:18:30	-10
16:17:50	-4	16:17:50	-1.13			16:18:31	-10
16:17:51	-4	16:17:51	-1.11			16:18:32	-10
16:17:52	-4	16:17:52	-1.08			16:18:33	-10
16:17:53	-4	16:17:53	-1.06			16:18:34	-10
16:17:54	-4	16:17:54	-1.04			16:18:35	-10
16:17:55	-4	16:17:55	-1.01			16:18:36	-10
16:17:56	-4	16:17:56	-0.99			16:18:37	-10
16:17:57	-4	16:17:57	-0.97			16:18:38	-10
16:17:58	-4	16:17:58	-0.94			16:18:39	-10
16:17:59	-4	16:17:59	-0.92			16:18:40	-10
16:18:00	-4	16:18:00	-0.9			16:18:41	-10
16:18:01	-4	16:18:01	-0.88			16:18:42	-10
16:18:02	-4	16:18:02	-0.85			16:18:43	-10
16:18:03	-4	16:18:03	-0.83			16:18:44	-10
16:18:04	-4	16:18:04	-0.8			16:18:45	-10
16:18:05	-4	16:18:05	-0.78			16:18:46	-10
16:18:06	-4	16:18:06	-0.76			16:18:47	-10
16:18:07	-4	16:18:07	-0.73			16:18:48	-10
16:18:08	-4	16:18:08	-0.71			16:18:49	-10
16:18:09	-4	16:18:09	-0.68			16:18:50	-10
16:18:10	-4	16:18:10	-0.66			16:18:51	-10
16:18:11	-4	16:18:11	-0.64			16:18:52	-10
16:18:12	-4	16:18:12	-0.62			16:18:53	-10
16:18:13	-4	16:18:13	-0.59			16:18:54	-10
16:18:14	-4	16:18:14	-0.57			16:18:56	-10
16:18:15	-4	16:18:15	-0.54			16:18:57	-10
16:18:16	-4	16:18:16	-0.51			16:18:58	-10
16:18:17	-4	16:18:17	-0.49			16:18:59	-10
16:18:18	-4	16:18:18	-0.47			16:19:00	-10
16:18:19	-4	16:18:19	-0.44			16:19:01	-10
16:18:20	-4	16:18:20	-0.42			16:19:02	-10
16:18:21	-4	16:18:21	-0.39			16:19:03	-10
16:18:22	-4	16:18:22	-0.37			16:19:04	-10
16:18:23	-4	16:18:23	-0.34			16:19:05	-10
16:18:24	-4	16:18:24	-0.32			16:19:06	-10
16:18:25	-4	16:18:25	-0.29			16:19:07	-10
16:18:26	-4	16:18:26	-0.27			16:19:08	-10
16:18:27	-4	16:18:27	-0.25			16:19:09	-10
16:18:28	-4	16:18:28	-0.22			16:19:10	-10
16:18:29	-4	16:18:29	-0.2			16:19:11	-10
16:18:30	-4	16:18:30	-0.18			16:19:12	-10
16:18:31	-4	16:18:31	-0.15			16:19:13	-10
16:18:32	-4	16:18:32	-0.13			16:19:14	-10
