Time (HH:MM:SS) - Setpoint	Temperature (ºC) - Setpoint	Time (HH:MM:SS) - Sensor 1	Temperature (ºC) - Sensor 1	Time (HH:MM:SS) - Sensor 2	Temperature (ºC) - Sensor 2	Time (HH:MM:SS) - Power	          Power (%) - Power
15:19:28	-20	15:19:28	-20	15:19:28	-97.2	15:19:28	-65
15:19:29	-20	15:19:29	-20	15:19:29	-97.2	15:19:29	-65
15:19:30	-20	15:19:30	-20	15:19:30	-97.2	15:19:30	-65
15:19:31	-20	15:19:31	-20	15:19:31	-97.2	15:19:31	-65
15:19:32	-4	15:19:32	-20	15:19:32	-97.2	15:20:08	99
15:19:33	-4	15:19:33	-20	15:19:33	-97.2	15:20:09	94
15:19:34	-4	15:19:34	-20	15:19:34	-97.2	15:20:10	86
15:19:35	-4	15:19:35	-19.98	15:19:35	-97.2	15:20:11	80
15:19:36	-4	15:19:36	-19.95	15:19:36	-97.2	15:20:12	73
15:19:37	-4	15:19:37	-19.9	15:19:37	-97.2	15:20:13	67
15:19:38	-4	15:19:38	-19.76	15:19:38	-97.2	15:20:14	60
15:19:39	-4	15:19:39	-19.57	15:19:39	-97.2	15:20:15	54
15:19:40	-4	15:19:40	-19.36	15:19:40	-97.2	15:20:16	46
15:19:41	-4	15:19:41	-19.08	15:19:41	-97.2	15:20:17	40
15:19:42	-4	15:19:42	-18.77	15:19:42	-97.2	15:20:18	33
15:19:43	-4	15:19:43	-18.49	15:19:43	-97.2	15:20:19	28
15:19:44	-4	15:19:44	-18.16	15:19:44	-97.2	15:20:20	22
15:19:45	-4	15:19:45	-17.8	15:19:45	-97.2	15:20:21	16
15:19:46	-4	15:19:46	-17.44	15:19:46	-97.2	15:20:22	11
15:19:47	-4	15:19:47	-17.06	15:19:47	-97.2	15:20:23	6
15:19:48	-4	15:19:48	-16.64	15:19:48	-97.2	15:20:24	1
15:19:49	-4	15:19:49	-16.29	15:19:49	-97.2	15:20:25	-4
