Time_s,Time_min,Temperature_C,StdDev_C
823.00,13.7167,10.3661,0.6214
824.00,13.7333,10.3829,0.6214
825.00,13.7500,10.3997,0.6214
826.00,13.7667,10.4165,0.6214
827.00,13.7833,10.4333,0.6214
828.00,13.8000,10.4501,0.6214
829.00,13.8167,10.4669,0.6214
830.00,13.8333,10.4838,0.6214
831.00,13.8500,10.5006,0.6214
832.00,13.8667,10.5174,0.6214
833.00,13.8833,10.5342,0.6214
834.00,13.9000,10.5510,0.6214
835.00,13.9167,10.5678,0.6214
836.00,13.9333,10.5846,0.6214
837.00,13.9500,10.6014,0.6214
838.00,13.9667,10.6182,0.6214
839.00,13.9833,10.6351,0.6214
840.00,14.0000,10.6519,0.6214
841.00,14.0167,10.6687,0.6214
842.00,14.0333,10.6855,0.6214
843.00,14.0500,10.7023,0.6214
844.00,14.0667,10.7191,0.6214
845.00,14.0833,10.7359,0.6214
846.00,14.1000,10.7527,0.6214
847.00,14.1167,10.7696,0.6214
848.00,14.1333,10.7864,0.6214
849.00,14.1500,10.8032,0.6214
850.00,14.1667,10.8200,0.6214
851.00,14.1833,10.8368,0.6214
852.00,14.2000,10.8536,0.6214
853.00,14.2167,10.8704,0.6214
854.00,14.2333,10.8872,0.6214
855.00,14.2500,10.9040,0.6214
856.00,14.2667,10.9209,0.6214
857.00,14.2833,10.9377,0.6214
858.00,14.3000,10.9545,0.6214
859.00,14.3167,10.9713,0.6214
860.00,14.3333,10.9881,0.6214
861.00,14.3500,11.0049,0.6214
862.00,14.3667,11.0217,0.6214
863.00,14.3833,11.0385,0.6214
864.00,14.4000,11.0554,0.6214
865.00,14.4167,11.0722,0.6214
866.00,14.4333,11.0890,0.6214
867.00,14.4500,11.1058,0.6214
868.00,14.4667,11.1226,0.6214
869.00,14.4833,11.1394,0.6214
870.00,14.5000,11.1562,0.6214
871.00,14.5167,11.1730,0.6214
872.00,14.5333,11.1898,0.6214
873.00,14.5500,11.2067,0.6214
874.00,14.5667,11.2235,0.6214
875.00,14.5833,11.2403,0.6214
876.00,14.6000,11.2571,0.6214
877.00,14.6167,11.2739,0.6214
878.00,14.6333,11.2907,0.6214
879.00,14.6500,11.3075,0.6214
880.00,14.6667,11.3243,0.6214
881.00,14.6833,11.3411,0.6214
882.00,14.7000,11.3580,0.6214
883.00,14.7167,11.3748,0.6214
884.00,14.7333,11.3916,0.6214
885.00,14.7500,11.4084,0.6214
886.00,14.7667,11.4252,0.6214
887.00,14.7833,11.4420,0.6214
888.00,14.8000,11.4588,0.6214
889.00,14.8167,11.4756,0.6214
890.00,14.8333,11.4925,0.6214
891.00,14.8500,11.5093,0.6214
892.00,14.8667,11.5261,0.6214
893.00,14.8833,11.5429,0.6214
894.00,14.9000,11.5597,0.6214
895.00,14.9167,11.5765,0.6214
896.00,14.9333,11.5933,0.6214
897.00,14.9500,11.6101,0.6214
898.00,14.9667,11.6269,0.6214
899.00,14.9833,11.6438,0.6214
900.00,15.0000,11.6606,0.6214
901.00,15.0167,11.6774,0.6214
902.00,15.0333,11.6942,0.6214
903.00,15.0500,11.7110,0.6214
904.00,15.0667,11.7278,0.6214
905.00,15.0833,11.7446,0.6214
906.00,15.1000,11.7614,0.6214
907.00,15.1167,11.7782,0.6214
908.00,15.1333,11.7951,0.6214
909.00,15.1500,11.8119,0.6214
910.00,15.1667,11.8287,0.6214
911.00,15.1833,11.8455,0.6214
912.00,15.2000,11.8623,0.6214
913.00,15.2167,11.8791,0.6214
914.00,15.2333,11.8959,0.6214
915.00,15.2500,11.9127,0.6214
916.00,15.2667,11.9296,0.6214
917.00,15.2833,11.9464,0.6214
918.00,15.3000,11.9632,0.6214
919.00,15.3167,11.9800,0.6214
920.00,15.3333,11.9968,0.6214
